ADM3_PCODE,young,elderly,working,dependency_ratio
NE001001001,25663.910509490506,1285.956975954808,24216.279718334987,1.112882234550695
NE001002001,7100.332453449695,288.97051253051137,8721.968423015642,0.8472058837637179
NE001002002,19167.094433085367,798.250508261065,23375.670115723366,0.854107918297366
NE001002003,24251.169015499174,1156.0299650346979,28986.641529133787,0.8765140644181802
NE001003001,1266.08515280169,74.4134150518017,1536.1387509589467,0.8726415937470978
NE001003002,1169.358948786667,68.69445002040878,1418.2052700700124,0.8729719349766322
NE001003003,3774.5865227284007,222.8932992461652,4591.863755965837,0.8705571494321807
NE001003004,822.54980385917,48.324298099073985,997.5312996207699,0.873029349845286
NE001004001,12403.535796207327,916.8660538933937,13261.336471458504,1.0044539536998656
NE001004002,4634.955081108982,334.7829267270833,4969.629721806421,1.00002178955691
NE001005001,35144.81959163067,1800.468418411085,37162.07014565005,0.9941665753614196
NE001006001,19722.769935584554,1063.6654830897687,21804.092224115408,0.953327256416777
NE001006002,20872.622097775227,1125.6722397027665,23075.382074250763,0.953323081138723
NE001006003,25515.26829612727,1376.058574571115,28207.765510884445,0.9533306301884107
NE001006004,64059.25534492923,3454.7214061985383,70819.29899697879,0.9533273797868005
NE002001001,56250.54427775541,2208.42295754394,48727.03484967832,1.1997234680017737
NE002001002,1411.3237108756693,55.36934197840424,1221.82699929639,1.2004097582543958
NE002002001,34490.44953478302,1548.4387700743162,30172.644757539663,1.1944225835838205
NE002002002,24695.012822267043,1095.2100247518856,21592.0660258215,1.1944305290738246
NE002002003,32353.014804342307,1436.732699180577,28323.474045029638,1.192994455757891
NE002003001,56957.91447291737,3595.0253174636227,54206.815539949544,1.117072441670263
NE002004001,4273.877224373567,215.7870209343036,3757.756377223617,1.1947725702816894
NE002004002,69287.28266390694,3498.2430760208103,60930.86292072443,1.19455924716883
NE002004003,12945.021854763461,650.820521573124,11388.584238559499,1.193813216071559
NE002005001,41399.0692232441,2004.3727041205061,42963.38865251384,1.010242517842573
NE002006001,27250.196162332624,1324.1752251254152,25404.172623902796,1.1247904747967428
NE002006002,35956.017943679944,1776.0933036631798,34441.237327918134,1.095550397568249
NE003001001,33252.32060565866,2368.399106037789,35248.22562795145,1.0105677399956727
NE003001002,19615.86020036216,1402.025864024891,20806.59048751977,1.010155223509302
NE003001003,14189.926554336418,999.3054845848403,15067.471870736783,1.0080809952212986
NE003001004,14044.509651292648,983.8381223820222,14918.54969699475,1.0073598358359217
NE003001005,10160.669672857675,714.370168945175,10753.119363866535,1.011338149778752
NE003001006,10824.172313595867,769.8986853433361,11471.948178281335,1.010645342775264
NE003001007,15555.4846294538,1088.8442237048453,16399.416199395186,1.0149342300229256
NE003001008,14373.111698312792,1024.2545603504796,15249.335192401191,1.0097073783476045
NE003002001,26598.352227220774,1412.2335793097134,24611.28868779613,1.1381194281151132
NE003002002,26749.966958964582,1427.5967938337626,24891.240782433782,1.1320272861883118
NE003002003,6722.652720153982,356.9034927386148,6218.911707354794,1.1383914977470997
NE003003001,45657.5418560197,2641.113308614891,45362.16435008039,1.0647343630231567
NE003003002,34509.927416518454,2000.4177740100686,34277.15242564842,1.0651510585578599
NE003003003,30262.30859117431,1715.0356550071815,29774.59454339545,1.0739808463076
NE003003004,14621.06549350957,846.168497603272,14525.781385001668,1.064812527543837
NE003003005,56906.41378203974,3293.556196536082,56541.332000120405,1.0647073185054718
NE003003006,16044.868738875146,905.7508981363889,16026.328610480401,1.057673285566271
NE003004001,53726.666054960166,3240.34210948336,55881.136245215675,1.01943181531712
NE003004002,29454.165231806324,1746.7199658016298,30202.63969562723,1.033051597874912
NE003004003,16481.552671842117,999.2742367298558,17151.027706517438,1.0192291218752572
NE003004004,23670.36212213733,1427.3855017114809,24616.693943220216,1.0195417663207809
NE003004005,15072.003303263939,909.0168916404452,15676.399296263346,1.0194318154879896
NE003004006,22875.605165317207,1377.9989239944425,23769.980633033432,1.020345976033574
NE003004007,25142.25961686155,1516.4053774826527,26147.044198287054,1.0195670605127392
NE003004008,25292.399780402007,1518.9101139327563,26292.088465216115,1.0197482002924785
NE003004009,11613.373410096958,700.398165361692,12078.707388210318,1.019461038312574
NE003004010,11370.0974096239,685.7572862759399,11825.228918068513,1.0195028594735227
NE003004011,23365.27120080678,1401.6186621377324,24197.900536215122,1.0235139955996524
NE003005001,37658.84845808264,2122.519762330105,37499.24520346811,1.0608578387261398
NE003005002,17329.997600154205,975.2741667944547,17282.70650495922,1.0591669633281116
NE003006001,10874.545703606327,497.30866925222654,10844.120656512641,1.048665422772567
NE003006002,10551.64963431404,482.5190074072724,10522.097281401717,1.048666282645448
NE003006003,43365.3355750382,1979.9790226062742,43295.82940042119,1.0473367810619503
NE003006004,19285.16230088999,900.2350990598953,19287.76200522425,1.0465391160717614
NE003006005,22206.027564866607,1015.7605682080051,22145.945595076464,1.048579661382232
NE003006006,41510.409229376615,1899.8867520085741,41393.84127388203,1.0487138821971438
NE003007001,29833.608517201155,1815.1107759508236,29452.38828035879,1.0745722551219343
NE003007002,40911.263208203345,2457.2652946129992,40524.73781778184,1.07017419083182
NE003007003,19400.5259670359,1180.989898335013,19155.980867896174,1.0744172280869113
NE003008001,20192.37674839113,1132.8019050532475,19942.623758661466,1.0693266298113075
NE003008002,41650.57026996876,2336.5090756395666,41132.410466467896,1.0694019350377635
NE003008003,32797.6829777531,1844.1678600910907,32443.692713852204,1.0677530188495916
NE003008004,38517.83583135042,2160.838832345074,38041.76282145094,1.069316236858447
NE004001001,81780.64615650188,4807.973689606497,67582.80135515177,1.281222709178329
