ADM3_PCODE,degRural_mean,degRural_median
NE001001001,0.9998838670540396,1.0
NE001002001,0.9832488214740411,1.0
NE001002002,1.0,1.0
NE001002003,1.0,1.0
NE001003001,1.0,1.0
NE001003002,0.9998672250388931,1.0
NE001003003,1.0,1.0
NE001003004,1.0,1.0
NE001004001,0.9998676616392254,1.0
NE001004002,1.0,1.0
NE001005001,0.9999024423276343,1.0
NE001006001,0.9102249372002738,1.0
NE001006002,1.0,1.0
NE001006003,1.0,1.0
NE001006004,0.9990118104794592,1.0
NE002001001,0.9707741491827692,1.0
NE002001002,0.9204254371310836,1.0
NE002002001,0.9979676524575506,1.0
NE002002002,0.9272619556989107,1.0
NE002002003,0.9983709747385717,1.0
NE002003001,0.9983293978515038,1.0
NE002004001,1.0,1.0
NE002004002,0.994973684359615,1.0
NE002004003,1.0,1.0
NE002005001,0.9999138138370769,1.0
NE002006001,0.9988039070025968,1.0
NE002006002,0.9971423519626252,1.0
NE003001001,0.9749688526446932,1.0
NE003001002,0.9898774876656135,1.0
NE003001003,1.0,1.0
NE003001004,1.0,1.0
NE003001005,0.9686132569823348,1.0
NE003001006,0.9216469503764018,1.0
NE003001007,0.9798818331638557,1.0
NE003001008,1.0,1.0
NE003002001,0.9947898575894408,1.0
NE003002002,0.9912696148359487,1.0
NE003002003,1.0,1.0
NE003003001,0.9946651708747954,1.0
NE003003002,0.9780317759804878,1.0
NE003003003,0.9961877595687235,1.0
NE003003004,0.9782092091302098,1.0
NE003003005,0.9927791064176302,1.0
NE003003006,0.9970552147239263,1.0
NE003004001,0.958058106792284,1.0
NE003004002,0.9946713475221768,1.0
NE003004003,0.9898095770188793,1.0
NE003004004,1.0,1.0
NE003004005,0.9998755362921531,1.0
NE003004006,1.0,1.0
NE003004007,0.996233465024227,1.0
NE003004008,0.9944860493444525,1.0
NE003004009,0.9964941706995161,1.0
NE003004010,1.0,1.0
NE003004011,1.0,1.0
NE003005001,0.9801098725192683,1.0
NE003005002,0.9966686975491834,1.0
NE003006001,0.9644078442319769,1.0
NE003006002,0.9716408283102382,1.0
NE003006003,0.9213669942483271,1.0
NE003006004,0.9768095510029269,1.0
NE003006005,0.9535644101104561,1.0
NE003006006,0.9917016499072537,1.0
NE003007001,0.9965200421689008,1.0
NE003007002,0.9922270790277448,1.0
NE003007003,0.9676593854414122,1.0
NE003008001,0.9630393119997425,1.0
NE003008002,0.9766344656927062,1.0
NE003008003,0.9829742421799418,1.0
NE003008004,0.9521124768566142,1.0
NE004001001,0.9854819303066363,1.0
NE004001002,0.9832820985062904,1.0
NE004002001,0.9930397281399695,1.0
NE004002002,0.9980434579989031,1.0
NE004003001,0.9898963416432621,1.0
NE004003002,1.0,1.0
NE004003003,1.0,1.0
NE004003004,1.0,1.0
NE004003005,0.9696508057413534,1.0
NE004003006,1.0,1.0
NE004003007,1.0,1.0
NE004003008,0.997153387787184,1.0
NE004003009,0.9350127783862725,1.0
NE004003010,1.0,1.0
NE004003011,0.992798671254004,1.0
NE004003012,1.0,1.0
NE004004001,0.9997624636709144,1.0
NE004004002,0.8862993716337522,1.0
NE004005001,0.9825027840455243,1.0
NE004005002,0.9736330471634228,1.0
NE004005003,0.9727463543359578,1.0
NE004005004,0.9010043386950218,1.0
NE004005005,0.9653113572158964,1.0
NE004006001,0.9744983185300201,1.0
NE004006002,0.9363406408094432,1.0
NE004006003,0.9872931397904116,1.0
NE004006004,0.9167994179847719,1.0
NE004006005,0.9837879393904764,1.0
NE004006006,0.9996535339536725,1.0
NE004007001,0.15535097813578827,0.0
NE004007002,0.20632638389647728,0.0
NE004007003,0.4671581275340952,0.0
NE004008001,0.9925700533871814,1.0
NE004008002,0.9991852045935289,1.0
NE004008003,0.9976865201013074,1.0
NE004008004,0.9746821601446319,1.0
NE004008005,0.9733650641490084,1.0
NE004008006,0.9797973400886637,1.0
NE004008007,0.9714932927072812,1.0
NE004008008,0.9922959407473139,1.0
NE004009001,1.0,1.0
NE004009002,0.9934229929805934,1.0
NE004009003,0.960687581900871,1.0
NE004009004,0.9862846693081379,1.0
NE004009005,0.9882717279654131,1.0
NE004009006,0.9959855547157136,1.0
NE004009007,0.9693448762903255,1.0
NE005001001,0.9978312650500283,1.0
NE005001002,0.9975849757076968,1.0
NE005001003,0.9949737465682643,1.0
NE005001004,0.9812691245694971,1.0
NE005001005,0.9995831219043811,1.0
NE005002001,0.9944800977920392,1.0
NE005003001,0.9923063212202453,1.0
NE005003002,0.9821939808672578,1.0
NE005003003,0.9492882038080305,1.0
NE005003004,0.929593026079355,1.0
NE005004001,0.9405506725094352,1.0
NE005004002,0.985024874711929,1.0
NE005004003,0.9160492945593897,1.0
NE005004004,0.9762381633626269,1.0
NE005004005,0.9501763619058285,1.0
NE005004006,0.9241866139214274,1.0
NE005004007,0.8837378304803212,1.0
NE005005001,0.9694047825791497,1.0
NE005005002,0.9707875494465976,1.0
NE005005003,0.9309487112013333,1.0
NE005006001,0.9741760632818655,1.0
NE005006002,0.9705567264808975,1.0
NE005006003,0.9646378542729939,1.0
NE005006004,0.9801536127441685,1.0
NE005007001,0.9522376040188673,1.0
NE005007002,0.9793415028115475,1.0
NE005007003,0.8989953719381423,1.0
NE005007004,0.9094430506773706,1.0
NE005007005,0.9849379384252468,1.0
NE005007006,0.9363736812290022,1.0
NE005008001,0.9073640128232437,1.0
