ADM3_PCODE,scale_min,scale_max,scale_mean,scale_median,scale_stdDev,offset_min,offset_max,offset_mean,offset_median,offset_stdDev
NE006008005,-0.046357390897658966,0.1470059440789988,0.0361759302846147,0.035644398565995085,0.005973214047178593,-0.1177035726820274,0.5806887751283024,0.05663441068838663,0.05648530771978984,0.02179983403034461
NE006008006,0.021931709499940985,0.7541788706467265,0.040574875206588215,0.03706058025119833,0.030723728899421678,0.03130393675937306,1.3465613286410059,0.08223372220617314,0.06621570882895554,0.09161056570681411
NE006008007,-0.0043329279869794846,0.06545928711559446,0.03668682906248897,0.03637140895192097,0.003374218315247753,0.03192914360191762,0.31040116521485506,0.0678601445217757,0.06737112274105396,0.012837256241755553
NE006008008,0.03650978993876682,1.3193340552083792,0.11912857908269196,0.08960624942901742,0.1181937740446478,0.07022039383550041,5.730587439168067,0.28918812770271207,0.202968706996972,0.4313139319156726
NE006008009,-0.3285734444147065,0.18834923958361505,0.049496558175320934,0.0448442980784938,0.025506805520948587,0.029379781856689425,4.80912099956047,0.1551644491747792,0.10753613961188539,0.2771661633086121
NE006008010,0.023894843551152872,0.0849668922046909,0.037232247989102664,0.03674845255504252,0.004257381905216516,0.026002034547716556,0.6085726678194034,0.0704352081371801,0.06825052791844334,0.021012129423468043
NE006008011,0.027129993374858583,0.1286642841906065,0.03905039982274611,0.038344514911054596,0.005641036318383322,0.03498906637036098,0.35839638561897336,0.07911026157503859,0.07317430489312893,0.026502407886394637
NE006009001,0.014100379497644358,0.3357939940455946,0.03623425304775853,0.036135294908614855,0.005461485056755215,-0.22153487562068871,0.5479267882980084,0.061731648318377484,0.06054303970983937,0.014477871859393419
NE006009002,0.016006396766031338,0.3122591704484962,0.037520866603640686,0.03618327083858757,0.0085911524884751,0.031213148388945098,1.5911162538187844,0.0639709315437754,0.05879089455871961,0.04171813134846681
NE006009003,0.022111640020739287,0.05943395046969748,0.0366337582823604,0.03649445159917226,0.002425509017693442,0.0309069316302027,0.1454435170647533,0.06155637357850952,0.06176017008551594,0.008533398493714477
NE006009004,-0.05240361639672691,2.472655472235471,0.038342206696300035,0.03709430644157459,0.03204636048880664,-3.9913478292673106,0.6745616445668496,0.060369722370716944,0.0550456202824024,0.05427952762983855
NE006010001,0.02725681286427148,0.05103540115634955,0.03661509137049517,0.036687545818849754,0.002541082224075232,0.022241238878840313,0.08696400423581335,0.05453836396334314,0.05443487606537042,0.00921651864151726
NE006010002,0.017236192976789817,0.22088432702280225,0.037433609975748544,0.03662523238336008,0.00786698461910323,0.028193078929602745,1.420581080729053,0.0690861725292197,0.058646428622909225,0.07035700390480226
NE006010003,-2.326078770927238,3.8141774922592697,0.033898310423518055,0.037443220204513225,0.0797430068006768,-6.2266335670775295,10.302301991139952,0.10240901021504895,0.0602677492632988,0.2720113979250002
NE006011001,0.026181114848614448,0.04672116831560353,0.03657126566759228,0.03656133388110655,0.0024008821271330064,0.0239049403836318,0.1166823394485705,0.06206107445119805,0.062259344685787046,0.00863933752524069
NE006011002,0.022091509181163496,0.06274452122133448,0.03732992349847593,0.03723553624573379,0.0022675176501475796,0.022593515862744034,0.1330623187220356,0.06475123269743233,0.06519345769327771,0.009180864338866395
