ADM3_PCODE,population_density_NER_2020
NE007005004,151.62469998699567
NE007005005,318.43127586545694
NE007005006,255.28726158830895
NE007005007,373.8135102899679
NE007005008,333.46384921435754
NE007005009,194.60017837555125
NE007006001,229.32977352785502
NE007006002,192.36934211308844
NE007006003,328.28514307263424
NE007006004,436.5906536835766
NE007006005,440.51695861100217
NE007006006,184.52395968284034
NE007006007,266.20711288173555
NE007007001,178.0818306819818
NE007007002,124.9751153776799
NE007007003,194.29120120737258
NE007007004,182.1497199274556
NE007007005,150.47315429370772
NE007007006,207.00522252781448
NE007007007,266.20418767047533
NE007007008,162.86005520149973
NE007008001,72.43530960381257
NE007008002,143.73155646467654
NE007008003,75.96125650589106
NE007009001,49.857400583139054
NE007009002,37.996986501013204
NE007009003,61.8690019620123
NE007009004,33.724538180792216
NE007009005,5.06756743906334
NE007010001,0.7229264498356205
NE007011001,612.1694000047685
NE007011002,3204.861382048792
NE007011003,2572.3119395862927
NE007011004,931.6709542903866
NE007011005,206.771390207843
NE008001001,2456.138369929534
NE008001002,2444.3676825777293
NE008001003,1319.5106504795433
NE008001004,3853.9154582983087
NE008001005,1759.0834876386243
