ADM3_PCODE,population_density_BFA_2020
BF130001,95.26072990495888
BF130002,400.4948121701912
BF130003,86.6372643679663
BF130004,6231.87640594215
BF130005,80.69976909033718
BF130006,211.27271742469813
BF130007,200.27785108492748
BF460101,62.86067774063744
BF460102,110.84954558070069
BF460103,32.39476202541121
BF460104,70.38343091829533
BF460105,50.23949318324156
BF460106,81.19221208527738
BF460107,63.223562355573144
BF460108,135.2668936955889
BF460109,74.61087503839755
BF460110,55.776444668103544
BF460201,41.19417116854309
BF460202,88.11669891977981
BF460203,21.550279817659145
BF460204,41.34766724751066
BF460205,80.4380030761924
BF460206,37.620185425346506
BF460301,33.6584713956249
BF460302,35.18620686571025
BF460303,17.35519162378054
BF460304,67.5646680709243
BF460305,47.986438382925094
BF460306,66.42868253969162
BF460307,67.6220444570652
BF460308,31.031954143092957
BF460309,53.628897954509334
BF460311,26.12255846736779
BF460401,55.86688304910836
BF460402,84.31665030623991
BF460403,33.147346539457835
BF460404,44.08816998388318
BF460405,43.667158762967226
BF460406,63.81108809941042
BF460407,35.34052303742279
BF460501,38.70578113459466
BF460502,47.36449718306636
BF460503,61.829858565089985
BF460504,75.4167691113266
BF460505,52.847274059659874
BF460506,51.043088087081955
BF460601,82.36179980646132
BF460602,32.24001418551136
BF460603,33.62910619239716
BF460604,48.28213608684482
BF460605,79.33886825229428
BF460606,74.45600122784175
BF460607,24.134843744163295
BF460608,41.89858488353281
BF470101,164.88646157130682
BF470102,49.02439103744725
BF470103,36.233288050693055
BF470104,56.86250091880495
BF470105,39.37382233569472
BF470106,42.26569076345804
BF470107,61.05222926348019
BF470108,54.091918651807184
BF470109,70.67704781569425
BF470201,45.53182809888197
BF470202,62.083952736730275
BF470203,38.64043064009296
BF470204,76.49964063470627
BF470205,88.68607497619011
BF470206,32.823765695127314
BF470207,55.495563573248326
BF470208,23.218904393159775
BF480101,111.42332233366938
BF480102,78.04207239608762
BF480103,553.8173222219297
BF480104,222.0005194882468
BF480105,83.04723551884094
BF480106,84.7561046934681
BF480107,184.55796145472857
BF480108,132.08084820625342
BF480109,93.21324955679096
BF480110,129.51159768551733
BF480111,107.21611758959743
BF480112,46.40711383210995
BF480113,96.31895277001499
BF480202,123.91646566331012
BF480201,87.12954644004236
BF480203,34.434345572435326
BF480204,98.2631455362374
