ADM3_PCODE,population_density_BFA_2020
BF520302,21.42314025221263
BF520303,29.49407573076439
BF520401,81.40168453358322
BF520402,13.558727311008557
BF520403,21.978559182643245
BF520501,36.45019004411117
BF520502,13.868540092661853
BF520503,23.87190107943007
BF520504,37.58953807663308
BF520505,169.84398274840763
BF520506,48.43861372346651
BF520507,77.21367424442354
BF520508,82.59967903497538
BF530101,66.00041128682712
BF530102,507.85957862714463
BF530103,104.5065094554147
BF530104,107.80839781968785
BF530105,66.92806092444798
BF530106,55.677483694476216
BF530107,67.64089750711491
BF530108,46.27081807635806
BF530109,47.81513622608268
BF530110,56.17185009271465
BF530111,62.13279620707917
BF530112,29.35102125793532
BF530113,47.04308901778998
BF530201,239.83483722055982
BF530202,44.49218824722717
BF530203,59.28144071303864
BF530204,50.23764956974145
BF530205,36.82390574187305
BF530206,38.90613164248135
BF530207,54.10352392347978
BF530208,43.76073352838835
BF530209,50.17816387933608
BF530210,109.15335080236238
BF530212,51.076776743829235
BF530211,17.049507104641155
BF530213,50.081884420384206
BF530301,31.15129911299861
BF530302,49.73268912600812
BF530303,61.73167602413814
BF530304,63.45459703600902
BF530305,100.29307202597008
BF530306,56.16591066691576
BF530307,46.70354752401677
BF540101,58.796981971466224
BF540102,56.8465267102793
BF540103,52.15054927714453
BF540104,53.775504365374886
BF540201,85.75095660460204
BF540202,59.372340310850475
BF540204,80.24132822670961
BF540205,110.75910681681376
BF540206,114.40405470713023
BF540207,110.76708832083175
BF540208,100.45844428486734
BF540209,106.13655633038923
BF540210,116.04129719379029
BF540301,136.36979853763168
BF540302,26.605378045789276
BF540303,103.46166836714885
BF540304,131.43415836549977
BF540305,110.54950716747145
BF540306,95.37200547067813
BF540307,321.52293072141396
BF540308,90.96119424147115
BF540309,140.19763584070571
BF540310,112.33272706668515
BF540311,82.55919273855906
BF540312,28.320610415273343
BF540313,96.17179824747099
BF540401,131.81795394978548
BF540402,59.879399476727926
BF540403,136.0921566461534
BF540404,84.47025054104908
BF540405,129.99375392820883
BF550101,92.39525492878627
BF550102,94.96050033285573
BF550103,95.99389628737262
BF550104,117.7251370991825
BF550105,65.4524615959104
BF550106,62.51653271628974
BF550107,156.2599639843588
BF550108,108.99699115170948
BF550201,117.1244946744069
BF550202,105.63044498573966
BF550203,81.45890029536659
BF550204,91.71514998833061
BF550205,97.5314239404084
BF550301,109.8885499920774
BF550302,89.89898118407916
BF550303,185.072434814809
BF550304,63.58070896921265
BF550305,51.577827467133474
BF550306,135.31783564485102
BF550307,115.59555625406495
BF560101,17.242004073248612
BF560102,53.28922545340364
BF560103,26.43473415403715
BF560104,29.85615661689008
BF560105,11.851088884757228
BF560201,43.77555429392036
BF560202,56.661035776745344
BF560203,48.36011231632662
BF560204,43.584901396595306
BF560205,64.95112057846033
BF560206,51.79323259037256
BF560301,47.14690279601745
BF560302,38.99170739001465
BF560303,9.681395544953425
BF560304,82.99054101429665
BF560305,69.77959985890192
BF560306,16.702307563511155
BF560307,12.329666963737154
BF560308,65.32932472676252
BF560309,37.97920268299172
BF560401,33.86068817045611
BF560402,41.216570676358245
BF560403,38.8573284715607
BF560404,36.41034769183838
BF560405,30.558910569907926
BF560406,28.847393836176295
BF570102,82.21442516405659
BF570103,38.072090015916075
BF570101,35.60903729029304
BF570104,83.94077868003397
BF570105,26.01217309919804
BF570201,90.65524132141792
BF570202,107.47116191538083
BF570203,68.75766932703544
BF570204,32.12837314669208
BF570205,61.15088396770032
BF570206,67.01862356384869
BF570207,43.84492786207972
BF570208,55.624664075998695
BF570301,35.50159897497054
BF570302,60.68787059134583
BF570303,21.049910103364628
BF570304,68.41752536671557
BF570305,24.504254156342117
BF570401,40.35281677227513
BF570402,47.875960270850356
BF570403,68.63637961673506
BF570404,88.29592132301329
BF570405,30.988508252147035
BF570406,49.87737790409824
BF570407,35.60011389518057
BF570408,64.06582350124644
BF570409,39.38997604495557
BF570410,35.13053869691273
