ADM3_PCODE,UI_max,MNDWI_max,NDSI_min,UI_median,OSAVI_mean,BRBA_mean,VARI_min,VARI_median,BRBA_min,MNDWI_mean,NBAI_max,NBAI_mean,SR_median,ARVI_max,MNDWI_min,BRBA_max,UI_min,SR_min,SAVI_median,SR_mean,NDSI_max,OSAVI_median,BRBA_stdDev,VARI_mean,NDVI_stdDev,NDMI_max,NBAI_median,NDVI_median,NDVI_max,NDMI_median,NDMI_min,BRBA_median,NDMI_stdDev,NBAI_stdDev,MNDWI_stdDev,NDVI_min,EVI_min,SAVI_stdDev,SAVI_max,OSAVI_stdDev,UI_stdDev,NDSI_stdDev,NDSI_mean,SR_max,ARVI_mean,NDSI_median,NDVI_mean,EVI_median,SR_stdDev,EVI_max,UI_mean,OSAVI_min,EVI_mean,EVI_stdDev,ARVI_stdDev,ARVI_min,SAVI_mean,MNDWI_median,OSAVI_max,VARI_stdDev,NDMI_mean,NBAI_min,SAVI_min,ARVI_median,VARI_max
BF130001,0.17879306213176677,0.29272042662895753,-0.6270303401777506,-0.060522597915177286,0.20128555040432192,0.4744872202185125,-0.3825126966275136,-0.21679979698932242,0.2963421814435013,-0.4882121862974389,-0.6687474271759726,-0.8407396311562292,1.7342890604763999,0.8301528693191623,-0.6270303401777506,2.29456311595228,-0.5644270813710517,0.7451007792720219,0.18942874401065907,1.783266720918715,0.29272042662895753,0.1972490973590355,0.044892128343956304,-0.21547418359041748,0.06299700413752803,0.380136665214346,-0.8466880557649128,0.2675929599853992,0.6881733095953664,-0.09569985769435646,-0.3273208714574103,0.4765639474767508,0.050022055561121506,0.0347473439422416,0.03702656359276197,-0.14606561624155065,-0.11557886340679777,0.0373570086120885,0.4563806953071645,0.04199592217537551,0.07123104687877743,0.03702656359276197,-0.4882121862974389,5.4138191551363155,0.5872235697516341,-0.49023952267985865,0.27546551322186735,0.24804898381839982,0.26748194823593324,0.6985400260834072,-0.06896986025437508,-0.11223149170270903,0.25449481735455326,0.057125739930434065,0.04332024258524931,0.3069833531777234,0.19266027334419203,-0.49023952267985865,0.4818531426511237,0.03353424907445774,-0.09011264575097318,-0.9409141249252293,-0.11281606616621592,0.5879017045442716,0.15639184946709617
BF130002,0.16847435489322873,0.4160026371727689,-0.6002178198712381,-0.04882572796363347,0.18172111574242011,0.49793706514215413,-0.37433298654226943,-0.20900634730904596,0.2969831680162933,-0.4667145236487374,-0.5814190654136179,-0.8291921406378483,1.640564787824914,0.8396072249779464,-0.6002178198712381,2.7952935222672064,-0.583473458044326,0.5116250795626024,0.1738287569898239,1.686548183166835,0.4160026371727689,0.18162906597815903,0.09708636807995907,-0.20806311846980158,0.0762046124664282,0.38127221382893545,-0.8310590514392059,0.2460635188522259,0.7092671717353058,-0.10353034007632943,-0.280870774178794,0.4922606029331338,0.05593939470314467,0.03709435716012805,0.05354176877511658,-0.3230793978217878,-0.20391537885925665,0.04656019994192526,0.489906557508338,0.05181529896286357,0.07868428089231692,0.05354176877511658,-0.4667145236487374,5.879168107493952,0.5639926327908605,-0.4726518556506589,0.24753433505651762,0.22851734117815806,0.29016391495338384,0.7630221284444423,-0.05745474832821834,-0.2012222791911977,0.2299990688148396,0.06873377961104005,0.053902220280870494,0.055942527395663216,0.17464189164828745,-0.4726518556506589,0.503510791252295,0.03306391471577746,-0.09817734221156804,-0.9397484516102422,-0.16785405696212854,0.5605541132720894,0.20814847282951507
BF130003,0.2420474749487546,0.5104965875291573,-0.5804495273602075,-0.013669459532160607,0.17462155148931327,0.48971423793318786,-0.333993276213652,-0.206057906521643,0.3450398387417705,-0.4705302624745535,-0.570386910216126,-0.8138695002544623,1.5858480727363524,0.8207057362538642,-0.5804495273602075,3.807963828285205,-0.6123724149261701,0.5427762365040377,0.16991305099291446,1.6210261799428352,0.5104965875291573,0.17380791541478055,0.11787963849980752,-0.199903228270913,0.05723863562401666,0.3770732616393155,-0.8134764205260365,0.22850660151070454,0.6333662219298791,-0.13475862552210843,-0.2911269381444847,0.47640553744237685,0.058895884302882,0.028299567229142567,0.06755655110575033,-0.2963642767353227,-0.2240635621544766,0.03797948184996342,0.4636201809886764,0.04058205584115894,0.07897489796951326,0.06755655110575033,-0.4705302624745535,4.4550347502828505,0.5634148337470088,-0.48052285597307304,0.2326050472522071,0.2167869476512586,0.20403219870978434,0.6703068139957062,-0.028039766979166252,-0.21687491749244076,0.21905437071203537,0.053259919898168064,0.04362366721079934,0.11621245564020868,0.1714782818661518,-0.48052285597307304,0.47284617017919434,0.03322486692150998,-0.12438539650335347,-0.9162576007191683,-0.20721101292128308,0.5605388275749608,0.06991833630893335
BF130004,0.29574670046148094,0.3164084227254667,-0.5673572276403862,0.013692256968136102,0.1250618490976536,0.5814922886947883,-0.44753315311435937,-0.2099613399176315,0.3559042942687329,-0.4052305238932096,-0.5286605189868366,-0.7883934190135811,1.3670594338808024,0.8040367992655665,-0.5673572276403862,2.2123374027491614,-0.5818091634425975,0.6606180995744427,0.11522595348638194,1.416894359566338,0.3164084227254667,0.11521618932566527,0.10197996963917776,-0.20854577155124202,0.06422635659541,0.338018072448028,-0.7861323854045406,0.15427922203374936,0.6214945667964438,-0.1191569383848667,-0.30768136382717504,0.5663643444690579,0.061401735746417524,0.032823173512122016,0.06714535149689065,-0.20437083066391284,-0.16551538465445942,0.044451089314190055,0.45446663105751856,0.046498431325696206,0.0810111961970289,0.06714535149689065,-0.4052305238932096,4.283940003377497,0.5129881119408527,-0.4121073906729775,0.16696553318472418,0.14255405728501527,0.21155881722896122,0.6867548605504832,-0.005766588792201864,-0.15882969426232643,0.15456647701226853,0.06042514059448144,0.050508141354909025,0.15094268689261084,0.12257338693157942,-0.4121073906729775,0.4533570310247549,0.03357707736202135,-0.105930219525064,-0.9258886206196391,-0.1616832897376461,0.5058417248793301,0.03184595673384903
BF130005,0.3080045854176142,0.25358356731195497,-0.6020767046256138,-0.05662820070813778,0.17438997651404947,0.5325988345616568,-0.3802926226129962,-0.21581828243619516,0.28799262359620403,-0.4435648596738779,-0.47333180280985115,-0.7896226706260674,1.5859823200523737,0.78914979757085,-0.6020767046256138,2.2373670722911907,-0.5521768423579345,0.7447453500903234,0.18066419481329898,1.5881532908587461,0.25358356731195497,0.1777502945545836,0.06490438376516747,-0.21523750828720584,0.045264546149607544,0.37297822593836294,-0.7900388670624687,0.22462842024741558,0.5575530155540205,-0.09181249367540192,-0.29360336846788143,0.5273139743610855,0.04374762230006429,0.03307845112043981,0.04684965954979403,-0.14629908593621546,-0.10498753785202057,0.03192681651798963,0.40862262066708266,0.033075286642658845,0.06275711930322085,0.04684965954979403,-0.4435648596738779,3.52031558652015,0.5552891093023036,-0.4472703142684223,0.22464328858792296,0.22462289343757502,0.1516050709084009,0.8878505744622049,-0.06309358814337089,-0.09325598588257952,0.2231062360139765,0.044279124410572766,0.03641945544863564,0.18582365028276326,0.1775185351328844,-0.4472703142684223,0.4176598347159278,0.025076238641256108,-0.08783470222119594,-0.9131107455811286,-0.07901026975916702,0.5527288044557254,0.012508093937048792
BF130006,0.1974054713324447,0.3217632927146951,-0.5808235155165796,-0.04100659836376444,0.17000896634553966,0.5137338398464677,-0.3795584757276668,-0.20800992967836562,0.3561056419524103,-0.45444524033260747,-0.5254058957846898,-0.805663259584932,1.5859814817011377,0.7821534814539369,-0.5808235155165796,2.1133131902835394,-0.5648946641262045,0.6722370838302124,0.17384238520322043,1.5939689391709086,0.3217632927146951,0.17381734096622403,0.07364404809394702,-0.20639970242079778,0.060167113254579574,0.404879709671056,-0.8076229581719532,0.2246051947381238,0.5682615320114937,-0.11132665961994971,-0.29534221520171267,0.5038721355957931,0.045913801275180285,0.035513303857317095,0.048783076593616824,-0.19600265975387635,-0.12942961916602516,0.040615591871322396,0.42144059698775993,0.043018399321528705,0.06948586466968462,0.048783076593616824,-0.45444524033260747,3.632434096776486,0.562431409263908,-0.46291915771610176,0.22430226535308537,0.21679575820278527,0.20397750961989847,0.5961528765459778,-0.0475849999471679,-0.13262806146629072,0.2126385880945647,0.05642343767950492,0.045455074830723745,0.18668699972592534,0.16870288167973196,-0.46291915771610176,0.42815868344209623,0.028461088011332007,-0.1066682780980611,-0.912342966825,-0.12866315827752983,0.5644516147278756,0.007375992754632835
BF130007,0.13917409552880788,0.2580711781622549,-0.5858390312216822,-0.044895235321475505,0.17545300760639349,0.5173133920706146,-0.39736895450192583,-0.21581581562067326,0.35195684423465945,-0.4552879626512521,-0.5397021744340751,-0.8025581521307238,1.5858071853836953,0.7659753313942651,-0.5858390312216822,2.0181768836247986,-0.5769067902157128,0.9373363348187622,0.17284450249061403,1.6071553616886118,0.2580711781622549,0.1728555763378491,0.035028292834679946,-0.21709631604119517,0.04409984821789584,0.4322454023817402,-0.8017599446771632,0.22460466183210628,0.5432261067569097,-0.09569705840035497,-0.3002302710112671,0.5195724978235114,0.03774790880248719,0.03368978649319484,0.02868085988177557,-0.03234526914868399,-0.028260058840591802,0.029686573144267845,0.3633107547064023,0.03138743385858497,0.05516356058560594,0.02868085988177557,-0.4552879626512521,3.3785339521048794,0.5563991374052772,-0.45505621029930016,0.2302327039027503,0.22069547005021345,0.15793035142918171,0.6415699546213662,-0.04997378014443813,-0.02344851297919897,0.22351066197350664,0.042658656663611606,0.034852721088584546,0.3041740770104352,0.17508942124810045,-0.45505621029930016,0.3873072679815946,0.024777852903395108,-0.09526751739829303,-0.9095028469226046,-0.02219811218400788,0.5517603090095995,-0.01025584775276278
BF460101,0.16016867042399593,0.4288280735373375,-0.6087568100941603,-0.0253868501749607,0.19509152452079084,0.4661797948365587,-0.3876381377850928,-0.20120009257139992,0.2930241248044092,-0.4843875597155912,-0.6519356096816445,-0.8267962407874597,1.6715725083431678,0.8485603135775545,-0.6087568100941603,3.027993396789716,-0.5599853434825776,0.7013730223735828,0.17772416685608805,1.7561492487127954,0.4288280735373375,0.18553127357793495,0.0817753156561011,-0.19294699296843915,0.0779566145824196,0.40627463999668,-0.8310613758567424,0.24804307046773866,0.6781334435296736,-0.11914406711221921,-0.3097698099248936,0.4608592774944705,0.05852147346055058,0.044418615547681874,0.049325691669592484,-0.17552116655159092,-0.13627952381502803,0.04601211876165556,0.47965663129874864,0.05217277546995182,0.08499969150443831,0.049325691669592484,-0.4843875597155912,5.213755234257725,0.5828370929773533,-0.4883069403567479,0.26488154840203193,0.23239781921405384,0.35093482124538455,0.6942781750832041,-0.0465631107377549,-0.1248901368838088,0.24621195798386858,0.06844298693786373,0.062098524685284935,0.06920482552860299,0.1881884977604918,-0.4883069403567479,0.48677939372700196,0.04149831484878609,-0.11177744736143605,-0.9394916105409994,-0.11614230985254302,0.5761558718729316,0.22948814145434376
BF460102,0.1748744194115652,0.3529924188915572,-0.6367984641999144,-0.044926510154199364,0.1980759739762573,0.45128995190043764,-0.3678164109110082,-0.2119190122232589,0.30934940045114573,-0.5078455867015979,-0.5987473773084615,-0.8471669145914381,1.7342879812469096,0.8846665742409537,-0.6367984641999144,2.535460863869583,-0.5597246350927894,0.5945646468770046,0.1933590169388338,1.7692810361246931,0.3529924188915572,0.20118031346964435,0.06602821218266018,-0.20923679042048196,0.06612621287029377,0.2964593080344249,-0.8505959320516782,0.2714823537201066,0.6699792552759977,-0.12303600621047048,-0.3297280326517798,0.44525877218636606,0.05129916430921659,0.03264544930722993,0.054612131145267424,-0.25426084412259536,-0.16482506896359606,0.043384812149043266,0.46549544520014824,0.046411965131114695,0.06890038393775955,0.054612131145267424,-0.5078455867015979,5.0602250978877334,0.6125846941731332,-0.5175774195258405,0.27173434723197354,0.24411760377590913,0.2587593334390251,0.678134600518714,-0.05022806367244778,-0.1603986894928707,0.24071884299300375,0.06023640731784612,0.05344522560313092,0.07959173894292979,0.18890370009769508,-0.5175774195258405,0.4887307988198196,0.033292095869776696,-0.1207731609383414,-0.9310193278047569,-0.13482971735926153,0.6152338299269073,0.1026363852934167
BF460103,0.1970644605382538,0.28875388990634465,-0.6326466956089984,-0.052725680199152185,0.21485229638298986,0.44736384283319913,-0.4400260177985393,-0.17774750511756615,0.2682244930349534,-0.48664933047312425,-0.6484523777841741,-0.8435551203869376,1.859410139604682,0.8537744803966983,-0.6326466956089984,1.9829226055681364,-0.6084261031294643,0.7442278615504064,0.20117708218797392,1.8942437286545601,0.28875388990634465,0.21680680155816504,0.06874661987078129,-0.1722574132556745,0.07724363316502862,0.33438230282942455,-0.8525366479629505,0.30274381122993244,0.6973808660280617,-0.09962020200798162,-0.29838062354275235,0.43346362930333343,0.05423493984158951,0.041453485653035034,0.046051088857476316,-0.14663917718998207,-0.09081715122310786,0.04100807511092864,0.45085573448854555,0.0489650621451247,0.08166736386979467,0.046051088857476316,-0.48664933047312425,5.60896742961884,0.5900798110500896,-0.4902444279170731,0.30014358529737495,0.2754074419983339,0.3420405948270256,0.702255388042908,-0.06349836989917126,-0.08425857611583984,0.27577589347731196,0.06441685109238202,0.05544621085661737,0.1851239384700191,0.2016991672624787,-0.4902444279170731,0.48222001873970916,0.0423261253528128,-0.09391818370011672,-0.9451687676402034,-0.07042212965273649,0.5879027847552408,0.15609789538630256
