ADM3_PCODE,Walking_Only_Travel_Time_to_Healthcare_min,Walking_Only_Travel_Time_to_Healthcare_max,Walking_Only_Travel_Time_to_Healthcare_mean,Walking_Only_Travel_Time_to_Healthcare_median,Walking_Only_Travel_Time_to_Healthcare_stdDev,Motorized_Travel_Time_to_Healthcare_min,Motorized_Travel_Time_to_Healthcare_max,Motorized_Travel_Time_to_Healthcare_mean,Motorized_Travel_Time_to_Healthcare_median,Motorized_Travel_Time_to_Healthcare_stdDev,Travel_Time_to_Cities_min,Travel_Time_to_Cities_max,Travel_Time_to_Cities_mean,Travel_Time_to_Cities_median,Travel_Time_to_Cities_stdDev
BF130001,0.0,105.0,33.52589271641478,30.999999999999996,18.296582247696975,0.0,58.16399383544922,6.4713758743050835,4.374935984611511,8.043340779191878,10,100,31.615435806728446,27.999999999999996,17.0746416779314
BF130002,0.0,97.0,36.176110004783794,32.0,20.106927739528242,0.0,38.21065902709961,5.262148341495113,3.6908254384923107,5.713215724806195,0,98,25.058072913769525,18.000000000000004,21.999051756251657
BF130003,0.0,122.0,51.20293257878293,52.0,22.86146326978085,0.0,84.91240692138672,14.372653506206653,10.310869441294338,15.260277349586675,0,228,76.55856127042736,80.99999999999999,49.42929239569917
BF130004,0.0,63.0,18.033046364485024,14.999999999999998,13.246101695156211,0.0,6.726107120513916,1.816155077162833,1.5512977660161908,1.3919720062518761,0,25,1.4780555267434237,0.0,4.0785772016211705
BF130005,0.0,116.0,42.14299509799411,37.99999999999999,23.837882011959834,0.0,67.03284454345703,10.618409513489784,6.279342889500235,11.340710134168987,0,85,21.936310711756526,20.0,15.224526089650368
BF130006,0.0,106.0,49.66865700127464,48.00000000000001,24.650662574547177,0.0,17.860279083251953,5.246006740592894,4.827209201807042,3.0299767314881083,0,116,29.552426913140994,23.0,24.22549922916001
BF130007,0.0,101.0,35.800443837487215,34.0,18.517784995198127,0.0,67.62796783447266,7.091330269355889,3.7309124357209145,10.578672783076353,1,93,20.103402754068526,17.0,15.684762391660374
BF460101,0.0,197.0,81.41999987975788,79.0,40.85899989428367,0.0,89.48592376708984,24.493017849777516,18.317220476426336,18.386495575772464,26,177,89.09818975416495,87.0,28.289720664247113
BF460102,0.0,92.0,44.804198884212596,42.00000000000001,21.206985398588834,0.0,55.58359146118164,10.443465638361392,7.321540719686102,10.653758933844294,68,155,92.75946951159833,89.0,16.989727737805225
BF460103,0.0,289.0,116.48656668506577,116.48481973434536,59.349559591090255,0.0,171.80966186523438,59.168482941830376,50.53504650698506,43.093879985256756,31,250,123.56419922723697,117.99999999999997,54.686049909682545
BF460104,0.0,254.0,100.75688543329164,92.0,57.152395872033935,0.0,126.39006805419922,37.206948107088145,33.35262756347656,27.40077091512243,84,228,143.18889919337443,140.0,29.253653324335218
BF460105,0.0,211.0,71.74383552968676,65.0,41.769069355005364,0.0,122.5900650024414,27.486963104375963,16.772462394714356,26.382746268650923,8,210,97.5622952612883,97.0,40.53108482970171
BF460106,0.0,248.0,98.6727804932967,95.00000000000001,48.66650905682792,0.0,116.0888442993164,36.9376275432563,31.637403228622652,26.62326207572801,13,158,66.07861974500187,60.99999999999999,33.206191669977805
BF460107,0.0,116.0,55.48210158782945,55.99999999999999,25.331530903488492,0.0,52.19001770019531,12.953855037477139,11.365206867597678,11.024045418452458,53,192,102.43716019619261,98.0,23.739098013405854
BF460108,0.0,182.0,55.889671449443696,46.0,40.387104402657144,0.0,72.06188201904297,16.466022375613104,12.628297602712626,15.98281462464657,75,153,104.78867118720264,102.99999999999999,15.166131272284415
BF460109,0.0,184.0,78.34576749667677,78.0,37.64456250749085,0.0,92.36257934570312,30.856316116101823,25.21836230219627,21.49203933154074,53,174,106.47078976579733,103.99999999999999,25.615827128745924
BF460110,0.0,170.0,71.68085660744167,65.0,37.56259091472145,0.0,112.15521240234375,23.76384860921012,17.762587723245908,20.39374640612679,80,201,120.20281794586573,118.0,20.418288569937662
BF460201,0.0,279.0,140.07559949632616,142.5,64.83142584787424,0.0,201.97525024414062,80.31997390842425,76.6851094563802,54.86685620611773,31,295,141.33551038481227,136.4049008168028,67.86266404861215
BF460202,0.0,161.0,65.95664480352049,64.0,30.670477393366262,0.0,123.7303237915039,30.153614341608872,19.771480751378803,26.13495820165556,50,231,114.70892257925605,105.99999999999999,39.1668174204798
BF460203,0.0,167.0,91.51752199821787,96.0,35.55329606630063,0.0,99.23847961425781,28.944675704197504,23.683960193513848,19.63526609130688,90,264,175.4883813210069,176.0,41.89590101368056
BF460204,0.0,255.0,108.04255117200391,108.00000000000001,49.40350147709094,0.0,132.43821716308594,42.37843086872021,37.5348671277917,28.112594515840406,21,195,94.39546880158467,87.0,37.04361413562676
BF460205,0.0,268.0,94.18088869673821,90.66974317817015,50.55521443234945,0.0,167.41944885253906,41.014403506674,34.553525388327664,32.019883623134625,0,268,101.4937099485996,88.46445733222868,60.85304246015123
BF460206,0.0,298.0,149.18105686834585,152.47959724430314,63.141554101110266,0.0,181.43316650390625,45.64132054839887,33.497389753394415,39.99971182385087,72,288,154.25831716742786,148.00000000000003,43.7258648706582
BF460301,0.0,316.0,133.3757577808119,128.429881489842,61.27930198080098,0.0,177.43138122558594,43.0697636560887,33.50854795193546,34.19933193474624,27,388,150.5198724659372,136.40996784565917,66.84387896576305
BF460302,0.0,159.0,74.3791969794641,72.0,35.429708300284744,0.0,109.22372436523438,25.76453290499152,16.213835724329545,24.03474294251871,16,159,65.42951468827704,53.0,35.10387501843108
BF460303,0.0,255.0,104.35050069070658,98.0,54.51941783835615,0.0,192.26991271972656,49.48365991036745,35.44794266266009,43.59925516130543,6,235,81.25309671613384,71.0,50.91076740408244
BF460304,0.0,263.0,125.02786449193715,118.4622144112478,59.740268174038206,0.0,106.92610931396484,32.37607507473424,29.766788172353177,20.964386517086705,28,248,102.19224836987638,100.0,42.18319140910167
BF460305,0.0,255.0,91.21326804338867,90.0,46.201785867009924,0.0,161.0915069580078,45.34417179671461,37.457526806988994,36.65441555271251,28,233,109.99929246603587,102.0,43.45551438084477
BF460306,0.0,210.0,80.0113601671085,68.0,48.01502016672156,0.0,104.65487670898438,27.418354224550527,20.317908775924195,22.29827156415206,40,231,102.40359122680164,90.00000000000001,37.722873814696364
BF460307,0.0,243.0,96.66767772887673,94.0,51.544558001750936,0.0,90.16362762451172,30.727171634475418,30.287766888456527,18.2983623103992,112,348,181.46193648150353,163.0,57.326653396419886
BF460308,0.0,139.0,86.1205574488802,95.99999999999999,33.97702658142853,0.0,83.48419952392578,22.057941045595776,16.138310432434082,18.911118003849857,44,126,72.30799659201561,73.00000000000001,19.714277737976694
BF460309,0.0,198.0,83.23331436567845,80.99999999999999,40.38091754816776,0.0,168.18435668945312,33.17296081248351,19.45643714904785,32.16645493347267,0,220,62.083776793847605,52.99999999999999,45.917481827698296
BF460311,0.0,196.0,99.73722157030647,99.00000000000001,41.3315656692297,0.0,78.99657440185547,24.243656418456144,17.79325828084185,18.51554729512745,63,185,97.99481991267848,90.99999999999999,25.024788280548936
BF460401,0.0,201.0,85.06117561885664,84.0,40.45333526764317,0.0,126.91107177734375,29.08381309222042,21.25285492272923,24.034864857265926,39,215,100.96150264373466,99.0,33.42532977422878
BF460402,0.0,263.0,108.04299935567923,106.55670356703565,57.03472127760007,0.0,129.54551696777344,32.810609081593185,25.45170082960353,27.660813067672713,0,229,67.7888607792657,57.00000000000001,52.10959650028683
BF460403,0.0,253.0,106.26284966018092,104.0,51.4528433547235,0.0,109.117431640625,31.41208317600051,23.65399996439616,25.18211825557013,6,137,52.02990086601651,46.0,30.052657814396113
BF460404,0.0,250.0,92.94031965789452,81.00000000000001,56.93294329049888,0.0,111.28670501708984,36.15919609908953,32.21290697033383,26.325224190040355,24,218,105.61626631051584,100.0,37.93665408158966
BF460405,0.0,270.0,109.1599974296456,100.38922155688623,56.81066311912725,0.0,173.2107391357422,53.91770130239224,43.4048276290592,43.17064995937544,18,300,130.25456505674424,116.63856427378967,75.80606757895654
