GID_3,road_km
BEN.2.6.4_1,1.0277254901960784
BEN.2.6.5_1,6.932313725490196
BEN.2.6.6_1,22.620627450980393
BEN.2.6.7_1,1.9029411764705884
BEN.2.6.8_1,8.3
BEN.2.7.1_1,8.83
BEN.2.7.2_1,23.63
BEN.2.7.3_1,9.15792156862745
BEN.2.8.1_1,0.5
BEN.2.8.2_1,1.48
BEN.2.8.3_1,2.51
BEN.2.8.4_1,11.25
BEN.2.8.5_1,0.0
BEN.2.9.1_1,5.88
BEN.2.9.2_1,0.5262745098039215
BEN.2.9.3_1,6.89
BEN.3.1.1_1,36.868666666666655
BEN.3.1.2_1,31.22478431372549
BEN.3.1.3_1,80.56058823529412
BEN.3.1.4_1,6.092980392156862
BEN.3.1.5_1,1.142078431372549
BEN.3.1.6_1,4.02
BEN.3.1.7_1,4.697803921568628
BEN.3.1.8_1,5.369019607843137
BEN.3.1.9_1,6.56
BEN.3.2.1_1,5.491411764705882
BEN.3.2.2_1,0.0
BEN.3.2.3_1,19.395882352941175
BEN.3.2.4_1,6.29
BEN.3.2.5_1,2.5154509803921568
BEN.3.2.6_1,4.435411764705883
BEN.3.2.7_1,1.52
BEN.3.2.8_1,1.9741176470588235
BEN.3.2.9_1,1.4012156862745095
BEN.3.2.10_1,11.268745098039215
BEN.3.2.11_1,4.6601960784313725
BEN.3.2.12_1,2.2872156862745094
BEN.3.3.1_1,0.52
BEN.3.3.2_1,4.54
BEN.3.3.3_1,12.339647058823529
BEN.3.3.4_1,0.9023921568627451
BEN.3.3.5_1,5.2294117647058815
BEN.3.3.6_1,4.31
BEN.3.3.7_1,0.0
BEN.3.3.8_1,0.0
BEN.3.3.9_1,6.34
BEN.3.4.1_1,0.0
BEN.3.4.2_1,2.1652941176470586
BEN.3.4.3_1,7.777333333333334
BEN.3.4.4_1,3.455921568627451
BEN.3.4.5_1,0.2100392156862745
BEN.3.4.6_1,0.0
BEN.3.4.7_1,0.6217647058823529
BEN.3.4.8_1,0.0
BEN.3.4.9_1,21.773294117647055
BEN.3.4.10_1,5.35964705882353
BEN.3.5.1_1,0.0
BEN.3.5.2_1,0.0
BEN.3.5.3_1,0.0
BEN.3.5.4_1,0.0
BEN.3.5.5_1,0.0
BEN.3.5.6_1,0.0
BEN.3.5.7_1,0.0
BEN.3.6.1_1,3.01
BEN.3.6.2_1,3.2942352941176467
BEN.3.6.3_1,10.493686274509804
BEN.3.6.4_1,0.36
BEN.3.6.5_1,10.088196078431372
BEN.3.6.6_1,7.079803921568628
BEN.3.6.7_1,0.0
BEN.3.6.8_1,5.884549019607842
