GID_3,UI_max,MNDWI_max,NDSI_min,UI_median,OSAVI_mean,BRBA_mean,VARI_min,VARI_median,BRBA_min,MNDWI_mean,NBAI_max,NBAI_mean,SR_median,ARVI_max,MNDWI_min,BRBA_max,UI_min,SR_min,SAVI_median,SR_mean,NDSI_max,OSAVI_median,BRBA_stdDev,VARI_mean,NDVI_stdDev,NDMI_max,NBAI_median,NDVI_median,NDVI_max,NDMI_median,NDMI_min,BRBA_median,NDMI_stdDev,NBAI_stdDev,MNDWI_stdDev,NDVI_min,EVI_min,SAVI_stdDev,SAVI_max,OSAVI_stdDev,UI_stdDev,NDSI_stdDev,NDSI_mean,SR_max,ARVI_mean,NDSI_median,NDVI_mean,EVI_median,SR_stdDev,EVI_max,UI_mean,OSAVI_min,EVI_mean,EVI_stdDev,ARVI_stdDev,ARVI_min,SAVI_mean,MNDWI_median,OSAVI_max,VARI_stdDev,NDMI_mean,NBAI_min,SAVI_min,ARVI_median,VARI_max
BEN.1.1.1_1,0.11860387880098548,-0.26287624220892825,-0.5681954549956019,-0.044878225286091554,0.18338445507086265,0.4963534429737743,-0.3214446276037764,-0.18849571706075233,0.35784608633490694,-0.4523680278128381,-0.6892379966007588,-0.8151428401142784,1.6288925977834652,0.7421965958862339,-0.5681954549956019,0.7371635889514038,-0.4294162555121296,1.1520232638375474,0.1767601657675188,1.662943712319888,-0.26287624220892825,0.17870796110695125,0.039908005558842975,-0.18474960973976992,0.04574195923130053,0.22742215782492795,-0.814929606392616,0.23925326173049657,0.5175160873071282,-0.10255287709433389,-0.26384050747621196,0.4970858395395987,0.03863664007278869,0.032505477514130035,0.030626536391356433,0.0706420169298985,0.0695606519991809,0.031243797332376234,0.3727769360116225,0.032537921169829495,0.05229416519052153,0.030626536391356433,-0.4523680278128381,3.1452159282108805,0.5582340455668983,-0.45215927753941837,0.2460211789723594,0.2294967647548927,0.1717633737121082,0.5307900763909625,-0.051105279752943183,0.05462750432145995,0.23510592779192183,0.045250149393327534,0.03702632772004126,0.3397281197495035,0.17890726687207223,-0.45215927753941837,0.38437852982437803,0.02897521161652742,-0.09959779470435871,-0.9042468398348061,0.05530082809003806,0.555646147086449,0.0057078746230979855
BEN.1.1.2_1,0.13100659325335434,-0.09133452220038832,-0.5705563205275198,-0.044916004441653806,0.1834225508305131,0.4905829104440521,-0.33341127245877417,-0.18653038543823988,0.33316678223273644,-0.4557318906591248,-0.7027949682433173,-0.8196122546759915,1.6327259090028,0.794370947898091,-0.5705563205275198,0.863943346711948,-0.48995933176211676,1.1823126277757063,0.17480078812354188,1.6675662709359798,-0.09133452220038832,0.17870795713138604,0.03563385028340477,-0.18181625403400392,0.04317541864974226,0.2637793741312791,-0.8188455013191406,0.24022086929571335,0.6030605359868461,-0.1074288054545104,-0.25135373528097166,0.49022723573040733,0.03616595719867835,0.029551448359373195,0.026213126494310103,0.08354102224186187,0.07462395924339237,0.026183299678995936,0.39157046728653955,0.028949139438273847,0.05122436060304948,0.026213126494310103,-0.4557318906591248,4.038551671782686,0.5635780202714785,-0.45604919155442775,0.2476016496239425,0.22851902448094513,0.16524753879204906,0.600898681611622,-0.04975845488942656,0.060665311798053304,0.23291292779529424,0.04011618620248695,0.03297111779834441,0.34817152034565585,0.17779551129690954,-0.45604919155442775,0.4249144946065829,0.032111141740194526,-0.10348555685536324,-0.9148552604473573,0.05752518763946179,0.5595665891638153,0.14128203624420865
BEN.1.1.3_1,0.20089230277979817,-0.1347210580236565,-0.5769179571371523,-0.033221936323789426,0.1753688345960277,0.493444081660316,-0.3041950437818348,-0.19434167399361563,0.35294623252615703,-0.4602170249414051,-0.5420678197125495,-0.8174940940930093,1.6014481885184921,0.76616671313075,-0.5769179571371523,0.8678599276539113,-0.48316953144387575,1.0612308315881915,0.16893421924426946,1.622555619762437,-0.1347210580236565,0.17286539202250076,0.03536668945612262,-0.19292900485842346,0.03606725745398347,0.26909886376384234,-0.8193404018151024,0.23238922613965354,0.5535011917489775,-0.11523646890515034,-0.25549479112515855,0.4941359031148209,0.03357350948506088,0.030103252236265005,0.028853352731322217,0.02970595561148912,0.052168828089207336,0.025025175053306526,0.41913632514817956,0.025728928629314363,0.04548366115680618,0.028853352731322217,-0.4602170249414051,3.4792952703148003,0.5601692743523151,-0.4619000084430077,0.23559096012733607,0.21679829005260837,0.1315340760296379,0.5949525503463967,-0.03884937518888472,0.02455543394631616,0.22081155014063764,0.035915108420413726,0.030254979358725426,0.1846494932432432,0.170784978061764,-0.4619000084430077,0.42127345073944955,0.02423268229320776,-0.11336928685110065,-0.8979655251258739,0.026916163159936984,0.5566320681799699,-0.01659678799924545
BEN.1.1.4_1,0.1678099282729736,-0.03441013410970345,-0.6056209606050041,-0.05272865049650506,0.20696836225915288,0.46903495517021804,-0.33697386313749406,-0.17481096099218105,0.31260357902137703,-0.46403761057300164,-0.6828089593507275,-0.8330286932271274,1.7733775583280749,0.7830822130070983,-0.6056209606050041,1.1468950236541111,-0.48250349684670313,1.2668338497522393,0.19433351982078229,1.812007105603799,-0.03441013410970345,0.20409751959631234,0.039269798254982,-0.1676431778799228,0.047074468967317956,0.30588577604123374,-0.8334996607482592,0.2783174616230114,0.5841132995149523,-0.09181268516957478,-0.2521188780630694,0.47070042041518095,0.04201999734344872,0.029060269518037314,0.03637373259293379,0.1177121339446223,0.11375535034434134,0.027342143335215778,0.378328990606668,0.03033490820492849,0.057270761480355446,0.03637373259293379,-0.46403761057300164,3.80900206154081,0.5775638903031146,-0.4628987698226956,0.2854667598773011,0.2626932410820555,0.19838674332681183,0.570526088766808,-0.058559403115190714,0.08781912403082318,0.2668995114962855,0.04133628697297067,0.03724633849124779,0.39003923863901047,0.1966859064627989,-0.4628987698226956,0.41051329736913755,0.040179015829608734,-0.08555926771523117,-0.9184938172765377,0.08516320080295928,0.5751957316754587,0.13035989067775233
BEN.1.1.5_1,0.19335049457947454,-0.0767346644734474,-0.5715464147085764,-0.052727611956730244,0.19542736312629277,0.4800107400503454,-0.3322181418993973,-0.18261980540823985,0.35575286486316887,-0.46149164872674575,-0.6987759971426923,-0.8245646958433518,1.6952911769242973,0.789394032353723,-0.5715464147085764,0.9077588706260175,-0.4781274085098466,1.2309876663579196,0.18456343585535528,1.732977281894086,-0.0767346644734474,0.19041778995529834,0.03639312785104817,-0.17791245890330049,0.04834570694572576,0.2414702578323845,-0.8237249726869572,0.2568411393461163,0.5765897255707515,-0.10255077957176052,-0.25471512621564807,0.4785275442311897,0.04514264051281649,0.02880530659075595,0.029180085854602474,0.10353605707511879,0.08974711696534929,0.027449156709234656,0.39290323636869656,0.03164593962998529,0.06154002146327172,0.029180085854602474,-0.46149164872674575,3.723550940505574,0.5702744984712508,-0.46191137456229125,0.26477371491306795,0.2441332990523325,0.19490980006845104,0.5882783673903154,-0.05866370024911823,0.07671509003995038,0.25094743535362657,0.04452113958217091,0.033834191295037536,0.3744923150434021,0.1887002507194299,-0.46191137456229125,0.4164891470816647,0.03561844636863856,-0.09592608356854992,-0.9154961980332145,0.06628894049811798,0.5654253227754805,0.07210928174911421
BEN.1.1.6_1,0.09239660268758917,-0.04024304892791243,-0.5532608935222939,-0.05761986567695706,0.19743162340812714,0.5022347541290547,-0.3172925326071377,-0.17870970230721847,0.3607050918451938,-0.44221715972237113,-0.6995004423684016,-0.8037186081744183,1.6836074283746407,0.7386275133923431,-0.5532608935222939,1.0751857854980273,-0.3993939239603758,1.2285572068548676,0.19238050654769429,1.713403529633752,-0.04024304892791243,0.19433666756412082,0.032662966289499884,-0.1769271935314272,0.039930445189115156,0.19165852012699947,-0.801263136975515,0.2548875897933233,0.5174798139904787,-0.08106322431836585,-0.2416701718543444,0.5019595377987607,0.03252226793064765,0.02827891176884051,0.025361477137166712,0.10255837550494262,0.08887038229029119,0.02494163667111759,0.3688258726834722,0.027510169898200317,0.04844892024485376,0.025361477137166712,-0.44221715972237113,3.1449043127918697,0.5624368651268754,-0.43944649846556,0.2606499386232996,0.25294727961725294,0.1549386290200968,0.544640552813242,-0.06611715680230063,0.07281797545094953,0.258573481438063,0.03704977662939223,0.035532796016510264,0.38239552774385244,0.19563177289798309,-0.43944649846556,0.3823378191997258,0.02704416271065266,-0.07787126276858855,-0.8898308822476155,0.06758181221807626,0.5576209387081789,0.016203738857082383
BEN.1.1.7_1,0.15867529896639568,0.12426804008285272,-0.5878858409531725,-0.044903543595874125,0.20604474506211282,0.46111121994681936,-0.29804543800784256,-0.18457741658511267,0.3284774341536046,-0.47784759604036264,-0.7105843110719593,-0.8289811134307972,1.7577116747447359,0.7835918041791765,-0.5878858409531725,1.6311752071187477,-0.5382369250422905,1.137815028566457,0.19629088390860178,1.788615851768323,0.12426804008285272,0.2021417154231037,0.04005300149730714,-0.17850348429825955,0.04480323404156894,0.33927199178670014,-0.8276360285572402,0.2714944314019165,0.5989391361875058,-0.10350410466240154,-0.2536108190288911,0.4648524722861146,0.037792399260098815,0.027721077966959447,0.032162587383945014,0.06446536614483003,0.049395497650283636,0.02520694054581262,0.4118566136649191,0.029101984143667436,0.0556562066734242,0.032162587383945014,-0.47784759604036264,3.9867742790656564,0.5835177632929334,-0.4785044770787042,0.27982658931367266,0.25975809136349487,0.18615238666710188,0.6236944599585178,-0.05132607293895215,0.044951472841818496,0.26400985133134103,0.03952097371383947,0.0353271051135279,0.3996127548859443,0.1984215337728129,-0.4785044770787042,0.43463239832658934,0.03568261716738799,-0.100243888703761,-0.9161720331536086,0.041032962225266825,0.5791008899022708,0.044322344322344595
BEN.1.1.8_1,0.1504261670143135,-0.14691263234462146,-0.5764058214924798,-0.052718858166368954,0.19849653949772517,0.47781874655813295,-0.3504878079643667,-0.17676565640617883,0.34746658128551994,-0.46149118689123036,-0.6951313048448791,-0.8211205555710781,1.71089834152948,0.7871155528635843,-0.5764058214924798,0.8664799253034547,-0.45537011554339213,1.2462232305904488,0.19043217257368053,1.740043793370058,-0.14691263234462146,0.19433474429937145,0.037350689115765175,-0.1744047981343621,0.04329101997546328,0.2502625131256562,-0.8207989232265337,0.2607503142054059,0.5551913367966635,-0.09960665789229539,-0.25107658193270566,0.4785202815117908,0.036934749113609944,0.027698549477467995,0.02902543615292007,0.1096165453358462,0.09386417909188333,0.02562007125850179,0.38760183200408505,0.02885445354744584,0.05297234513131077,0.02902543615292007,-0.46149118689123036,3.496315304645348,0.5737819643789854,-0.4619104716672028,0.26739112321117786,0.2509669594732686,0.17185775203149553,0.5546486941195322,-0.05748013706074591,0.07862488182854317,0.25493017810253826,0.03905865779697427,0.03362359188395494,0.40919505909996684,0.19271717539612962,-0.4619104716672028,0.39908008982934834,0.03439282199623143,-0.09572003554331297,-0.9154903249243731,0.07367413057516435,0.5712816994764146,0.035145971682746316
BEN.1.1.9_1,0.19523333628508896,0.05298982745461129,-0.5685194824742397,-0.07226948047986906,0.21200449407134672,0.4721329816904008,-0.32471956943261504,-0.13573788403870657,0.33675425618370874,-0.44315488238394346,-0.6924185283470482,-0.8454589015409774,1.8672445261101578,0.7873650783467787,-0.5685194824742397,1.3258994340753687,-0.4879020592799096,1.0649278697607023,0.19433511545338744,1.8823466973991931,0.05298982745461129,0.21191027671932272,0.033204146824935984,-0.13741763296656204,0.053761907438955814,0.26213067060423095,-0.8500974116278313,0.3027478537309961,0.5807983167444306,-0.06444878676361285,-0.2690058241852034,0.47070462929421764,0.04716395783345075,0.024923050887498965,0.02401497214227864,0.031443165987307155,0.021948812516657895,0.031377270139478504,0.3749142523225975,0.035242487010000184,0.06783716664282691,0.02401497214227864,-0.44315488238394346,3.770973209047649,0.5761223060577156,-0.44334616243927794,0.30189074747245637,0.2714864587255335,0.2284750179533504,0.5863252648172429,-0.07439147459631779,0.018936639632081042,0.27453453062536054,0.048987199527863845,0.0405145534020472,0.3402883003687564,0.1953333048101431,-0.44334616243927794,0.40611273031284206,0.042449607626699054,-0.06355653538538565,-0.9215212760455634,0.015393812835755543,0.5771541870766542,0.11924476979079165
BEN.1.1.10_1,0.07290608249825214,-0.04145422301041912,-0.5309161250876279,-0.04882625217964707,0.18738234031712664,0.5103475297597738,-0.302221941939417,-0.18457329075959508,0.3907578107052607,-0.4388140942043317,-0.6806974123708774,-0.80065941775109,1.6325718323619012,0.7335905580346993,-0.5309161250876279,1.1434957124612295,-0.46402045003236464,1.0711996394321055,0.18260774045604541,1.6647334696420757,-0.04145422301041912,0.18261852521345964,0.029811160936407226,-0.18316527066878086,0.0413796390217642,0.2188320248939985,-0.7983462603141407,0.2392602888592766,0.5103163375021221,-0.0888793772469244,-0.22945376846795845,0.5097902023236061,0.034891439358441724,0.029929550833322098,0.024316088288972443,0.03437603892767551,0.026826104389254462,0.026869046111813993,0.3614394245429314,0.02906901915178217,0.051439361927529716,0.024316088288972443,-0.4388140942043317,3.084269403226552,0.5490012179331121,-0.43848580664038755,0.24704993648842954,0.24119233739808812,0.15550664473960885,0.5179232652329551,-0.05936714643150805,0.024786976703641543,0.24603977654291392,0.039727331038610265,0.03419582664983485,0.38550796682452054,0.18592918061259806,-0.43848580664038755,0.37463337626189186,0.020792146205969614,-0.08411648504572955,-0.8881774318948931,0.023343412645203652,0.5439425017163743,-0.025631067961164985
