GID_3,Pf_Parasite_Rate_min,Pf_Parasite_Rate_max,Pf_Parasite_Rate_mean,Pf_Parasite_Rate_median,Pf_Parasite_Rate_stdDev,Pf_Mortality_Rate_min,Pf_Mortality_Rate_max,Pf_Mortality_Rate_mean,Pf_Mortality_Rate_median,Pf_Mortality_Rate_stdDev
BEN.1.1.1_1,0.444571852684021,0.49944499135017395,0.4722941537184617,0.4732348918914795,0.013185272415022537,0.002267906442284584,0.002969725988805294,0.0026588534827994012,0.0026427980046719313,2.0292170827558304E-4
BEN.1.1.2_1,0.37527158856391907,0.4883509874343872,0.4398844845886154,0.444571852684021,0.02536462049119938,7.328653009608388E-4,0.0032651207875460386,0.002104850196469744,0.0022645588032901287,7.69364184147919E-4
BEN.1.1.3_1,0.4541809856891632,0.4889410436153412,0.47000255048197676,0.4709017276763916,0.010700611157440304,0.002267906442284584,0.0027703847736120224,0.002576398740229033,0.0025532336439937353,1.5793699001227213E-4
BEN.1.1.4_1,0.2999848425388336,0.4592178463935852,0.42137707474577685,0.42598291674159705,0.03155500125218564,6.45503168925643E-4,0.0027094113174825907,0.0013859169021240446,0.0012346035800874233,5.799956641476925E-4
BEN.1.1.5_1,0.23999549448490143,0.4889410436153412,0.391052291974809,0.40185073018074036,0.07413234036278607,7.897650357335806E-4,0.0032651207875460386,0.0018007934421751446,0.0016683816211298108,6.933142052041916E-4
BEN.1.1.6_1,0.4288550019264221,0.49705997109413147,0.4593288685146131,0.4592178463935852,0.017874321089786642,0.0011886610882356763,0.0027862817514687777,0.002397671369215814,0.002610230352729559,4.3448162173800805E-4
BEN.1.1.7_1,0.2999848425388336,0.48759010434150696,0.42616402448892726,0.43300992250442505,0.04997025271177336,6.652497104369104E-4,0.0029506057035177946,0.0017081524998065702,0.0017253704136237502,6.951636054324684E-4
BEN.1.1.8_1,0.3261202275753021,0.4889410436153412,0.44559147565666396,0.44670912623405457,0.04448479824393843,0.0010445016669109464,0.0029506057035177946,0.002241875093056199,0.002272991230711341,5.326610102535824E-4
BEN.1.1.9_1,0.3900016248226166,0.49944499135017395,0.4540278171917052,0.45075592398643494,0.024654823269116388,6.993548013269901E-4,0.002969725988805294,0.0012507296206367593,9.004967287182808E-4,7.232893277998863E-4
BEN.1.1.10_1,0.4288550019264221,0.49944499135017395,0.45501321203293194,0.45923566818237305,0.02156061436762257,0.0020132374484091997,0.002969725988805294,0.0027093028019546436,0.0027614079881459475,3.131063642496077E-4
BEN.1.2.1_1,0.26665475964546204,0.4260776937007904,0.3092716145618654,0.3076538145542145,0.030738331873608752,6.45503168925643E-4,0.002534282859414816,9.72260644489397E-4,7.972179839048006E-4,4.5273169710804354E-4
