GID_3,scale_min,scale_max,scale_mean,scale_median,scale_stdDev,offset_min,offset_max,offset_mean,offset_median,offset_stdDev
BEN.1.1.1_1,0.018869406749477742,0.29336438452204067,0.04468917048463379,0.04013067344610579,0.023009180389284782,0.011493301656714937,1.3654594502988315,0.08474673923260646,0.05838458264684207,0.1392725170735962
BEN.1.1.2_1,-0.05691704385043565,0.14093642354211106,0.03657017797205901,0.03760741674922602,0.010629028710063482,-0.04158287337382457,1.0832775613966876,0.06632207551794667,0.05829934272109457,0.050747675907401556
BEN.1.1.3_1,0.02720261763204776,0.3084553522723062,0.04864878953548607,0.03997164679289264,0.029266020200877024,0.015038722602877811,1.3112568507591884,0.08911934576033241,0.05068242037398218,0.13126301280669744
BEN.1.1.4_1,-0.47439335563658025,0.7745896446258052,0.03608067278167515,0.03586419213150495,0.028372085281591724,-0.5964645041856871,2.2728755146811075,0.0715701617306971,0.05420387880483737,0.10218035147724566
BEN.1.1.5_1,-0.12461663426836908,0.28880984998076675,0.036755262802684555,0.03808316220719358,0.015192574497760864,-0.375946404013597,0.7586970952702575,0.06311445219883335,0.0585168038005442,0.05287510580408963
BEN.1.1.6_1,0.005604496869463695,0.06694506399799138,0.03857152998900219,0.03819891783572385,0.005091418092320228,0.01375750030031971,0.39316701040314955,0.05775357946098204,0.05571052370867085,0.025028545376615592
BEN.1.1.7_1,-0.08846329775128868,0.22491776343641895,0.03834248907434123,0.038063200713648486,0.013370710724435853,-0.13578008533650496,0.588860496462855,0.05789217548043605,0.052776780951014214,0.04155389591170304
BEN.1.1.8_1,-0.005164037673066126,0.1911611537673577,0.03960124332437964,0.03855564989006017,0.011486012717896815,-0.003032083496301701,0.3923688858215298,0.05800727327279872,0.05172316422377208,0.030341463238918957
BEN.1.1.9_1,-0.7055619455627277,0.9367523056200644,0.044161532593998014,0.03617426249378372,0.052656401013821796,-1.42706322906798,3.2820107311390094,0.08050337480656075,0.0481541639969213,0.1463744059567249
BEN.1.1.10_1,0.020141650214403246,0.07748016847264287,0.038952006379774765,0.03843871714660152,0.005339848441943873,0.01284740471150837,0.29043531475499984,0.05896692632273148,0.05380471925931091,0.028899595693720987
BEN.1.2.1_1,-0.4212515768600995,0.22085843013164344,0.03478064121660746,0.03703553119209524,0.01827477608705563,-0.1555812714699035,2.081067742639886,0.07779104254158702,0.05460214430117439,0.08070835924225468
BEN.1.2.2_1,-0.028965359653479288,0.11440940400851625,0.037236007721152785,0.03673014266257836,0.010962750724270333,0.015516615823365837,1.054261509240383,0.0892992603778257,0.06633222899413026,0.09132652434268036
BEN.1.2.3_1,-0.0796153179502913,0.11450579209901791,0.036669698999257073,0.03763346605672381,0.01246584731395396,-0.06389253283019311,0.6315644264575981,0.0756958007716521,0.06436800047605719,0.05081623284371132
BEN.1.2.4_1,-0.1397722110684429,0.5617521589599728,0.03755281418921957,0.03699597519709019,0.020952348904695613,-0.8429282356165848,0.9828925277771694,0.07028895594713415,0.05848988606200768,0.06221974582490586
BEN.1.2.5_1,-0.06270503419329457,0.20838286061189137,0.038422133484385064,0.03611054756043208,0.014610034290743652,-0.14591888146103538,1.7116025237455255,0.07483228029309172,0.0662947024415274,0.06467370134935074
BEN.1.2.6_1,-0.1001869745308622,0.6004278793476433,0.039629076825030446,0.037245830617109676,0.024302294708718933,-0.8933713803056716,0.7284801655748326,0.0689813918886992,0.05840014088072967,0.06564183766597359
BEN.1.3.1_1,-0.8335933307257836,0.8278992389645109,0.03675942410979945,0.0358076522053095,0.04637071213699867,-1.1821721851440434,6.059197259709306,0.10284046040650134,0.049082314693079124,0.23278372319982293
BEN.1.3.2_1,-0.25443376687499475,0.15324711337147856,0.0413460530367001,0.04198961588896409,0.018113214587511303,-0.12317334905604921,1.5297302703426492,0.06657712592133418,0.05064314743096365,0.0790681304283859
BEN.1.3.3_1,-0.060034536740485714,0.09129894840519964,0.03921139037735687,0.03956126992954598,0.008884433397954262,-0.03034333871272836,0.4777602718621286,0.05362629558528774,0.0490323502297063,0.035335759697642605
BEN.1.3.4_1,-0.05169634554962007,0.3356034824003776,0.04232948747979641,0.04000063614530442,0.024237478803171033,-0.24526060886689396,1.642700077877158,0.05684087937429724,0.05086347905523968,0.08742149770487924
BEN.1.3.5_1,-0.011405593685118393,3.1084812077294504,0.13850016098085516,0.05338712542580231,0.305593661986562,-2.183039835388107,1.853340408276944,0.22073313759142918,0.10716708032159752,0.4356871991088002
BEN.1.3.6_1,0.0033599354016284146,1.811573935938733,0.07605892474171527,0.05015118612537438,0.1607207844258549,-1.3907296502230955,1.5376734384113835,0.07779381306629433,0.06951115705587138,0.1880397930721115
BEN.1.3.7_1,-0.14976140264826382,0.11242180619132226,0.03955002833578949,0.040099356353794316,0.012517308820195335,-0.055032878524946795,0.8601032811635551,0.0758205171316398,0.06438481736746385,0.053076820796634325
BEN.1.3.8_1,-0.17296502727549523,0.15665548401773863,0.038248773624040035,0.03811091377555369,0.016325999425715446,-0.09643260121256822,1.008408760291613,0.07797546705534031,0.05854333787800937,0.06822463311528545
BEN.1.3.9_1,-0.02317735623884281,0.055408906892851176,0.036933376500795395,0.037334109021287434,0.004370985495301994,0.012020974460202047,0.3091230086519361,0.05074039877079162,0.04974271469965979,0.017910758074937198
BEN.1.3.10_1,-0.005872110809875829,0.1209611953554919,0.039442818898266056,0.03860672337782736,0.007044587175988419,-0.0063532873589013305,0.35636226859060116,0.048193427797054295,0.04584957821398868,0.0217043770510937
BEN.1.4.1_1,-0.0157095852714736,0.06705168472918947,0.03609444153034844,0.03592901247208275,0.004806272986241289,0.023514507835941566,0.28136701616936727,0.05925176651698842,0.057481208365318275,0.01655380276660499
BEN.1.4.2_1,0.004683525361109614,1.4085296358347303,0.05036583363402125,0.035351472031927726,0.11111096496027152,-2.2257511628150453,0.2609679066208924,0.045153614792194596,0.0554579425469908,0.18465187221244267
BEN.1.4.3_1,-2.425971378128798,1.9519647006115217,0.03838981055238265,0.0400107289848427,0.08567271831396746,-2.8805460613217466,10.728138593610353,0.13372562412586653,0.08488612332170395,0.31316324964090836
BEN.1.4.4_1,-1.0723548673170928,0.8936071735585019,0.02766816408291153,0.03529018173355631,0.05991773968217176,-1.2099799834499467,7.837223534215896,0.1664002192249688,0.08734794594682077,0.2593329005371302
BEN.1.4.5_1,-2.3169981385456464,1.3186001334245139,0.04099402641538328,0.037627244677456526,0.07571152746077484,-1.5543489048018924,12.015142267294106,0.12393164528148008,0.0825790511450716,0.25834690310033936
BEN.1.5.1_1,0.019109308806253552,0.07746295029175512,0.03747480376395406,0.037249429821566114,0.004913254778491312,0.021942672107668062,0.17489467156147362,0.06109481498247662,0.05818028059178148,0.018363536032946097
