GID_3,Walking_Only_Travel_Time_to_Healthcare_min,Walking_Only_Travel_Time_to_Healthcare_max,Walking_Only_Travel_Time_to_Healthcare_mean,Walking_Only_Travel_Time_to_Healthcare_median,Walking_Only_Travel_Time_to_Healthcare_stdDev,Motorized_Travel_Time_to_Healthcare_min,Motorized_Travel_Time_to_Healthcare_max,Motorized_Travel_Time_to_Healthcare_mean,Motorized_Travel_Time_to_Healthcare_median,Motorized_Travel_Time_to_Healthcare_stdDev,Travel_Time_to_Cities_min,Travel_Time_to_Cities_max,Travel_Time_to_Cities_mean,Travel_Time_to_Cities_median,Travel_Time_to_Cities_stdDev
BEN.1.1.1_1,0.0,239.0,73.3292973087294,56.0,57.19504099728787,0.0,62.372737884521484,13.942997273161893,11.373295108108662,13.12320654388152,0,74,17.065589805953564,14.000000000000004,15.886324891539793
BEN.1.1.2_1,0.0,439.0,200.88788504009,198.75,96.29632340520595,0.0,136.31539916992188,41.90729993184142,38.534947315049095,24.827521929379053,24,181,77.46092465153629,74.0,26.523695489683156
BEN.1.1.3_1,0.0,141.0,60.31372752241282,58.0,36.95344107538766,0.0,37.25117874145508,11.45714247342236,11.407468099851865,7.322700799247752,0,46,19.3688138052547,21.0,10.552491912168525
BEN.1.1.4_1,0.0,478.0,205.4125388298696,190.6159420289855,118.25733725710737,0.0,133.2740020751953,42.63247536370517,42.33714753378242,24.022315785222432,22,199,74.04795853570636,70.0,27.453584348436774
BEN.1.1.5_1,26.0,441.0,257.64367960825456,284.47888283378745,105.54041967367695,2.6457266807556152,161.4378204345703,64.96055388405921,61.67730291626524,39.10542957301135,7,196,89.50630290311295,88.0,44.35714642549974
BEN.1.1.6_1,0.0,238.0,94.59354790936469,85.00000000000001,62.66435532718284,0.0,55.217018127441406,19.129723611477417,18.73684310913086,11.975799377640932,12,66,35.796243273929996,36.0,11.896395869921173
BEN.1.1.7_1,0.0,366.0,171.08399299700335,170.72649572649573,93.0043961640285,0.0,138.8909454345703,49.231242787001484,42.331372149735216,33.96128784129505,11,176,73.70241560422328,66.0,40.593550699645114
BEN.1.1.8_1,15.0,365.0,185.96704627721778,192.8,87.53896045270253,1.5541353225708008,124.65985870361328,42.59831826138312,35.618980407714844,27.873570636183025,3,139,50.79631898424013,47.0,30.306697793407153
BEN.1.1.9_1,46.0,556.0,354.5418209025756,386.53120907900484,123.90107589111241,4.662601470947266,167.37188720703125,63.18496509631139,57.548055921282085,32.018555699701096,4,263,87.30416141608255,76.66463944396178,54.216666764198884
BEN.1.1.10_1,0.0,154.0,63.46776838652705,59.0,40.65654394127652,0.0,39.6917839050293,12.193730528912269,10.412886036036502,8.932988437840121,7,54,21.651696732685764,20.0,10.366908058676573
BEN.1.2.1_1,0.0,426.0,217.3792898097112,224.34784464361928,99.82127231961181,0.0,148.43858337402344,52.712013586771356,51.44377036716627,30.305578974956692,46,227,131.43594484299555,130.0,36.67498781416397
BEN.1.2.2_1,0.0,151.0,64.29592287963209,60.0,36.46500960198618,0.0,75.76649475097656,16.544484335754643,14.252169132232666,14.58769629902321,39,126,62.761652073936474,61.00000000000001,17.072393214909486
BEN.1.2.3_1,0.0,225.0,90.85345133674369,79.0,54.72353178072076,0.0,62.58346939086914,19.5133470792584,17.896455908194184,12.627302639484816,20,98,52.40703286298542,50.99999999999999,15.215765586794838
BEN.1.2.4_1,0.0,341.0,149.5484207988427,130.57142857142858,82.13668672534574,0.0,202.36038208007812,41.977850009566374,28.545101369168826,39.1246207970494,69,344,161.17600257172714,160.56185567010309,55.495719419085376
BEN.1.2.5_1,0.0,326.0,169.74371368978882,172.375,73.59234926366507,0.0,164.02259826660156,58.846506119988256,53.32592900594076,37.047244243037696,54,259,147.89744071756584,146.0,46.91143765406438
BEN.1.2.6_1,0.0,291.0,156.56201367142947,162.42857142857142,61.74254226715504,0.0,92.97676086425781,37.26348792619599,36.285246930704304,18.52883561595527,52,153,100.69592471258292,100.0,22.817691180151712
BEN.1.3.1_1,0.0,553.0,215.04637565278244,196.84060077519382,123.36484445254902,0.0,183.37660217285156,61.13042596282479,46.493893474746216,46.00064614998286,18,250,106.80635166537581,96.0,51.95114354194985
BEN.1.3.2_1,10.0,261.0,117.86385957977322,117.0,49.74658911192135,1.092921257019043,120.22673034667969,40.83900647163374,33.38869667053223,27.310646296972585,17,158,70.24933104266125,60.0,33.386372745177866
BEN.1.3.3_1,0.0,391.0,166.93225988226408,180.5,98.36413836506338,0.0,114.2641372680664,40.479171138556,36.17892104309875,27.24735587717758,5,136,56.64773939837186,52.0,30.52002985290516
BEN.1.3.4_1,0.0,303.0,145.69612714888103,144.0,69.1052113313048,0.0,95.3535385131836,31.316169960044867,27.39006805419922,21.239011259485803,0,147,46.177294842685704,43.0,31.338683531479788
BEN.1.3.5_1,0.0,88.0,29.286825053995685,26.0,22.076984637597256,0.0,16.777381896972656,4.5229247361074005,3.687181234359741,3.8010773367866086,0,27,8.445097192224623,6.0,7.420546389828692
BEN.1.3.6_1,0.0,134.0,70.63884420245017,71.0,33.43544335155384,0.0,59.50299072265625,16.103924069070025,14.0135498046875,14.00918626438471,0,64,20.97877737903724,18.0,16.603450052209983
BEN.1.3.7_1,0.0,193.0,93.66764884568649,88.0,43.65699122016028,0.0,62.408321380615234,20.42506728723626,18.663673400878906,12.241657221682676,5,73,30.86928918590521,29.000000000000004,14.512584301028808
BEN.1.3.8_1,0.0,318.0,118.34063518386391,100.695885509839,73.89654403218717,0.0,112.09782409667969,33.32186396728518,24.72695541381836,27.312736616119935,19,168,75.82269230027572,68.00000000000001,34.270550041822524
BEN.1.3.9_1,0.0,163.0,64.35528012239779,65.0,31.90065139063107,0.0,49.45841979980469,14.014632679737343,13.024691150646019,9.573996604943618,29,118,64.08951195612936,62.0,19.170559700800563
BEN.1.3.10_1,0.0,309.0,108.56738020576883,100.5,63.92193709177655,0.0,95.96688842773438,27.701049256802694,21.682587565927193,21.40903813454785,15,132,57.86509705341178,56.99999999999999,24.164243492616322
BEN.1.4.1_1,0.0,237.0,86.14737128847723,76.0,51.13977176547169,0.0,82.32987213134766,23.07604090957732,18.206270224169682,17.9895996167293,62,189,104.28283103439738,98.00000000000001,30.278402538005682
BEN.1.4.2_1,0.0,198.0,77.51984445404604,68.0,45.422505586766604,0.0,128.92742919921875,38.844272462988805,28.41497230529785,34.681757908358996,100,324,160.88559348188377,145.0,54.90797679498523
BEN.1.4.3_1,0.0,731.0,420.8990050682468,433.7474249238357,144.86153549860492,0.0,371.0807800292969,124.85008959957877,117.11671593439054,64.95031405819019,64,517,208.01204742358095,192.41596950121783,84.18067755309261
BEN.1.4.4_1,15.0,767.0,489.90274147501566,513.1666666666666,180.59793118356103,2.068990707397461,413.85296630859375,162.6485059235102,144.92110933472114,91.93082937240388,74,559,273.2511822371269,244.52380952380952,112.55222940906114
BEN.1.4.5_1,10.0,824.0,439.17660738714073,493.1,229.5447108064131,1.4516547918319702,462.249267578125,238.9543813929335,263.08827039930554,129.10828283644824,93,587,377.1764249886001,400.6666666666667,125.59126544665119
