GID_3,degRural_mean,degRural_median
BEN.1.1.1_1,0.8866896774889448,1.0
BEN.1.1.2_1,0.9911050260962837,1.0
BEN.1.1.3_1,0.9045932660288594,1.0
BEN.1.1.4_1,0.9947683573678106,1.0
BEN.1.1.5_1,1.0,1.0
BEN.1.1.6_1,0.9740550606472395,1.0
BEN.1.1.7_1,0.9892845024791217,1.0
BEN.1.1.8_1,0.9839391617717999,1.0
BEN.1.1.9_1,1.0,1.0
BEN.1.1.10_1,0.9646302250803859,1.0
BEN.1.2.1_1,0.9976020537704178,1.0
BEN.1.2.2_1,0.958269582695827,1.0
BEN.1.2.3_1,0.9844769162771385,1.0
BEN.1.2.4_1,1.0,1.0
BEN.1.2.5_1,0.9930314858420743,1.0
BEN.1.2.6_1,1.0,1.0
BEN.1.3.1_1,0.9953557157479483,1.0
BEN.1.3.2_1,1.0,1.0
BEN.1.3.3_1,0.9937702314786538,1.0
BEN.1.3.4_1,0.9797508200190456,1.0
BEN.1.3.5_1,0.7014597256419273,1.0
BEN.1.3.6_1,0.9356363865599193,1.0
BEN.1.3.7_1,0.9934233941475944,1.0
BEN.1.3.8_1,1.0,1.0
BEN.1.3.9_1,0.99106704967421,1.0
BEN.1.3.10_1,0.9865230891193761,1.0
BEN.1.4.1_1,0.9877680241761403,1.0
BEN.1.4.2_1,0.9929371499688862,1.0
BEN.1.4.3_1,0.9978330854110699,1.0
BEN.1.4.4_1,0.9982062117108359,1.0
BEN.1.4.5_1,0.9978698890734686,1.0
BEN.1.5.1_1,0.9539571188617725,1.0
BEN.1.5.2_1,0.9936597956157738,1.0
BEN.1.5.3_1,0.9932349241484763,1.0
BEN.1.5.4_1,0.8885224428695061,1.0
BEN.1.5.5_1,0.9983083198743686,1.0
BEN.1.6.1_1,0.9956438304681317,1.0
BEN.1.6.2_1,1.0,1.0
BEN.1.6.3_1,1.0,1.0
BEN.1.6.4_1,0.9877953724975386,1.0
BEN.1.6.5_1,0.9978837061975595,1.0
BEN.2.1.1_1,0.9006396787598635,1.0
BEN.2.1.2_1,1.0,1.0
BEN.2.1.3_1,1.0,1.0
BEN.2.1.4_1,1.0,1.0
BEN.2.1.5_1,0.9863676458795545,1.0
BEN.2.1.6_1,0.9950247246913205,1.0
BEN.2.1.7_1,1.0,1.0
BEN.2.1.8_1,1.0,1.0
BEN.2.2.1_1,0.9668167503838845,1.0
BEN.2.2.2_1,1.0,1.0
BEN.2.2.3_1,1.0,1.0
BEN.2.2.4_1,1.0,1.0
BEN.2.3.1_1,1.0,1.0
BEN.2.3.2_1,0.9953829022533247,1.0
BEN.2.3.3_1,0.9832031982326623,1.0
BEN.2.3.4_1,1.0,1.0
BEN.2.4.1_1,0.9934006780479809,1.0
BEN.2.4.2_1,0.9426837491571137,1.0
BEN.2.4.3_1,1.0,1.0
BEN.2.4.4_1,0.996028357011767,1.0
BEN.2.4.5_1,0.9620418036345592,1.0
BEN.2.4.6_1,0.9965836012861736,1.0
BEN.2.5.1_1,0.9835812246474792,1.0
BEN.2.5.2_1,0.9887563163046641,1.0
BEN.2.5.3_1,0.9698153409090907,1.0
BEN.2.5.4_1,1.0,1.0
BEN.2.5.5_1,0.9928596096586614,1.0
BEN.2.5.6_1,1.0,1.0
BEN.2.6.1_1,1.0,1.0
BEN.2.6.2_1,1.0,1.0
BEN.2.6.3_1,1.0,1.0
BEN.2.6.4_1,0.6440517513411171,1.0
BEN.2.6.5_1,0.9227802731273536,1.0
BEN.2.6.6_1,0.7940271248351203,1.0
BEN.2.6.7_1,1.0,1.0
BEN.2.6.8_1,1.0,1.0
BEN.2.7.1_1,1.0,1.0
BEN.2.7.2_1,0.9809667403116975,1.0
BEN.2.7.3_1,1.0,1.0
BEN.2.8.1_1,1.0,1.0
BEN.2.8.2_1,1.0,1.0
BEN.2.8.3_1,1.0,1.0
BEN.2.8.4_1,0.9467067965699313,1.0
BEN.2.8.5_1,1.0,1.0
BEN.2.9.1_1,0.9983512646769772,1.0
BEN.2.9.2_1,0.9834497977197499,1.0
BEN.2.9.3_1,0.9559936253699562,1.0
BEN.3.1.1_1,0.5268990529921417,1.0
BEN.3.1.2_1,0.030616676317313258,0.0
BEN.3.1.3_1,0.009881749772595717,0.0
BEN.3.1.4_1,0.5181343637719475,1.0
BEN.3.1.5_1,0.055816686251468864,0.0
BEN.3.1.6_1,0.9482351353175407,1.0
BEN.3.1.7_1,0.28203192407247624,0.0
BEN.3.1.8_1,0.03948763250883391,0.0
BEN.3.1.9_1,0.8041731066460588,1.0
BEN.3.2.1_1,0.6895816048358421,1.0
BEN.3.2.2_1,0.5952040085898354,1.0
BEN.3.2.3_1,0.4365833505474075,0.0
BEN.3.2.4_1,0.6441481481481481,1.0
BEN.3.2.5_1,1.0,1.0
BEN.3.2.6_1,0.9526890997986771,1.0
BEN.3.2.7_1,0.9300591975443983,1.0
BEN.3.2.8_1,0.9364408837096382,1.0
BEN.3.2.9_1,1.0,1.0
BEN.3.2.10_1,0.3202652061112712,0.0
BEN.3.2.11_1,0.7909533249234094,1.0
BEN.3.2.12_1,0.9787767702103028,1.0
BEN.3.3.1_1,0.9658347791271854,1.0
BEN.3.3.2_1,0.5520807061790668,1.0
BEN.3.3.3_1,0.8406385136938764,1.0
BEN.3.3.4_1,0.9554212315829239,1.0
BEN.3.3.5_1,0.4773591427583823,0.0
BEN.3.3.6_1,0.930123195125182,1.0
BEN.3.3.7_1,1.0,1.0
BEN.3.3.8_1,0.3170841457927103,0.0
BEN.3.3.9_1,0.2575342465753425,0.0
BEN.3.4.1_1,0.741320914479255,1.0
BEN.3.4.2_1,0.28404875463698986,0.0
BEN.3.4.3_1,0.4632737276478681,0.0
BEN.3.4.4_1,0.34734384121424394,0.0
BEN.3.4.5_1,0.9352941176470587,1.0
BEN.3.4.6_1,1.0,1.0
BEN.3.4.7_1,0.9293671845395982,1.0
BEN.3.4.8_1,1.0,1.0
BEN.3.4.9_1,0.3296336824553176,0.0
BEN.3.4.10_1,0.9359043997827267,1.0
BEN.3.5.1_1,0.994060406925313,1.0
BEN.3.5.2_1,0.5994294344688705,1.0
BEN.3.5.3_1,0.0,0.0
BEN.3.5.4_1,0.058169491525423736,0.0
BEN.3.5.5_1,0.816326530612245,1.0
BEN.3.5.6_1,0.9768131571852251,1.0
BEN.3.5.7_1,0.060756240822320104,0.0
BEN.3.6.1_1,0.99822032390105,1.0
BEN.3.6.2_1,0.8469270534175759,1.0
BEN.3.6.3_1,0.9187880293058489,1.0
BEN.3.6.4_1,1.0,1.0
BEN.3.6.5_1,0.8616882619029365,1.0
BEN.3.6.6_1,1.0,1.0
BEN.3.6.7_1,0.9519411986430456,1.0
BEN.3.6.8_1,1.0,1.0
BEN.3.6.9_1,0.9012903225806453,1.0
BEN.3.6.10_1,1.0,1.0
BEN.3.7.1_1,1.0,1.0
BEN.3.7.2_1,1.0,1.0
BEN.3.7.3_1,1.0,1.0
BEN.3.7.4_1,0.9301347178087096,1.0
BEN.3.7.5_1,0.7711991181796709,1.0
BEN.3.7.6_1,1.0,1.0
BEN.3.8.1_1,0.8464879754211249,1.0
BEN.3.8.2_1,0.8145371577574968,1.0
BEN.3.8.3_1,0.9945749277198453,1.0
BEN.3.8.4_1,0.6710846208140538,1.0
BEN.3.8.5_1,1.0,1.0
BEN.3.8.6_1,0.9920520231213873,1.0
BEN.3.8.7_1,1.0,1.0
BEN.3.8.8_1,1.0,1.0
BEN.3.8.9_1,0.6341463414634145,1.0
BEN.3.8.10_1,0.49077247561297116,0.0
BEN.3.8.11_1,0.8691549882059109,1.0
BEN.4.1.1_1,0.9891371231126047,1.0
BEN.4.1.2_1,0.9926592510708856,1.0
BEN.4.1.3_1,0.9918539200214671,1.0
BEN.4.1.4_1,0.9898991042174776,1.0
BEN.4.1.5_1,0.9840015057406362,1.0
BEN.4.2.1_1,1.0,1.0
BEN.4.2.2_1,0.988466930997573,1.0
BEN.4.2.3_1,1.0,1.0
BEN.4.2.4_1,0.9959618673592197,1.0
BEN.4.2.5_1,0.9877130343023172,1.0
BEN.4.2.6_1,1.0,1.0
BEN.4.3.1_1,0.9974939765351032,1.0
BEN.4.3.2_1,1.0,1.0
BEN.4.3.3_1,0.9336679440186604,1.0
BEN.4.3.4_1,0.989454345030314,1.0
BEN.4.3.5_1,0.9752587322121604,1.0
BEN.4.4.1_1,1.0,1.0
BEN.4.4.2_1,1.0,1.0
BEN.4.4.3_1,0.9600921618919271,1.0
BEN.4.4.4_1,0.9967381599571437,1.0
BEN.4.4.5_1,1.0,1.0
BEN.4.4.6_1,1.0,1.0
BEN.4.4.7_1,1.0,1.0
