ADM3_PCODE,primary_school_age_girl_CIV_2020,secondary_school_age_girl_CIV_2020
CI030101,1516.1119759540943,1566.636993924776
CI030102,7348.443299987735,7593.333088374604
CI030103,1018.7353678011425,1052.6851216727607
CI030104,1495.841820828588,1539.4117319560523
CI030105,1648.3478015404119,1703.2796372516484
CI030106,1722.0451265409877,1757.307935648338
CI030107,1345.001320871652,1389.8240058253791
CI030108,1630.188376918494,1684.5150413531887
CI030109,1250.1957636730344,1291.8590273006291
CI030110,375.0532614997788,387.5520548016417
CI030111,2588.456911324987,2633.710223007201
CI030201,4398.872809236189,4545.466967981937
CI030202,1476.1653124781212,1525.3590984578223
CI030301,3739.6255708139297,3858.493806663975
CI030302,1407.8526356173506,1450.7784591903874
CI030401,4198.851365200679,4338.779743134277
CI030402,2007.597769980805,2074.501755785941
CI030403,2438.672399677482,2516.447699120466
CI030404,4006.9325777025783,4140.465192954682
CI040101,1845.5480812398816,1391.014783585773
CI040102,1387.7799115103833,1046.2117344285932
CI040103,400.6364706981416,301.9651769903361
CI040104,412.78143318634415,311.483546588935
CI040105,473.209903188196,356.9597269546751
CI040201,1594.3551587654106,1205.7188921255222
CI040202,381.58640997713684,287.60688445404463
CI040203,266.55985766696006,201.75546573832918
CI040204,521.8733703991948,396.87771453226316
CI040205,303.89603302011267,230.6172672049671
CI040206,672.9641171446034,507.3781216640099
CI040301,2836.9064538922944,2138.821703880323
CI040302,389.83700306649285,294.8175018248604
CI040303,1517.1420716082348,1150.1813256483451
CI040304,1582.5939257724617,1193.7009617158017
CI050101,728.5814496082422,575.4301099665023
CI050102,4215.631148486862,3329.0597351671427
CI050103,1741.8308490622276,1372.7835911376808
CI050104,2192.1324880667744,1731.3356592643495
CI050105,1496.391169854472,1181.842526919468
CI050201,3385.9735310928486,2674.2255522344626
CI050202,1360.13065903888,1074.224627745385
CI050203,2413.323519137327,1905.4129595405918
CI050204,2137.160313075197,1687.7107415379262
CI050205,2496.834145867591,1971.524044936312
CI050301,7986.835630984631,6308.574992559473
CI050302,564.7460130191319,447.3954549462187
CI050303,2233.6735907302195,1780.9263641039527
CI050304,769.8765804328168,610.7270058725393
CI060101,1391.7059516051236,1234.270971914834
CI060102,2469.9128116030315,2190.507024550905
CI060103,2475.470332130262,2203.0351697192464
CI060104,1227.2403051301542,1091.0377831804985
CI060105,2649.2675228539647,2356.2373173162064
CI060201,1113.5859712633437,998.6668562155141
CI060202,1055.0772765860836,935.7229863732467
CI060301,4597.035730454032,4088.361938591095
CI060302,1275.2011980398024,1130.9456648863998
CI060303,1679.5336644224828,1490.2534953236145
CI060304,1071.425896775255,950.2221857998884
CI060401,4516.717334960021,4005.984338217155
CI060402,1167.653437108619,1035.5641174842326
CI060403,2012.9178639533475,1789.4335755217307
CI060404,2887.9324300452763,2603.8553054608556
CI070101,4796.165777805506,3621.2483694648045
CI070102,4167.19134261515,3142.006479916267
CI070201,4516.718975961557,3675.826917939912
