ADM3_PCODE,Pf_Parasite_Rate_min,Pf_Parasite_Rate_max,Pf_Parasite_Rate_mean,Pf_Parasite_Rate_median,Pf_Parasite_Rate_stdDev,Pf_Mortality_Rate_min,Pf_Mortality_Rate_max,Pf_Mortality_Rate_mean,Pf_Mortality_Rate_median,Pf_Mortality_Rate_stdDev
CI030101,0.18468058109283447,0.32617220282554626,0.24055149987921015,0.22644437849521637,0.04017296962843424,7.561896345578134E-4,0.0020396618638187647,0.0014948202374832759,0.0016075323801487684,3.2417285388032947E-4
CI030102,0.13405053317546844,0.30632510781288147,0.22038489960952645,0.22836464643478394,0.037627044086981025,4.2265094816684723E-4,0.0033011948689818382,0.0020924351755965956,0.002017608378082514,6.553583345282777E-4
CI030103,0.22836464643478394,0.39155861735343933,0.3090659657060677,0.3071925938129425,0.04204271108011618,0.001001350348815322,0.0021322460379451513,0.0015964016957088238,0.0016293344087898731,2.5876566183129435E-4
CI030104,0.24458880722522736,0.3827208876609802,0.31431387511924147,0.32588276267051697,0.036009098133541986,0.0015761847607791424,0.002848642412573099,0.0021299290978557964,0.0021757427603006363,3.018712715811021E-4
CI030105,0.14781054854393005,0.26493367552757263,0.2050143332904033,0.20126426219940186,0.030062152117377776,0.0015331159811466932,0.00353058148175478,0.002433364562277257,0.002436770824715495,5.145429933084949E-4
CI030106,0.313898503780365,0.39398258924484253,0.3644084710229557,0.3679457902908325,0.022634150190082677,0.001096127787604928,0.0021246913820505142,0.0014671649832999358,0.0013914970913901925,2.9508199417772836E-4
CI030107,0.1978994458913803,0.33645159006118774,0.2529247714906122,0.2561752498149872,0.03289359000437685,0.001331821782514453,0.003213210729882121,0.002273943552423935,0.002359003759920597,4.899376586902402E-4
CI030108,0.16925053298473358,0.23336751759052277,0.19916128375111744,0.2033638060092926,0.017824211993655095,0.0016821144381538033,0.003052591346204281,0.0020956506707761574,0.002030201954767108,3.090408069677114E-4
CI030109,0.15808114409446716,0.25847670435905457,0.21258532626671328,0.20595401525497437,0.029964062447820256,0.0011446395656093955,0.0026462646201252937,0.0019285882019172505,0.0019038600148633122,3.883493388884361E-4
CI030110,0.15808114409446716,0.25274908542633057,0.19491087818933914,0.18922075629234314,0.02548466121196652,0.0011446395656093955,0.0024240566417574883,0.001725934780576105,0.0017785319359973073,3.470957382772198E-4
CI030111,0.21885892748832703,0.4144790768623352,0.32876532276661397,0.33548402786254883,0.048604292716728864,9.285600390285254E-4,0.0026239913422614336,0.0019512673256291968,0.001990153221413493,3.2879963529437397E-4
CI030201,0.14871127903461456,0.25131508708000183,0.21481521754362368,0.22412368655204773,0.02365962763051038,7.40804651286453E-4,0.0017934242496266961,0.0013511341527885365,0.0014202202437445521,2.3587585076717554E-4
CI030202,0.14871127903461456,0.24880176782608032,0.20762807115479484,0.20678582787513733,0.023141922559380974,8.606092887930572E-4,0.0022820024751126766,0.0016130806654680427,0.0016122579108923674,3.295642740034496E-4
CI030301,0.21858978271484375,0.36422041058540344,0.29798888894640974,0.29329732060432434,0.029105148082400327,3.395868989173323E-4,0.0012348308227956295,6.873125957294261E-4,7.180157117545605E-4,2.381201296714873E-4
CI030302,0.21858978271484375,0.3578318655490875,0.2808192041428651,0.29091349244117737,0.036705028125021286,3.395868989173323E-4,0.0012975195422768593,7.181145402942461E-4,6.286251591518521E-4,2.702446721366603E-4
CI030401,0.16012771427631378,0.31807586550712585,0.23869571743418078,0.23958922922611237,0.02846953475225659,4.4522678945213556E-4,0.0015580755425617099,0.0010235780817667666,0.0010644966969266534,2.727360783280817E-4
CI030402,0.20771148800849915,0.25266557931900024,0.23531582977740925,0.23640763759613037,0.011653577192731449,0.0011134552769362926,0.0018216518219560385,0.0015563957565969352,0.0015931385569274426,1.7216615296262343E-4
CI030403,0.23958922922611237,0.4138883054256439,0.3309750135817982,0.3255057632923126,0.044180645372770166,5.846255808137357E-4,0.0018447316251695156,0.0013817499591627285,0.0014109991025179625,2.413544532532695E-4
