ADM3_PCODE,volume_batis_m3
CI170102,4908808.858823529
CI170103,1.5329114600000001E7
CI170104,6827257.486274509
CI170105,4740195.6
CI170106,3379988.8588235294
CI170107,3025722.8470588233
CI170108,4090104.905882353
CI170109,1749907.294117647
CI170110,1355609.9411764706
CI170201,2.563505670980392E7
CI170202,9927952.007843139
CI170203,1702735.0745098041
CI170301,1.7227257666666668E7
CI170302,1567974.066666667
CI170303,8524060.498039218
CI170304,2490011.7215686273
CI170305,8517898.349019608
CI170306,7047542.250980394
CI180101,2.8254330611764688E7
CI180102,1.2392683746666662E8
CI180103,1.3470787501960784E7
CI180104,1.303337318039216E7
CI180105,7146005.933333333
CI180106,4700991.976470586
CI180201,2.891390300392157E7
CI180202,6303731.925490197
CI180203,1.0424636937254904E7
CI180204,5858606.854901961
CI180205,5395991.145098039
CI180206,2.057448056862746E7
CI180207,6206456.898039215
CI180301,4.3422940819607824E7
CI180302,1.395705245490196E7
CI180303,1.000800365490196E7
CI180304,2.341393407450981E7
CI180305,5113661.588235292
CI180306,3.1609163031372547E7
CI180401,1.2477388262745097E7
CI180402,3321367.921568627
CI180403,4314908.466666668
CI180404,7383040.184313728
CI190101,1349994.8862745098
CI190102,2777186.7058823532
CI190103,2.3259515729411766E7
CI190104,3606709.6431372548
CI190105,1884059.462745098
CI190106,9038304.733333332
CI190107,2061706.7686274513
CI190201,1.1943325294117648E7
CI190202,4674697.247058825
CI190203,2343166.0
CI190301,9020163.925490199
CI190302,1179715.494117647
CI190303,3791889.4313725485
CI190304,2103107.823529412
CI190305,2435415.28627451
CI200101,5.912352533725488E7
CI200102,6434612.705882354
CI200103,1.2658986454901962E7
CI200104,5355671.678431375
CI200105,1.8366577423529413E7
CI200106,1.3987411949019616E7
CI200107,9269825.756862743
CI200201,2.893769109019608E7
CI200202,7305458.152941178
CI200203,4892048.050980392
CI200204,7907315.243137255
CI200205,2773966.6705882344
CI200301,7211933.517647059
CI200302,7442692.90980392
CI210101,1302379.9882352941
CI210102,1754298.850980392
CI210103,1011227.9215686275
CI210201,6001394.196078433
CI210202,1214128.0078431373
CI210203,2464098.5843137265
CI210301,2.837854677647059E7
CI210302,4331745.662745098
CI210303,1726777.043137255
CI210304,1092396.2549019607
CI210305,2066750.0196078431
CI210401,1731917.066666667
CI210402,1626431.917647059
CI210501,3280805.5960784312
CI210502,2595819.7960784305
CI220101,6055926.180392155
CI220102,7049537.780392155
CI220103,7.761378527450979E7
CI220104,2.0532987372549027E7
CI220105,6368851.984313727
CI220106,1.4328687152941175E7
CI220107,6849374.02745098
CI220201,1.5556333501960788E7
CI220202,1.2875800537254905E7
CI220203,5769849.615686274
CI220204,5660371.937254901
CI220301,3.511213128235295E7
CI220302,3604073.0470588235
CI220303,7431876.164705882
CI220304,3600825.6901960783
CI220305,2.15522548E7
CI220306,2925786.8431372554
CI230101,3139917.3333333335
CI230102,3.553961752156861E7
CI230103,5.42226594509804E7
CI230104,3797099.564705882
CI230105,2144461.0392156867
CI230106,6824546.392156863
CI230107,1.0210886262745095E7
CI230201,3.599642028235295E7
CI230202,4843078.219607843
CI230203,1.3068990592156865E7
CI230204,2911930.9960784307
CI230301,1.6248316799999997E7
CI230302,9169469.811764702
CI230303,1521263.725490196
CI230304,7243715.894117647
CI230305,5790501.403921569
CI230306,4475306.592156862
CI230307,8202012.890196081
CI240101,4.054539535294116E7
CI240102,7918935.098039214
CI240103,3128203.4862745097
CI240104,2673200.996078431
CI240105,4775179.270588234
CI240106,3955770.674509804
CI240201,1.3383952109803919E7
CI240202,2.5906086125490207E7
CI240203,7633663.521568626
CI240301,3467054.6705882354
CI240302,8958811.309803922
CI240303,1517277.313725491
CI240304,7952118.835294117
CI240305,4391982.235294117
CI240401,1.0897557501960797E7
CI240402,3712502.537254901
CI240403,2780170.835294117
CI250101,1.2283393941176472E7
CI250102,7043522.062745101
CI250103,5275607.678431372
CI250201,1.0202567121568628E7
CI250202,3942992.1843137266
CI250203,1.722815182352941E7
CI250204,6149638.203921569
CI250301,1.5852698266666666E7
CI250302,3294994.9254901963
CI250303,1861018.1843137257
CI250304,7947593.733333333
CI270101,4082527.6509803915
CI270102,1.376805377254902E7
CI270103,3588319.101960784
CI270104,4087450.337254902
CI270201,1880872.1019607843
CI270202,2417129.8274509804
CI270203,2.0561823023529414E7
CI270204,1266577.6078431373
CI270301,6861227.615686274
CI270302,1378326.956862745
CI260101,1.7664429062745094E7
CI260102,1.327803177254902E7
CI260201,1.0791916843137259E7
CI260202,1.3287203811764706E7
CI260301,3.2596567439215682E7
CI260302,1.4845918541176466E7
CI260401,6.860957806666668E7
CI260402,1.3042915631372549E7
CI260403,2.181509478431373E7
CI260404,1.901297480392156E7
CI260405,1.7155796956862748E7
CI280101,6430491.21960784
CI280102,1.3373024309803922E7
CI280103,4266689.976470589
CI280201,1.527298996352941E8
CI280202,1638932.2980392158
CI280203,7714314.51372549
CI280204,5878322.737254901
CI280205,6701103.976470589
CI280206,2570161.0862745093
CI280207,3850535.509803921
CI280208,4742579.11372549
CI280209,6837623.411764706
CI280210,5041894.929411764
CI280211,3101382.541176471
CI280212,8739270.160784313
CI280213,7345508.819607844
CI280214,8999312.419607842
CI280215,3485525.211764706
CI280216,4996030.584313726
CI280301,1.782581903921568E7
CI280302,3579840.219607843
CI280303,2058883.929411765
CI280304,3470289.9058823534
CI280401,1.097041588235294E7
CI280402,2709332.5333333346
CI280403,1889482.2941176468
CI280404,1267198.7803921567
CI290101,1.0432201587450981E8
CI290102,2.588003003529411E7
CI290103,1.1089437090196077E7
CI290104,2.9083987545098033E7
CI290105,2.4599994345098037E7
CI290201,9933543.509803921
CI290202,1755056.9372549017
CI290203,2481686.8588235285
CI290204,1.6689399827450981E7
CI290205,1.0060119349019608E7
CI290206,1493460.4784313722
CI300101,2.8897726513725493E7
CI300102,7829478.933333333
CI300103,6061626.921568627
CI300104,4881130.850980393
CI300105,8597955.745098041
CI300106,5948363.521568627
CI300107,1.0483513152941182E7
CI300108,8835242.764705881
CI300201,1.1845866596078431E7
CI300202,6764051.2313725455
CI300203,2555485.160784314
CI300301,3464429.6666666674
CI300302,3.2112824305882357E7
CI300303,3.613651840784313E7
CI300401,4236831.086274512
CI300402,4570239.423529412
CI300403,3700756.0784313735
CI310101,4.4527276207843125E7
CI310102,2318963.439215686
CI310103,2472738.2862745095
CI310201,7319040.007843137
CI310202,4838666.600000001
CI310203,2216428.7098039207
CI310204,3962894.2117647063
CI310301,2.2737925470588226E7
CI310302,1.820406961960785E7
CI310303,8068715.623529412
CI310304,9228698.54509804
CI310305,1.1979449478431372E7
CI320101,1.5753980039215691E7
CI320102,4145644.196078431
CI320103,601748.2980392156
CI320104,1.0325051333333332E7
CI320105,2329363.109803921
CI320106,1319926.3960784315
CI320107,7601605.807843137
CI320201,5727735.7647058815
CI320202,3.357221272156864E7
CI320203,2063973.5490196082
CI320204,4817083.690196077
CI320205,1.3440159309803925E7
CI320206,3071703.6588235307
CI320207,5173704.882352941
CI320301,6.273258812941178E7
CI320302,3506822.6000000006
CI320303,347949.64313725487
CI320304,3840184.2
CI320305,6537028.305882352
CI320306,5024386.105882353
CI320307,896003.4392156863
CI320308,1.2463939152941177E7
CI320309,1897253.6823529413
CI320310,914197.968627451
CI320311,2934705.6941176476
CI320401,4715911.462745097
CI320402,5316618.788235294
CI320501,2.4600184764705874E7
CI320502,3176894.7176470584
CI320503,3824511.0
CI320504,2622914.905882353
CI320505,8498316.77254902
CI320506,2309472.96862745
CI330101,1.2065717349019608E7
CI330102,2349919.176470588
CI330103,5711926.992156862
CI330104,4284116.964705882
CI330201,2.9136559894117646E7
CI330202,7207131.552941175
CI330203,1129809.9843137255
CI330204,2009068.77254902
CI330205,5288110.047058824
CI330206,3467485.8666666667
CI330207,9077532.937254904
