ADM3_PCODE,road_km
CI230103,27.96
CI230104,0.0
CI230105,0.09
CI230106,1.25
CI230107,0.0
CI230201,36.25
CI230202,7.97
CI230203,5.42
CI230204,0.57
CI230301,7.82
CI230302,19.97078431372549
CI230303,1.5
CI230304,10.57
CI230305,1.7591372549019608
CI230306,0.0
CI230307,5.305764705882353
CI240101,18.859843137254902
CI240102,7.271254901960784
CI240103,0.0
CI240104,0.0
CI240105,0.0
CI240106,1.498705882352941
CI240201,7.5
CI240202,17.63
CI240203,7.89
CI240301,0.0
CI240302,7.484823529411765
CI240303,0.0
CI240304,0.0
CI240305,6.055058823529412
CI240401,0.0
CI240402,0.0
CI240403,0.0
CI250101,5.649529411764706
CI250102,8.21929411764706
CI250103,2.31
CI250201,13.54
CI250202,0.0
CI250203,13.231019607843136
CI250204,4.94
CI250301,6.67
CI250302,0.0
CI250303,3.54
CI250304,0.2
CI270101,0.5325882352941177
CI270102,9.53
CI270103,0.0
CI270104,0.0
CI270201,2.06
CI270202,0.8474117647058823
CI270203,15.96
CI270204,0.68
CI270301,3.04
CI270302,0.0
CI260101,0.0
CI260102,0.0
CI260201,9.96
CI260202,12.44
CI260301,18.1
CI260302,12.97
CI260401,30.587568627450977
CI260402,0.0
CI260403,12.122392156862745
CI260404,12.07
CI260405,7.06
CI280101,4.54
CI280102,10.02
CI280103,4.45
CI280201,57.74
CI280202,0.0
CI280203,0.0
CI280204,3.33
CI280205,2.510235294117647
CI280206,0.0
CI280207,2.72
CI280208,2.79
CI280209,0.0
CI280210,0.0
CI280211,0.0
CI280212,4.099764705882353
CI280213,4.23
CI280214,0.0
CI280215,0.0
CI280216,5.22
CI280301,8.33
CI280302,0.56
CI280303,0.0
CI280304,0.0
CI280401,2.79
CI280402,0.93
CI280403,0.0
CI280404,0.82
CI290101,50.289725490196076
CI290102,0.0
CI290103,0.0
CI290104,17.07
CI290105,11.4
CI290201,3.62
CI290202,0.0
CI290203,0.87
CI290204,19.502431372549022
CI290205,9.15
CI290206,4.76
CI300101,12.63
CI300102,7.52
CI300103,0.05
CI300104,3.69
CI300105,8.695019607843136
CI300106,0.0
CI300107,0.46
CI300108,7.914980392156862
CI300201,0.0
CI300202,0.0
CI300203,0.0
CI300301,0.3
CI300302,17.36
CI300303,17.540941176470586
CI300401,0.0
CI300402,2.425843137254902
CI300403,0.4541176470588235
CI310101,24.8
CI310102,2.59
CI310103,3.88
CI310201,11.57
CI310202,3.66
CI310203,4.32
CI310204,7.84
CI310301,8.06
CI310302,3.38
CI310303,4.37
CI310304,5.03
CI310305,5.4
CI320101,7.91
CI320102,0.0
CI320103,0.0
CI320104,1.875019607843137
CI320105,0.0
CI320106,0.0
CI320107,0.0
CI320201,0.0
CI320202,25.56
CI320203,0.0
CI320204,7.01
CI320205,9.83
CI320206,3.38
CI320207,0.0
CI320301,51.86
CI320302,2.83
CI320303,0.7547843137254903
CI320304,3.71
CI320305,7.75
CI320306,0.0
CI320307,0.0
CI320308,5.62
CI320309,0.0
CI320310,0.0
CI320311,0.0
CI320401,0.0
CI320402,0.0
CI320501,11.82
CI320502,0.0
CI320503,4.59
CI320504,2.22
CI320505,6.39
CI320506,0.0
CI330101,12.66
CI330102,4.52
CI330103,4.65
CI330104,4.4
CI330201,21.16
CI330202,8.84
CI330203,3.01
CI330204,2.88
CI330205,4.89
CI330206,5.82
CI330207,10.36
