ADM3_PCODE,population_density_CIV_2020
CI030101,66.81709076227244
CI030102,116.54923941584319
CI030103,45.68131399574556
CI030104,50.9455695480194
CI030105,67.66670233867548
CI030106,83.33658919577893
CI030107,111.86570218956417
CI030108,49.13273370820082
CI030109,87.45226484629131
CI030110,54.78025221990952
CI030111,74.40135304029215
CI030201,144.51773403353187
CI030202,72.11692783763108
CI030301,97.70197551738715
CI030302,54.51821002288242
CI030401,90.82460822348207
CI030402,60.117881301176894
CI030403,38.45237255282623
CI030404,186.94686984784926
CI040101,26.102058487061388
CI040102,21.98082456813293
CI040103,12.787041694569348
CI040104,36.59943455696835
CI040105,10.92753002103736
CI040201,31.793008971586076
CI040202,27.378086055028795
CI040203,15.681938699203464
CI040204,19.037835936186976
CI040205,12.83836717664109
CI040206,23.414601636854854
CI040301,38.715055317780596
CI040302,20.19984330342443
CI040303,31.516223107345013
CI040304,15.033439802026143
CI050101,35.297174777340054
CI050102,44.515291099763274
CI050103,18.766695439708972
CI050104,38.72862043408946
CI050105,29.13899335601348
CI050201,65.05651730553016
CI050202,73.23739346011459
CI050203,34.70069978936363
CI050204,26.121730430323392
CI050205,47.01125888536218
CI050301,88.49035518891056
CI050302,23.163096731530583
CI050303,63.1107092130649
CI050304,28.96620654988481
CI060101,61.431618839588424
CI060102,70.81700284200538
CI060103,85.17439010725076
CI060104,114.6304745124714
CI060105,75.70443284581941
CI060201,80.52428704145609
CI060202,65.36281415807571
CI060301,61.6792651568061
CI060302,39.98691003766784
CI060303,37.10218684250632
CI060304,38.471420301067276
CI060401,64.6748949447502
CI060402,60.921507656475825
CI060403,65.43939670982766
CI060404,49.71356813161072
CI070101,45.645200728138
CI070102,38.791307557949025
CI070201,84.03330121592356
CI070202,78.80326651607828
CI070301,38.24281524691778
CI070302,32.91134597717951
CI070303,40.88133928674709
CI070304,38.3916506255782
CI070305,47.33138286988186
CI080101,25.552724610438116
CI080102,27.40520933172909
CI080103,40.39436948700914
CI080104,0.1986877959858812
CI080105,8.372852169564599
CI080201,29.723909713462533
CI080202,72.75303477027465
CI080203,30.048729512971654
CI080204,43.62624812294179
CI080301,19.106925038280306
CI080302,24.948034831634615
CI080303,17.46211133343126
CI080304,20.06937911548491
CI080305,13.315965873498051
CI080401,17.260500963147518
CI080402,19.834860340326433
CI080403,14.276591615926966
CI090101,47.64586052230576
CI090102,23.906530506113675
CI090103,48.08324518210512
CI090104,70.27248977853297
CI090105,40.98434998528133
CI090201,70.02578647308957
CI090202,48.57390037250693
CI090203,53.7261843399961
CI090204,65.39085606635346
CI090301,19.297775514092688
CI090302,43.22473535601347
CI090401,150.45035521953506
CI090402,47.69073899517097
CI090403,57.15141616738348
CI090404,111.85371918357161
CI090405,80.34832485200319
CI090406,39.79787935724292
CI010101,9797.840013957797
CI010102,383.53382913953357
CI010103,370.1160419431918
CI010104,104.84298689317617
CI010105,149.64979017098364
CI020101,43.21723027620828
CI020102,84.74155698619418
CI020201,369.96615486361026
CI020202,81.00813643054066
CI100101,12.104147609922995
CI100102,25.67382860201043
CI100103,28.399202342761917
CI100201,13.4930134626977
CI100202,8.398752342174221
CI100203,10.951053181267588
CI100204,14.395696943635937
CI110101,45.17662305854449
CI110102,70.58657624478808
CI110103,80.44190476761018
CI110104,46.84177806961965
CI110105,65.27135379092766
CI110106,85.38922440805898
CI110107,71.1141877285881
CI110201,74.76229961924994
CI110202,71.94151840514137
CI110203,39.88922808900286
CI110204,99.81514463850156
CI110301,368.0394631402782
CI110302,26.45672824517082
CI110303,118.25292456345687
CI110304,111.63344532412022
CI110305,21.50941430231033
CI110401,55.2951156748376
CI110402,72.07717313499376
CI110403,75.95306154502494
CI110404,27.91526470723342
CI120101,53.21423454708897
CI120102,68.43606217465818
CI120103,44.89542909678554
CI120201,112.2043739463702
CI120202,109.60028138698743
CI120203,55.250252389679666
CI120204,162.05162248676422
CI120205,54.939511582462345
CI120206,65.81331067573797
CI130101,231.12573834630533
CI130102,107.59979287217607
CI130103,98.57740650685949
CI130104,195.76250377696127
CI130105,90.51256457415188
CI130106,291.93831706382286
CI130107,100.98784881682354
CI130108,71.09720325386333
CI130109,136.55151520575933
CI130110,88.06047340698677
CI130111,118.12757186962247
CI130112,145.4817343431356
CI130201,116.25007814430516
CI130202,197.78320145643812
CI130203,214.95325761578246
CI130204,145.4614312142235
CI140101,77.85849086416096
CI140102,31.207296720236823
CI140103,181.78105829745934
CI140104,62.005313987122534
CI140105,44.26040677324366
CI140106,66.06571715938483
CI140107,88.91327060962597
CI140108,32.734424030486345
CI140109,57.683109659111174
CI140110,27.208856349430118
CI140111,31.79156116486457
CI140112,64.91556521533602
CI140201,32.02965757434377
CI140202,23.812431837852664
CI140203,65.5783091386604
CI140204,23.451913167241006
CI140205,44.73564776132025
CI140206,50.39862723003402
CI140301,31.5906145722807
CI140302,34.09233489718934
CI140303,12.750068489875309
CI140304,14.568346230830299
CI140401,77.87429499616299
CI140402,32.276790520434844
CI140403,28.30698480851132
CI140404,28.73517078048576
CI140501,83.71753131343313
CI140502,78.93314339562171
CI140503,74.38421416521946
CI150101,199.47441743463986
CI150102,78.99450938632849
CI150103,52.41327043927738
CI150201,91.23629803307105
CI150202,79.19232108121071
CI150203,79.39598397396556
CI150204,76.62154626393762
CI150205,113.99325508193623
CI150301,84.56808509627491
CI150302,300.28591438964054
CI160101,156.33003857499085
CI160102,206.89143457179367
CI160103,145.51339178642414
CI160104,349.1746197816737
CI160105,140.09639454573252
CI160106,131.18207759243512
CI160107,286.2938768183613
