ADM3_PCODE,UI_max,MNDWI_max,NDSI_min,UI_median,OSAVI_mean,BRBA_mean,VARI_min,VARI_median,BRBA_min,MNDWI_mean,NBAI_max,NBAI_mean,SR_median,ARVI_max,MNDWI_min,BRBA_max,UI_min,SR_min,SAVI_median,SR_mean,NDSI_max,OSAVI_median,BRBA_stdDev,VARI_mean,NDVI_stdDev,NDMI_max,NBAI_median,NDVI_median,NDVI_max,NDMI_median,NDMI_min,BRBA_median,NDMI_stdDev,NBAI_stdDev,MNDWI_stdDev,NDVI_min,EVI_min,SAVI_stdDev,SAVI_max,OSAVI_stdDev,UI_stdDev,NDSI_stdDev,NDSI_mean,SR_max,ARVI_mean,NDSI_median,NDVI_mean,EVI_median,SR_stdDev,EVI_max,UI_mean,OSAVI_min,EVI_mean,EVI_stdDev,ARVI_stdDev,ARVI_min,SAVI_mean,MNDWI_median,OSAVI_max,VARI_stdDev,NDMI_mean,NBAI_min,SAVI_min,ARVI_median,VARI_max
CI030101,0.10320663691839109,0.22757494351108198,-0.7189782483876566,-0.5488372219593471,0.5089092749511845,0.31231326152720623,-0.6086888269691154,0.16795916192149946,0.11423535453069265,-0.4479933460390147,-0.38957765519777965,-0.9060564341549873,6.437578913696478,0.9734644396551724,-0.7189782483876566,1.6490148231780606,-0.740378738989773,1.1517368040261735,0.5019735122956,6.324991891263934,0.22757494351108198,0.5292723609200087,0.13076912646445413,0.1672697235089693,0.12335582006966704,0.4703166796099751,-0.9238863732136049,0.7285270658906601,0.8926529208746705,0.2715065748842177,-0.15113174085699635,0.2694968967063869,0.07146225651546632,0.05782505595110746,0.09339352569330013,0.07051829189436858,-36.01554976158615,0.08097528709217303,0.6973840583396147,0.08598142638142496,0.10055150105457734,0.09339352569330013,-0.4479933460390147,17.631154348084,0.8061709745745395,-0.4746196228517263,0.6923130958426211,0.8622987954281001,2.265245439711652,14.69258608647806,-0.527116753861751,0.05703160719461873,0.7888774283420783,0.16382122077450526,0.10153050532768287,0.09681105731214586,0.48995288902782724,-0.4746196228517263,0.6788447389032616,0.11506917399286078,0.26248408829900854,-0.9691777432310538,0.06082687580077304,0.837907002041627,0.7783312949318366
CI030102,0.13453591705262663,0.3247981138581704,-0.7019727041545663,-0.5214989515212445,0.4682231114215037,0.38337352648253087,-59.22696629213102,0.15087235007986077,0.06081706466173983,-0.3937226951686052,-0.3861446769459267,-0.8833999989470273,5.3130827436788906,1.1787674429833739,-0.7019727041545663,1.9879449386557715,-0.7452218196306949,1.054892255619052,0.46678533427565744,5.319690131788826,0.3247981138581704,0.4941496432731206,0.16318413096086323,0.12324219620956284,0.1481519351588342,0.5063251231527094,-0.9121493037866691,0.6816526930552969,0.9360896630155024,0.27150013216885227,-0.21485076695795496,0.3319998318672493,0.07716907414161508,0.07580865958352329,0.11337656060726374,0.026712960481967148,-377.17546691263254,0.09118813549088854,0.7019955527681168,0.1006047884085803,0.11662819817597264,0.11337656060726374,-0.3937226951686052,30.29384219152422,0.7737566065224959,-0.4258346435280711,0.6362014001198831,0.7174785639965768,2.201594557305949,30.465203879837574,-0.49906100944701925,0.022628283084098096,0.7171854884215605,0.41367350159193106,0.13541207327572563,0.03946444201904062,0.45191889251738393,-0.4258346435280711,0.6816421378776142,0.12971429523201367,0.2620010758014091,-0.9760561960979277,0.025618207293520677,0.8243384205399968,18.46780766096235
CI030103,0.07250394443871007,0.2480198878418223,-0.669067377428278,-0.5214688910241181,0.48309551686801316,0.3695525751995023,-0.2808590362938188,0.128892562582633,0.11599149360707817,-0.4071463634417929,-0.4223840428577726,-0.8814596467409002,5.468614954493306,1.103694269447414,-0.669067377428278,1.6699172479146696,-0.7305201442259597,1.1172998408414645,0.48634543675270625,5.5446389016753335,0.2480198878418223,0.5097612365662847,0.16575491278142676,0.13291040971846466,0.14683661550651092,0.487891269702401,-0.9121422230012151,0.6933696019078627,0.8852676136806296,0.2675713855569812,-0.14873103530772155,0.3163676794203342,0.07208376665788634,0.07701545412439494,0.11535075763444186,0.05540067522739092,0.1546293003392277,0.09238712518668835,0.6997997595306328,0.10121869162072902,0.10768905162942774,0.11535075763444186,-0.4071463634417929,16.431869624264376,0.7680576683612331,-0.44728589791374157,0.6476194525156633,0.7816426412894724,2.2726181739438256,15.363100406745552,-0.5017192512873115,0.045817104583872864,0.7676620672489718,0.15876480792133466,0.13229094789030904,0.05536348994779517,0.4724120591771794,-0.44728589791374157,0.6735646135975045,0.11625581251452104,0.26181484437557967,-0.9619745163431535,0.050252880105776894,0.8165092215012577,0.7890545476318794
CI030104,0.005253395305204309,0.27514196558629234,-0.6723984763851875,-0.4550638018943518,0.4274208272780006,0.46192832186833105,-4.364501448076097,0.029847356717617648,0.14032616590003735,-0.3447363458877506,-0.34584507092019395,-0.840375990662418,3.9686895191888696,1.139330120768636,-0.6723984763851875,1.8094590058336284,-0.7241404676340711,1.0663229870192077,0.43946595110563025,4.173905918104025,0.27514196558629234,0.44726073426973073,0.1738303221732267,0.07168643221525313,0.15498973623269885,0.4606285691465996,-0.8730816992204872,0.595733218451607,0.8551809202956582,0.24023623405593633,-0.17032717283213014,0.41792357693849747,0.07082792648097776,0.09302180338806104,0.11671981660361602,0.032097105552158896,-34.01797323135781,0.09512225245535642,0.6768995794874509,0.10635841026602245,0.1163211374346496,0.11671981660361602,-0.3447363458877506,12.810334964723834,0.7083134575268205,-0.369148019962097,0.5630504733667706,0.6372724064114972,1.7963150253610647,26.317510350018832,-0.4487760939270477,0.027075913754036222,0.6884104701909763,0.16944684541514046,0.15647643312525136,0.024029418497029206,0.4260497962889911,-0.369148019962097,0.6622045553701151,0.10254451398064834,0.24092896006419534,-0.9605012732925909,0.030481059751352492,0.7696160821967003,11.445751633987173
CI030105,0.10090688035182517,0.4647616214466328,-0.6246274787763585,-0.5136787404121949,0.44258784510418986,0.44022341058137254,-0.6974608159758231,0.09762878831478723,0.09276623112856276,-0.35468298462226566,-0.4178763665649799,-0.8769419175210286,4.562278457498117,1.120023366777389,-0.6246274787763585,2.7837643443292905,-0.7404907844435427,1.1606029329548875,0.4394556805581182,4.721296078442728,0.4647616214466328,0.46679794392389123,0.20579610353518418,0.0993880412816666,0.14991871816530583,0.5963798691371613,-0.9004113969350236,0.6425890466719525,0.9201272282310801,0.2754003125256002,-0.19992118619523983,0.3827909276356665,0.0734119727174512,0.07448895648463616,0.13200161841666344,0.07433246086324775,-1.1504978323168487,0.08925024121956904,0.6701734940211725,0.10034920774795059,0.10112522485797786,0.13200161841666344,-0.35468298462226566,24.039822153489297,0.7460209338940142,-0.3867391657046436,0.6032991413843483,0.6568764340734642,1.9546698288411637,13.314437367303642,-0.4987763706777445,0.06412204565551462,0.6778814768708177,0.1457289958543309,0.1420753439946436,0.04715978181565514,0.42597289683627204,-0.3867391657046436,0.6598179140399724,0.09816380459393374,0.2673427954009259,-0.9713824631433187,0.07445125962746126,0.8008828721325268,0.7275977653631289
CI030106,0.004284735199420198,0.27197875626985096,-0.6506825839245179,-0.466817276116588,0.4536860542225713,0.40146276171469025,-0.4963338973491254,0.06639308568041882,0.13969842373402927,-0.3989313551395946,-0.35903108613022333,-0.8663785371976466,4.531341563018552,1.0684660225185658,-0.6506825839245179,1.7845154768943223,-0.7305595311115655,0.9889018160664618,0.45897925387816124,4.676105367509626,0.27197875626985096,0.4746102765199269,0.1555583632694068,0.0794657496646771,0.14327916324010054,0.46835431707000497,-0.8965079612197601,0.6386759218178371,0.8604955027489591,0.232411131933673,-0.12536909546738836,0.35539669415154596,0.0740153836308507,0.08049021198131881,0.11178236738391858,-0.005580056211868498,-2.063612608000467,0.09102577389889005,0.682463595493543,0.09944694043402491,0.11148374194076707,0.11178236738391858,-0.3989313551395946,13.336455378932785,0.7442850093959318,-0.4355687854317649,0.6036032377129746,0.7184281131686482,1.8809285705238439,7.0581864169087085,-0.457987009293752,-0.004868129896537311,0.713784184242735,0.14907447987337522,0.1354545181364655,0.011996696313252148,0.4471125036219223,-0.4355687854317649,0.6647580458850918,0.10325570713450566,0.2334482276803891,-0.9654996493352829,-0.005744710882486735,0.7930531737365956,0.8358499756453971
CI030107,0.0264762430564636,0.373130316404658,-0.6749630174993695,-0.5019510191162166,0.45440421547507204,0.430174216792298,-2.230068337129849,0.10156112941926719,0.08916446813354578,-0.3568535901172368,-0.3637202816389968,-0.8577417308713803,4.562346183881414,1.0115941340334162,-0.6749630174993695,2.2647071028425207,-0.735960918669831,1.0662700935065144,0.4668344785573073,4.8593409714971,0.373130316404658,0.4785067377004638,0.18657077310193695,0.11051281858282304,0.15997062271843956,0.47565767123085334,-0.8926084976676114,0.642563436626671,0.9045502766866418,0.26761122842113805,-0.15625886036678324,0.38266706274891804,0.07484028302204615,0.08928139805287573,0.12496812317189927,0.03207232864414752,0.12049916190974554,0.10008898814210107,0.7180326630318447,0.11041009321113225,0.11524264712621919,0.12496812317189927,-0.3568535901172368,19.95343947131272,0.7335505836762782,-0.38675718110898405,0.6026978454427698,0.7420851625885331,2.2294685993759904,3.2916885713991157,-0.4866362348174745,0.028538571057202852,0.7340103029195779,0.15983488731260373,0.1555472000865613,0.03207232864414752,0.4496526561737865,-0.38675718110898405,0.6698815278618041,0.11245756927722284,0.26273559504087635,-0.9645929597831698,0.03468654401189632,0.7949112777807622,0.6884134329042014
CI030108,0.03184282973220983,0.3823792409677919,-0.7077821928111776,-0.5722932908503335,0.48413889732641324,0.3689273228641542,-14.98766954377291,0.18169401470146543,0.10132614161732491,-0.3925045996735172,-0.3671747419734362,-0.8956055600766187,5.936774921234074,1.1930799946504655,-0.7077821928111776,2.3789623153703734,-0.7734739776362889,1.0683013538521478,0.47462286288992983,5.961580933489215,0.3823792409677919,0.509760374041947,0.1728217207286336,0.15825001259431107,0.1506587586041924,0.5137540759326654,-0.9238991760914118,0.7128886100251922,0.899059613613744,0.3027318722711349,-0.21430475479630462,0.3202260894254371,0.07135126310270849,0.07613844802937683,0.11546545046578657,0.03302292179277381,-80.86217303822852,0.0929073385343303,0.7018189340042997,0.10186730476439326,0.11139702154473195,0.11546545046578657,-0.3925045996735172,18.813674898636208,0.7842588910876167,-0.4180033407997423,0.6649946837348273,0.7348462034369679,2.439792763136239,103.91489361702098,-0.5420196593155059,0.02869829447212531,0.7475732707877899,0.26715114529532036,0.13548307538572135,-0.06210316779352713,0.4625459909333596,-0.4180033407997423,0.6755900988095199,0.12510200803272223,0.2903140837895891,-0.9744242624773427,0.033675895022450594,0.8321341348101622,13.52032157213033
CI030109,0.03377763910398117,0.28894399402652116,-0.6948643954395238,-0.5488454816295032,0.48735318006215445,0.35982926527132236,-0.40083833068167957,0.1367043521318668,0.05048827596165985,-0.4057238378425078,-0.41715096377342964,-0.8926873753907331,5.625560724915658,1.1462406727359673,-0.6948643954395238,1.8819388313821601,-0.7495877903265068,1.090946171675709,0.4824056017693818,5.7737034257902895,0.28894399402652116,0.509762784168722,0.15301489427561754,0.144530152799335,0.1374336319380055,0.48105735434652336,-0.9199449290774179,0.701158457112179,0.9532696227486884,0.2871245965098379,-0.1673007036263822,0.3164059864355639,0.07235976794772557,0.06912784419342168,0.10672773322203326,0.04349522379278836,0.05530902554179797,0.0847621800391725,0.705110276227593,0.09305294079148874,0.11054730195801472,0.10672773322203326,-0.4057238378425078,41.79871290668583,0.7959954034959442,-0.4277366539430052,0.6628539239861492,0.7578295941888935,2.264070770677416,2.332001817312859,-0.5207142766052797,0.03630137871328698,0.7434500353680724,0.1503713104168493,0.1193807434015351,0.059639629068495216,0.469827955540207,-0.4277366539430052,0.6726486134829632,0.11925082391746927,0.2757958640137462,-0.9729143577535574,0.039202290090096556,0.8399734700948693,0.7184885290148442
CI030110,-0.009538041472954041,0.2500522158710673,-0.6807247578140047,-0.5800999206369224,0.5041832217157904,0.3370164826862432,-1.43915671988839,0.16400552745732572,0.11745068593229972,-0.41651401954593636,-0.4274371545912238,-0.9040784866899272,6.2813612113794415,1.1262543477391758,-0.6807247578140047,1.6528475616687508,-0.7494666666666666,1.179141823589128,0.49411306652243714,6.2315651365769575,0.2500522158710673,0.5214975637645081,0.14271704910294858,0.1702602434063229,0.1270269629977681,0.4712033122557831,-0.9277809974759447,0.7246035820361596,0.8862771529269695,0.29886036551540585,-0.12242803303664504,0.3008059922249136,0.06422261100815879,0.06443035788596287,0.10044926972572754,0.08220751015373327,-23.34664366116188,0.08051230088497742,0.6947349217756648,0.08666480995140345,0.09929186986953964,0.10044926972572754,-0.41651401954593636,16.586615631559447,0.8032430010694946,-0.4394375967124945,0.6883744867487839,0.8114268866875833,2.204304987914328,3.2981878088962095,-0.5514883281164362,0.07211336458047563,0.779982947308118,0.15659177938171195,0.11084697372592288,0.1078831373834436,0.4841013534678151,-0.4394375967124945,0.6821049633269245,0.11052223502424899,0.28906303279390594,-0.9672754665641908,0.08578621194392773,0.8399281675035085,1.0279558522239123
