ADM3_PCODE,young,elderly,working,dependency_ratio
CI030101,7554.786674921469,533.2357971534558,10262.11841641208,0.7881435532004629
CI030102,36280.82176747531,2560.7914211234825,49282.40930510311,0.7881435533748714
CI030103,5285.2855131322,373.04871126175215,7179.319302305122,0.7881435531885572
CI030104,7829.3840996472245,563.2105396462606,10583.984229346323,0.7929523001388505
CI030105,8441.302292351917,595.8082933323541,11466.325580725532,0.7881435532299309
CI030106,8746.048650405386,653.4014812516969,11706.092346205425,0.802953697414146
CI030107,6846.520661353607,483.2446050060092,9300.038346655841,0.7881435530849497
CI030108,8373.6184780945,591.0309999423271,11374.386608169354,0.7881435533058286
CI030109,6495.793551123475,458.48940537090505,8823.624741519823,0.7881435532690776
CI030110,2230.375341273752,157.42548714875613,3029.652172898593,0.7881435531716502
CI030111,13690.327907836801,1031.084025844909,18283.642581270782,0.8051684377576865
CI030201,23002.526979391027,1623.5760628146118,31245.707638429867,0.7881435532577725
CI030202,8302.504200313186,586.0115758612561,11277.787833569424,0.7881435532699876
CI030301,19796.8567184318,1397.8415592068636,26887.003881544562,0.7882878423723092
CI030302,6874.454119522768,487.9160028760613,9324.949142550417,0.7895346140606605
CI030401,20787.836502267673,1467.257652951865,28237.361155893297,0.7881435532291152
CI030402,10335.957126955847,729.5377849810567,14039.948518514097,0.7881435531864763
CI030403,12818.521225989727,907.4039083667998,17399.416957293557,0.7888727057950548
CI030404,20317.219256230434,1434.0403072242407,27598.093614515994,0.7881435532204292
CI040101,10320.608357356195,738.9773019537053,10975.007259866246,1.0077064549882297
CI040102,7917.0574795003995,567.1594409631906,8442.229759802578,1.0049734681305327
CI040103,2340.037254589891,167.5515974253297,2488.4120170635897,1.0077064548877481
CI040104,2330.4586440596345,166.93911672660687,2484.267464114337,1.0052853796386956
CI040105,2618.5184724068454,187.51287467995732,2786.315964843123,1.0070757884218597
CI040201,9193.81141433055,658.7980023807572,9818.078380864612,1.0035170870008532
CI040202,2196.6385402439837,157.28394738809578,2335.920819508207,1.0077064547623076
CI040203,1451.6072345700743,103.95363019580127,1544.5703494235192,1.0071155809422718
CI040204,3048.0211951216234,218.6891403511533,3277.8808498556104,0.9965921536216529
