ADM3_PCODE,scale_min,scale_max,scale_mean,scale_median,scale_stdDev,offset_min,offset_max,offset_mean,offset_median,offset_stdDev
CI320301,-0.3035069973695846,2.8216982732216516,0.15052414841000258,0.054098671930827555,0.2805292140418876,-1.9942437369997303,18.207838119495484,0.44628155766975375,0.17091870337077286,1.3753588003764665
CI320302,-0.14931630666944243,0.5330058369172981,0.05518824747619187,0.040890931195969184,0.05076521073188452,-0.500444088698021,4.1491335751488805,0.13347944733146985,0.10937561816449048,0.2287448755621478
CI320303,-0.13851842020656996,0.38896238263086635,0.03984001539638397,0.04091348215096177,0.035485644324200774,-0.21770059636383804,1.4372909549130695,0.16554856363287987,0.13705945042966142,0.1420746827757394
CI320304,-0.01922381735805954,1.0303407214703926,0.06621954849727002,0.0506371317987071,0.07296121257175817,-1.3115466925747958,1.3074990598307479,0.08993194605459523,0.10173035898246102,0.11738117580119732
CI320305,0.00242702809295484,0.37051809725519325,0.04600701479513029,0.038021578397391516,0.032916221124503084,-0.18577701235855265,1.7269377894699574,0.149540443510102,0.12107346684519331,0.13824821453251204
CI320306,0.024266483428488885,0.4524867936436619,0.04388436796625541,0.038026765446631715,0.025249444985762353,-0.2517130519374318,0.8411015372704631,0.1186642372485728,0.10563534118007425,0.0635783242580287
CI320307,-0.7394373136616889,0.30894981226828394,0.025157618610631618,0.035668336255646284,0.06896224352047245,-0.08330184461166416,3.802297671392028,0.20071152266817946,0.11731347946565227,0.31580902503086056
CI320308,-0.8324702216674008,0.35624414704008295,0.03872529922924355,0.03570213260984352,0.03897880792603934,-0.42878955878162134,4.454226189137054,0.12849894195269843,0.10907443037310408,0.17506427736419897
CI320309,0.02981763491351601,0.552933399282795,0.05195551804407469,0.041051445295598475,0.055166806326444814,-0.6362852002414348,2.4360869713127613,0.1352772456797445,0.10165394534871326,0.19989433737950027
CI320310,-0.23881979998190045,0.12307254391323243,0.028599173754090816,0.038374387672637386,0.04203177883788882,0.07944660298692595,1.5712409277136128,0.242595696044402,0.16181088723133752,0.2401790542636391
CI320311,0.02462253519444771,0.37051809725519325,0.043599455142906855,0.04008700744099926,0.026195271256132437,-0.14845290231772065,0.7604886280051211,0.1217030305085546,0.10749289120516267,0.06587210414597106
CI320401,-0.06672795808741025,0.19771419144983934,0.039688088571134914,0.038131504382032694,0.012331559369623303,-0.1740305407895773,1.9727216797570388,0.09112188953143129,0.08467477427065545,0.0887577506626476
CI320402,-0.020077142293476277,0.541879252602701,0.04151490472740194,0.03732347704792456,0.02226149783892795,-0.6127272313627016,0.32812742631150676,0.0759103817178093,0.07622744082157933,0.03497445531543054
CI320501,-0.8715734705328941,5.716406789563951,0.07834940471986925,0.042531565611249954,0.22654592385854602,-0.8329544776074943,9.442311505831423,0.2266213683173133,0.14610724174574957,0.5285783208025249
CI320502,0.01594657324520605,0.49547169013004305,0.06445959817801482,0.04577728968971277,0.06022494924981206,-0.5981120351519037,0.8480658332950303,0.07936719546986884,0.09777734330397317,0.12174877290874844
CI320503,-0.13603449239772522,0.4719284598693429,0.04330010898380912,0.03695390415945395,0.041171089655551496,-0.4208584319511872,1.3228305254541781,0.14400945217277383,0.1289296753235727,0.12585195606262395
CI320504,-0.03003013236004682,0.23294408273206846,0.03850652349997488,0.03606788448465506,0.019723492651893052,-0.1886987737518558,0.8272241309196466,0.1274106139685729,0.12122787032714315,0.06773360967168437
CI320505,-0.02757700135753978,0.5822580121623885,0.0695807650739266,0.04882253803940898,0.06283897444634921,-0.35925109012030243,1.8392556123435497,0.13523852161654776,0.11701685286608286,0.1561119100470274
CI320506,0.029359142212169467,0.5908101416259471,0.06473140148189632,0.04489756352606047,0.06374327824641896,-0.7687741428990627,0.37652744714536573,0.09667914857555406,0.11288149859926735,0.10050399958977314
