COUNTRY,GID_0,NAME_1,GID_1,NAME_2,GID_2,NAME_3,GID_3,TYPE_3,mean_p0,sd_p0,cv_p0
Benin,BEN,Collines,BEN.5_1,Bantè,BEN.5.1_1,Atocoligbé,BEN.5.1.3_1,Arrondissement,0,0,
Benin,BEN,Atlantique,BEN.3_1,Allada,BEN.3.2_1,Atogon,BEN.3.2.4_1,Arrondissement,0,0,
Benin,BEN,Kouffo,BEN.7_1,Aplahoué,BEN.7.1_1,Atomè,BEN.7.1.2_1,Arrondissement,.42105263,.4937382,1.1726283
Benin,BEN,Ouémé,BEN.10_1,Aguégués,BEN.10.3_1,Avagbodji,BEN.10.3.1_1,Arrondissement,.71428573,.45176518,.63247126
Benin,BEN,Zou,BEN.12_1,Zogbodomey,BEN.12.9_1,Avlamè,BEN.12.9.2_1,Arrondissement,.45901638,.49832532,1.0856373
Benin,BEN,Atlantique,BEN.3_1,Ouidah,BEN.3.4_1,Avlékété,BEN.3.4.5_1,Arrondissement,.55387151,.49710986,.8975184
Benin,BEN,Mono,BEN.9_1,Grand-Popo,BEN.9.4_1,Avloh,BEN.9.4.3_1,Arrondissement,.34230623,.47452676,1.3862638
Benin,BEN,Ouémé,BEN.10_1,Avrankou,BEN.10.5_1,Avrankou,BEN.10.5.2_1,Arrondissement,.18181819,.38572434,2.1214838
Benin,BEN,Ouémé,BEN.10_1,Adjohoun,BEN.10.2_1,Awonou,BEN.10.2.3_1,Arrondissement,0,0,
Benin,BEN,Kouffo,BEN.7_1,Dogbo,BEN.9.6_1,Ayomi,BEN.9.6.1_1,Arrondissement,.69578987,.460078,.66123122
Benin,BEN,Atlantique,BEN.3_1,Allada,BEN.3.2_1,Ayou,BEN.3.2.6_1,Arrondissement,.10810811,.31053492,2.872448
Benin,BEN,Atlantique,BEN.3_1,Tori-Bossito,BEN.3.7_1,Azohouè-Kada,BEN.3.7.3_1,Arrondissement,0,0,
Benin,BEN,Kouffo,BEN.7_1,Aplahoué,BEN.7.1_1,Azovè,BEN.7.1.3_1,Arrondissement,.32706121,.46914378,1.434422
Benin,BEN,Ouémé,BEN.10_1,Adjohoun,BEN.10.2_1,Azowlissè,BEN.10.2.4_1,Arrondissement,0,0,
Benin,BEN,Mono,BEN.9_1,Bopa,BEN.9.2_1,Badazoui,BEN.9.2.2_1,Arrondissement,.67241377,.46935442,.69801432
Benin,BEN,Donga,BEN.6_1,Ouaké,BEN.6.4_1,Badjoudè,BEN.6.4.1_1,Arrondissement,.76595747,.42341354,.55278987
Benin,BEN,Alibori,BEN.1_1,Gogounou,BEN.1.2_1,Bagou,BEN.1.2.1_1,Arrondissement,.44671091,.49715528,1.112924
Benin,BEN,Zou,BEN.12_1,Zagnanado,BEN.12.8_1,Banamè,BEN.12.8.2_1,Arrondissement,.69385129,.46090052,.66426414
Benin,BEN,Plateau,BEN.11_1,Ifangni,BEN.11.2_1,Banigbé,BEN.11.2.1_1,Arrondissement,.29270291,.45500678,1.5545003
Benin,BEN,Alibori,BEN.1_1,Banikoara,BEN.1.1_1,Banikoara,BEN.1.1.1_1,Arrondissement,.26897776,.44343308,1.6485864
Benin,BEN,Collines,BEN.5_1,Bantè,BEN.5.1_1,Bantè,BEN.5.1.4_1,Arrondissement,0,0,
Benin,BEN,Donga,BEN.6_1,DjougouRural,BEN.6.5_1,Barei,BEN.6.5.1_1,Arrondissement,.57319033,.49462363,.86293089
Benin,BEN,Donga,BEN.6_1,DjougouRural,BEN.6.5_1,Bariénou,BEN.6.5.2_1,Arrondissement,.57907057,.49371287,.85259533
Benin,BEN,Donga,BEN.6_1,Bassila,BEN.6.1_1,Bassila,BEN.6.1.2_1,Arrondissement,.53061002,.49906668,.94055265
Benin,BEN,Borgou,BEN.4_1,Kalalé,BEN.4.2_1,Basso,BEN.4.2.1_1,Arrondissement,.76237625,.42563134,.55829567
Benin,BEN,Donga,BEN.6_1,DjougouRural,BEN.6.5_1,Bélléfoungou,BEN.6.5.3_1,Arrondissement,.37288135,.48359045,1.2969017
Benin,BEN,Borgou,BEN.4_1,Bembèrèkè,BEN.4.1_1,Bembèrèkè,BEN.4.1.1_1,Arrondissement,.27848101,.44825995,1.6096607
Benin,BEN,Alibori,BEN.1_1,Kandi,BEN.1.3_1,Bensékou,BEN.1.3.2_1,Arrondissement,.40000001,.48990512,1.2247628
Benin,BEN,Borgou,BEN.4_1,Bembèrèkè,BEN.4.1_1,Béroubouay,BEN.4.1.2_1,Arrondissement,1,0,0
Benin,BEN,Collines,BEN.5_1,Savè,BEN.5.6_1,Bèssè,BEN.5.6.2_1,Arrondissement,0,0,
Benin,BEN,Borgou,BEN.4_1,Tchaourou,BEN.4.8_1,Bétérou,BEN.4.8.2_1,Arrondissement,.4385795,.49621755,1.1314199
Benin,BEN,Kouffo,BEN.7_1,Djakotomey,BEN.7.2_1,Bètoumey,BEN.7.2.2_1,Arrondissement,.4206267,.49366489,1.1736413
Benin,BEN,Atakora,BEN.2_1,Kouandé,BEN.2.4_1,Birni,BEN.2.4.1_1,Arrondissement,.85645354,.35063627,.4094049
Benin,BEN,Alibori,BEN.1_1,Karimama,BEN.1.4_1,Birni-Lafia,BEN.1.4.1_1,Arrondissement,.2857143,.45176402,1.581174
Benin,BEN,Borgou,BEN.4_1,Nikki,BEN.4.4_1,Biro,BEN.4.4.1_1,Arrondissement,.44927537,.49742708,1.1071764
Benin,BEN,Collines,BEN.5_1,Bantè,BEN.5.1_1,Bobè,BEN.5.1.5_1,Arrondissement,.375,.48413798,1.2910346
Benin,BEN,Zou,BEN.12_1,Bohicon,BEN.12.3_1,BohiconI,BEN.12.3.3_1,Arrondissement,.12280702,.32822204,2.6726651
Benin,BEN,Zou,BEN.12_1,Bohicon,BEN.12.3_1,BohiconII,BEN.12.3.4_1,Arrondissement,.24411067,.42956173,1.7597008
Benin,BEN,Collines,BEN.5_1,Savè,BEN.5.6_1,Boni,BEN.5.6.3_1,Arrondissement,0,0,
Benin,BEN,Ouémé,BEN.10_1,Bonou,BEN.10.6_1,Bonou,BEN.10.6.3_1,Arrondissement,0,0,
Benin,BEN,Mono,BEN.9_1,Bopa,BEN.9.2_1,Bopa,BEN.9.2.3_1,Arrondissement,.64637476,.47810763,.73967558
Benin,BEN,Borgou,BEN.4_1,N'Dali,BEN.4.3_1,Bori,BEN.4.3.1_1,Arrondissement,.75308645,.43122652,.57261223
Benin,BEN,Atlantique,BEN.3_1,Tori-Bossito,BEN.3.7_1,Bossito,BEN.3.7.4_1,Arrondissement,0,0,
Benin,BEN,Borgou,BEN.4_1,Bembèrèkè,BEN.4.1_1,Bouanri,BEN.4.1.3_1,Arrondissement,.39534885,.48893091,1.2367076
Benin,BEN,Donga,BEN.6_1,DjougouRural,BEN.6.5_1,Bougou,BEN.6.5.4_1,Arrondissement,.32467532,.46827424,1.4422847
Benin,BEN,Borgou,BEN.4_1,Kalalé,BEN.4.2_1,Bouka,BEN.4.2.2_1,Arrondissement,1,0,0
Benin,BEN,Atakora,BEN.2_1,Boukoumbé,BEN.2.1_1,Boukoumbè,BEN.2.1.1_1,Arrondissement,.19266655,.39440054,2.0470629
Benin,BEN,Atakora,BEN.2_1,Kérou,BEN.2.3_1,Brignamaro,BEN.2.3.1_1,Arrondissement,.78899086,.40803128,.51715589
Benin,BEN,Atlantique,BEN.3_1,Abomey-Calavi,BEN.3.1_1,Calavi,BEN.3.1.2_1,Arrondissement,.17383313,.3789674,2.1800642
Benin,BEN,Collines,BEN.5_1,Ouèssè,BEN.5.4_1,Challa-Ogoi,BEN.5.4.1_1,Arrondissement,0,0,
Benin,BEN,Atakora,BEN.2_1,Cobly,BEN.2.2_1,Cobly,BEN.2.2.1_1,Arrondissement,.12820514,.33432803,2.6077585
Benin,BEN,Atlantique,BEN.3_1,Toffo,BEN.3.6_1,Colli-Agbamè,BEN.3.6.2_1,Arrondissement,0,0,
Benin,BEN,Mono,BEN.9_1,Comè,BEN.9.3_1,Comè,BEN.9.3.3_1,Arrondissement,.32562026,.46860975,1.4391296
Benin,BEN,Donga,BEN.6_1,Copargo,BEN.6.2_1,Copargo,BEN.6.2.2_1,Arrondissement,.56966162,.4951331,.86917055
Benin,BEN,Plateau,BEN.11_1,Ifangni,BEN.11.2_1,Daagbé,BEN.11.2.2_1,Arrondissement,.081081077,.27296698,3.3665929
Benin,BEN,Mono,BEN.9_1,Houéyogbé,BEN.9.5_1,Dahé,BEN.9.5.1_1,Arrondissement,.52586347,.49935052,.94958204
Benin,BEN,Atlantique,BEN.3_1,Toffo,BEN.3.6_1,Damè,BEN.3.6.3_1,Arrondissement,0,0,
Benin,BEN,Ouémé,BEN.10_1,Bonou,BEN.10.6_1,Damè-Wogon,BEN.10.6.4_1,Arrondissement,.1632653,.36962417,2.263948
Benin,BEN,Ouémé,BEN.10_1,Dangbo,BEN.10.7_1,Dangbo,BEN.10.7.1_1,Arrondissement,.15686275,.36368036,2.3184621
Benin,BEN,Collines,BEN.5_1,Dassa-Zoumè,BEN.5.2_1,DassaI,BEN.5.2.2_1,Arrondissement,.485524,.49981353,1.0294311
Benin,BEN,Collines,BEN.5_1,Dassa-Zoumè,BEN.5.2_1,DassaII,BEN.5.2.3_1,Arrondissement,.32773381,.46939486,1.4322442
Benin,BEN,Atakora,BEN.2_1,Matéri,BEN.2.5_1,Dassari,BEN.2.5.1_1,Arrondissement,.32180732,.4671745,1.4517212
Benin,BEN,Zou,BEN.12_1,Ouinhi,BEN.12.6_1,Dasso,BEN.12.6.1_1,Arrondissement,.49295774,.49996316,1.0142111
Benin,BEN,Atakora,BEN.2_1,Cobly,BEN.2.2_1,Datori,BEN.2.2.2_1,Arrondissement,.57575756,.49424094,.85841846
Benin,BEN,Mono,BEN.9_1,Athiémè,BEN.9.1_1,Dédékpoé,BEN.9.1.3_1,Arrondissement,.41666666,.4930374,1.1832898
Benin,BEN,Atlantique,BEN.3_1,Kpomassè,BEN.3.3_1,Dekanmè,BEN.3.3.5_1,Arrondissement,.67094445,.46988252,.70032996
Benin,BEN,Atlantique,BEN.3_1,Sô-Ava,BEN.3.5_1,Dekanmè,BEN.3.5.2_1,Arrondissement,.26984128,.44388741,1.6449945
