ADM3_PCODE,primary_school_age_girl_BFA_2020,secondary_school_age_girl_BFA_2020
BF130001,1291.300524227292,1812.8492096526952
BF130002,8705.31346537366,12324.874874560972
BF130003,2930.9460347657127,4142.964957808514
BF130004,212648.45650848586,302894.3449122821
BF130005,2298.674349218256,3151.859879326353
BF130006,7720.685292689474,10848.736363199647
BF130007,4233.351311698616,5944.996796962328
BF460101,3285.50734658475,2922.2571436077965
BF460102,1412.6200556521326,1256.2647990769033
BF460103,2539.9334315582805,2267.138374275552
BF460104,4094.054225399915,3654.33087018705
BF460105,2733.672684446501,2431.630120184374
BF460106,2689.984274119957,2405.175744570938
BF460107,1176.3152559027951,1046.1153028815402
BF460108,1169.4635637947158,1040.094411536759
BF460109,1663.1239061631413,1479.6969193023795
BF460110,1689.3389394171102,1503.9741793146322
BF460201,1845.5098779033212,1641.2404010202376
BF460202,5198.16890818465,4650.218107943444
BF460203,1012.4093316145976,907.9407687694419
BF460204,3137.0889750132665,2789.861620793828
BF460205,12910.214751916777,11482.42612568677
BF460206,3255.179603841727,2896.1040002039817
BF460301,5361.762848375588,4765.641249711841
BF460302,1178.7033909545225,1048.239109582995
BF460303,935.3646441211886,831.8342066105677
BF460304,4712.545015873631,4191.016749322182
BF460305,2905.0488467352066,2583.5047545414354
BF460306,2625.1250506335614,2334.5666004582936
BF460307,1113.3439094206865,988.2095976081545
BF460308,385.5568678631501,342.9411070384232
BF460309,6564.24721110054,5837.686293914508
BF460311,768.4705931296536,683.4127548837195
BF460401,5635.575365374284,5093.86469549858
BF460402,9624.582204622859,8559.289389898493
BF460403,1320.245620876668,1174.114794388004
BF460404,2209.59242088561,1965.0246274405836
BF460405,3855.3226471475527,3428.5978900090154
BF460406,5105.2637648283335,4540.189807697843
BF460407,3764.17066855571,3350.120582011165
BF460501,3275.924914061322,2913.330552844908
BF460502,1640.5961931237991,1461.1184158058732
BF460503,1698.8375459287683,1510.8024328355702
BF460504,2771.4620008234897,2464.81127689212
BF460505,3164.634411593979,2816.832570572461
