ADM3_PCODE,volume_batis_m3
BF130001,5276778.372549021
BF130002,5.06973759098039E7
BF130003,1.8820184466666684E7
BF130004,8.547463142980394E8
BF130005,1.0617060639215691E7
BF130006,8.699641671372555E7
BF130007,2.0753700443137232E7
BF460101,1.2336786964705879E7
BF460102,6445361.54117647
BF460103,2.382220032156862E7
BF460104,1.839047729411765E7
BF460105,9144107.121568626
BF460106,7210321.439215687
BF460107,3880755.3176470594
BF460108,9604549.235294119
BF460109,7439129.282352941
BF460110,4126407.109803921
BF460201,4840394.117647057
BF460202,1.3681867356862746E7
BF460203,3372211.074509803
BF460204,7846702.549019607
BF460205,3.749646190980392E7
BF460206,1.1414938631372541E7
BF460301,1.131476743137255E7
BF460302,5058505.125490196
BF460303,3387840.5725490195
BF460304,1.6445837160784306E7
BF460305,7232052.133333336
BF460306,9552546.399999995
BF460307,1745798.6352941177
BF460308,2035246.0156862745
BF460309,3.2320135741176475E7
BF460311,2980253.8784313723
BF460401,1.2424007368627455E7
BF460402,5.292014228627447E7
BF460403,4441947.952941177
BF460404,6321420.196078431
BF460405,8003416.980392156
BF460406,1.6653117760784313E7
BF460407,1.501908594509804E7
BF460501,1.2303103164705882E7
BF460502,4009126.8901960794
BF460503,4569976.2
BF460504,1.102042268235294E7
BF460505,8756690.729411764
BF460506,9276520.59607843
BF460601,1.4922653615686277E7
BF460602,2512901.823529412
BF460603,7076109.356862744
BF460604,6155961.435294117
BF460605,1.0341246474509805E7
BF460606,3055544.7882352946
BF460607,5760783.882352942
BF460608,2.3161012619607843E7
BF470101,5.1697438207843155E7
BF470102,6006125.380392155
BF470103,1.3599294403921567E7
BF470104,2928124.4392156857
BF470105,2.7673934450980388E7
BF470106,1.32231906117647E7
BF470107,3.166109266666665E7
BF470108,8307735.501960787
BF470109,9010326.898039216
BF470201,5054648.760784313
BF470202,4643308.760784313
BF470203,2105956.545098039
BF470204,5854802.521568627
BF470205,1.122331861568628E7
BF470206,3703826.5372549016
BF470207,5380007.019607841
BF470208,1255860.0313725488
BF480101,6674399.047058825
BF480102,5210816.894117649
BF480103,9286260.776470589
BF480104,3487662.682352939
BF480105,2.1767370745098043E7
BF480106,8012028.929411764
BF480107,2.480069120392156E7
BF480108,5949900.317647062
BF480109,7822860.321568629
BF480110,5.417341129411767E7
BF480111,2.6818024470588237E7
BF480112,3481649.2392156874
BF480113,7971580.4862745125
BF480202,2653526.8156862743
BF480201,6472962.356862742
BF480203,2943751.662745098
BF480204,8001721.890196077
BF480205,1.2255334050980393E7
BF480206,1.1297363137254901E7
BF480207,1.8637963156862743E7
BF480208,4228459.960784312
BF480301,8008831.79215686
BF480302,2504756.8039215673
BF480303,8059425.509803922
BF480304,8505674.858823523
BF480305,5634945.972549018
BF480306,2.900784464313723E7
BF480307,4.152390478431373E7
BF480308,3780330.8000000007
BF480309,3085280.2509803926
BF490101,1.2370741996078428E7
BF490102,6708108.262745097
BF490103,2.365371725882353E7
BF490104,2470756.0039215684
BF490105,5494868.062745097
BF490106,3029515.7568627456
BF490107,7092670.858823529
BF490108,8081692.996078431
BF490109,5019927.01176471
BF490201,4109241.9098039223
BF490202,1.5201133450980391E7
BF490203,8869046.54509804
BF490204,3983485.1999999997
BF490205,3019513.772549019
BF490206,1.2857834137254903E7
BF490207,1.0400273788235284E7
BF490208,2121266.525490196
BF490301,1.4167300878431374E7
BF490302,1.843002641568627E7
BF490303,3286427.4509803928
BF490304,5.0507648890196115E7
BF490305,1.1340244643137258E7
BF490306,1.052504985098039E7
BF490307,1925382.3450980396
BF490308,6704261.054901957
BF490309,5518033.352941172
BF490310,1.987139890980392E7
BF490311,7608110.219607843
BF500101,3773739.77254902
BF500102,6818792.733333331
BF500103,7343927.490196073
BF500104,1.5738350423529414E7
BF500105,1.209663241294118E8
BF500107,6865555.478431377
BF500106,1.1028161082352947E7
BF500108,3679350.972549019
BF500109,8133081.839215687
BF500110,4594133.862745098
BF500111,1.733998570588236E7
BF500112,5645110.647058822
BF500113,2391999.525490195
BF500114,3048679.6980392155
BF500115,6529400.572549017
BF500201,3980784.5019607837
BF500202,8015782.262745099
BF500203,3826995.949019608
BF500204,5248401.043137252
BF500205,3864503.231372548
BF500206,1.5656115380392151E7
BF500207,2.358635227843137E7
BF500208,9872029.964705877
BF500209,4005654.525490196
BF500210,4667816.77254902
BF500301,8121974.901960785
BF500302,6872789.564705885
BF500303,3.021643671764706E7
BF500304,1701105.050980392
BF500305,4724136.086274508
BF500306,6915871.831372548
BF500307,1.0749676117647057E7
BF500401,4096110.239215687
BF500402,4397228.517647059
BF500404,2230295.2039215676
BF500405,4583876.08627451
BF500403,7907962.815686275
BF500406,1.769155795686275E7
BF510101,7168620.231372548
BF510102,4852508.443137255
BF510103,5058232.427450981
BF510104,7138426.827450981
BF510105,2.292799116862745E7
BF510106,1.1432111729411766E7
BF510107,1.1676337690196078E7
BF510201,5029016.666666669
BF510202,3.3615000039215684E7
BF510203,1.0169730556862744E7
BF510204,2268119.3098039227
BF510205,5433565.086274511
BF510301,8575496.482352946
BF510302,8484674.666666666
BF510303,7146732.176470591
BF510304,1.4954780007843126E7
BF510305,8548465.752941176
BF510306,1.8025572247058824E7
BF510307,1.0008224988235293E7
BF520101,1.3023765313725494E7
BF520102,1.4492589552941177E7
BF520103,7663728.956862746
BF520104,5687040.956862745
BF520105,1.1751902286274511E7
BF520106,1.0485560580392156E7
BF520107,2383504.6627450977
BF520201,1.1152491098039215E7
BF520202,4579320.474509805
BF520203,6.535837738431373E7
BF520204,7849333.294117646
BF520205,5432178.070588234
BF520206,3418931.3607843122
BF520301,2744198.356862745
BF520302,4748269.050980393
BF520303,9201872.839215688
BF520401,8616665.388235295
BF520402,1835741.5254901962
BF520403,1.2250169552941175E7
BF520501,5877228.862745098
BF520502,1.0094383392156862E7
BF520503,1.0659365047058828E7
