ADM3_PCODE,young,elderly,working,dependency_ratio
BF130001,6631.875440695617,316.81965386922377,12406.18373993436,0.5600993214535129
BF130002,41768.94173435482,1989.5942381764817,78424.19972763334,0.5579723621599503
BF130003,14875.296475681296,704.5668779339317,28013.613632322544,0.5561532888295047
BF130004,1106320.253245895,52077.11644449699,2094637.014365911,0.5530301249073756
BF130005,10055.20547831522,495.15192267506285,18035.840567211453,0.5849662155569546
BF130006,37354.37896403695,1784.4351151553979,69527.45054608215,0.5629260640479188
BF130007,20580.154237546987,981.4263565150889,38379.40162519124,0.5618008536097034
BF460101,17376.576680368307,926.4571935577652,19233.4556787737,0.9516248239324745
BF460102,7593.9411159544525,404.8969470360404,8405.023897317025,0.9516734468231326
BF460103,13598.34966229037,725.1013728032436,15067.12210200239,0.9506427928389891
BF460104,21765.11257454416,1161.2838892583488,24090.370500558533,0.9516830163849478
BF460105,14474.761048716213,771.8282758203094,16020.70880761644,0.9516800728122659
BF460106,14523.176713422981,773.8418674796858,16088.393511877845,0.9508108171029682
BF460107,6335.261112420185,337.7861171791031,7011.908604321386,0.9516734467255805
BF460108,6132.684451384721,326.98598210634884,6787.694576724725,0.9516737031217546
BF460109,9173.5878150504,489.6631403251499,10152.893884107487,0.9517730674307171
BF460110,9233.039409580266,492.21004900262903,10221.41608038152,0.9514581328167492
BF460201,9868.458976425733,526.1706471679582,10922.475202442305,0.9516734468089627
BF460202,27969.968325463597,1487.754855083211,31055.195851076864,0.9485602126552146
BF460203,5322.56524682502,282.04391492397673,5889.3105898198455,0.9516579362340002
BF460204,16478.732595611033,878.6199968701293,18238.769454959143,0.9516734467939489
BF460205,69689.88317820829,3715.726564618307,77133.98851070504,0.9516636071871092
BF460206,17401.81110255136,926.5863273828302,19220.56604023153,0.9535826047770968
BF460301,28795.57739147764,1538.995746535001,31845.63089292012,0.9525505473580235
BF460302,6303.8505461524655,336.1113553414314,6977.143182752679,0.9516734467923368
BF460303,4897.864347298255,261.14639175033693,5420.988424656247,0.9516734467802765
BF460304,25181.75343221717,1342.6385252661173,27870.063408389455,0.9517162400677892
BF460305,15663.164130118183,835.1351743086036,17336.09291977685,0.951673446881776
BF460306,13992.895450521899,746.0790862047754,15487.428578874235,0.9516734467354707
BF460307,6443.090806718069,349.10327766795245,7089.998476543326,0.9579965506138589
BF460308,2055.8210630120866,109.5830954318812,2272.4233611234968,0.9529052532594022
BF460309,36461.213478528545,1944.0543190478857,40355.51052704736,0.9516734467238663
BF460311,3971.578120028189,211.75827298496722,4395.76874525738,0.9516734467723267
BF460401,29897.755505591802,1576.446399469516,33576.33791420586,0.9373923381842321
BF460402,50476.832343469265,2691.344981914138,55868.08952751635,0.9516734467749577
BF460403,6770.133028343016,360.9728009396363,7493.227696812344,0.9516734467199309
BF460404,11621.723205465685,619.6519269826751,12862.99956585278,0.9516734467554023
BF460405,20269.404204452458,1080.7326204009692,22434.309685817312,0.9516734467809684
BF460406,27301.899577595006,1455.6941672284931,30217.921749304103,0.9516734467513724
BF460407,20038.514889742462,1068.832497375689,22178.386139488517,0.9517079941870349
BF460501,17372.990831408162,926.3004337076969,19228.540341155003,0.9516734468892438
BF460502,8603.302845415712,458.8224798435781,9522.093805051089,0.9516946073826953
BF460503,9036.80722739702,481.8282893628783,10001.99758531967,0.9516734467853479
BF460504,14634.949466705066,780.322878151197,16198.048633699287,0.9516746549819283
BF460505,16472.827182311587,878.4669098338196,18231.79327475398,0.951705289252713
BF460506,16999.17847138885,906.3693489934146,18814.802367162214,0.9516734468406169
BF460601,11539.899985827438,628.3912894025898,12681.16650394165,0.9595561474133941
BF460602,7022.204593503185,374.4796164522721,7771.949435767945,0.9517154313838625
BF460603,10052.958832544367,536.6053423385725,11122.518910149505,0.9520832700243617
BF460604,15433.460351831254,823.0025792204896,17081.386086121292,0.9517063105470227
BF460605,9902.144877598532,527.9667264002269,10959.758981734956,0.9516734465950498
BF460606,9587.88418577222,512.2703898343254,10607.604628861123,0.9521616735342955
BF460607,14846.278107975058,792.6562833052617,16424.48673955298,0.9521718784440968
BF460608,31968.982916466706,1704.5356800652578,35383.480236323674,0.9516734468070692
BF470101,64245.693754436514,2697.1557931791654,78517.0343940087,0.8525901425630488
BF470102,5443.158976595959,228.5658526964077,6654.85645354161,0.8522685453679416
BF470103,38407.73339731833,1618.0324762685573,46932.43569044272,0.8528380273631887
BF470104,7157.356477330856,300.5809151198365,8752.315436882662,0.8521102154319758
BF470105,45595.63424262513,1918.9747831211153,55716.860207968944,0.8527869095349783
BF470106,44775.460121785785,1883.9466838991625,54713.04584171511,0.8528022172384746
BF470107,91994.1414460008,3864.8413676466403,112566.24429410655,0.851578405362736
BF470108,19409.04640325542,819.2090562018774,23713.87526888272,0.8530134880991281
BF470109,41100.10830570422,1725.651174436573,50239.44341496193,0.8524330002307858
BF470201,7871.702747218671,345.87172924730186,9596.961970959386,0.8562683171333313
BF470202,4487.5552437605475,188.39606073807087,5484.406951391987,0.8525901425516617
BF470203,5038.696444463722,211.5751020226129,6160.018751465882,0.8523142149911382
BF470204,15657.540828858895,657.3388568946519,19135.64277626334,0.852591150269131
BF470205,20016.733851622354,846.6978902691069,24453.557251090053,0.8531859609489513
BF470206,5402.23211203824,226.88613937053256,6604.365940902945,0.8523328812756797
BF470207,9379.6544877683,393.8006611885105,11464.465153801242,0.8524998783494276
BF470208,2382.7299752267227,100.031513110309,2912.0222770337014,0.8525901425678888
BF480101,19422.652781923338,1175.5269833489033,21129.69606681376,0.9748450569349969
BF480102,15753.55799319365,953.4605140957909,17138.127120003886,0.9748450568900701
BF480103,11967.689288856152,724.3264780106235,13019.521076616893,0.9748450570629424
BF480104,29823.84539709647,1797.7463837594037,32425.746739300015,0.9752001098105937
BF480105,45883.35213327567,2805.559062200139,50158.68157821062,0.9706975874068171
BF480106,12760.417896457227,775.9695302535862,13896.655944617009,0.9740751646049244
BF480107,42090.58069680732,2547.4693861873156,45789.89221578009,0.9748450569099941
BF480108,12059.011685563852,730.8736567299436,13119.801484809643,0.9748535720683098
BF480109,8622.502003738318,522.9012130113,9384.498052235827,0.9745223629270993
BF480110,68443.58838405494,4142.445725505039,74459.0472018232,0.9748450569453787
BF480111,44898.51246782586,2720.2836793156303,48857.65425090857,0.9746435205954644
BF480112,5019.822188930209,314.3343950415711,5547.452175853194,0.9615507110075071
BF480113,6960.725688481702,429.0323815958799,7603.64026604068,0.9718710790516567
BF480202,6443.168667007942,389.9631379843754,7009.45422747209,0.9748450568678068
BF480201,31603.347601546757,1886.6566022839888,34311.9592893917,0.9760446473304403
BF480203,7511.85146901426,454.64356468878105,8172.0628079060825,0.9748450569904866
BF480204,22938.681768250655,1388.329374312883,24954.74636822489,0.9748450568722007
BF480205,26341.90986401796,1594.3046601818696,28657.08178630692,0.9748450568874204
BF480206,25671.156676428298,1547.3784344067506,27910.6389344939,0.9752028670757693
BF480207,24640.047068258387,1491.3019623204052,26805.64346947753,0.9748450568005752
BF480208,15896.249580178308,962.0967087658403,17293.359770625324,0.9748450568628027
BF480301,27212.796628184085,1623.7972907499225,29543.17305631264,0.9760831669627424
BF480302,7982.830442798166,483.0972025200658,8684.299193724917,0.974854442075824
BF480303,20845.607018304203,1261.7319430077982,22677.662183339617,0.9748508811262473
BF480304,15684.777270665989,938.8714818681241,17035.73217671855,0.9758106420135204
BF480305,17688.183647489914,1072.8890194772382,19238.327499136387,0.9751924988182752
BF480306,35584.76269456416,2154.2418166586544,38711.96033169907,0.974866790207998
BF480307,50288.233131002235,3044.6466138059764,54707.40345473904,0.9748749963783602
BF480308,10368.639857977061,627.5464054176792,11279.932318888554,0.974845056914156
BF480309,9594.501420120863,580.6928353571915,10437.755398743815,0.9748450568886333
BF490101,29677.4892590242,1583.3193372740368,31733.111976842745,0.9851163862879515
BF490102,12156.063055392273,650.1195554264941,12993.95924784829,0.985548928279068
BF490103,42046.9191633176,2243.3099678119147,44952.053375581585,0.9852771076123615
BF490104,5732.16332188647,305.82547715860994,6128.213831754192,0.9852771076228446
BF490105,17014.534494953292,909.1513202487426,18188.34575075419,0.9854489276166757
BF490106,7122.499498556907,380.18968234060327,7614.373854202605,0.9853323890521277
BF490107,12827.61647471329,684.3859306425556,13713.910840184584,0.985277107516471
BF490108,18690.040473727495,998.7200155186484,19979.391566536004,0.9854534570623938
BF490109,15552.970724810848,829.7905043653788,16627.567111012504,0.9852771075767217
BF490201,19824.643253939314,1057.695087084664,21194.380932060198,0.9852771075486237
