ADM3_PCODE,events,events_VAC,events_Battles,events_Riots,events_Protests,events_ERV,events_SD,conflict_diffusion_indicator,cdi_VAC,cdi_Battles,cdi_Riots,cdi_Protests,cdi_ERV,cdi_SD
BF460607,51.0,9.0,7.0,0.0,0.0,22.0,13.0,0.6666666666666666,0.4166666666666667,0.25,0.0,0.0,0.5833333333333334,0.4166666666666667
BF460608,31.0,11.0,5.0,0.0,1.0,3.0,11.0,0.6111111111111112,0.16666666666666666,0.1111111111111111,0.0,0.05555555555555555,0.1111111111111111,0.4444444444444444
BF470101,11.0,6.0,0.0,2.0,3.0,0.0,0.0,0.3,0.3,0.0,0.2,0.1,0.0,0.0
BF470102,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
BF470103,91.0,20.0,30.0,0.0,0.0,28.0,13.0,0.5652173913043478,0.5217391304347826,0.391304347826087,0.0,0.0,0.391304347826087,0.21739130434782608
BF470104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470105,17.0,3.0,4.0,0.0,0.0,3.0,7.0,0.19230769230769232,0.07692307692307693,0.11538461538461539,0.0,0.0,0.07692307692307693,0.11538461538461539
BF470106,23.0,5.0,10.0,0.0,0.0,4.0,4.0,0.28,0.16,0.16,0.0,0.0,0.12,0.08
BF470107,17.0,10.0,4.0,0.0,0.0,2.0,1.0,0.2,0.15,0.1,0.0,0.0,0.05,0.025
BF470108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470109,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0
BF470201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470205,6.0,0.0,0.0,2.0,4.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
BF470206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF470208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF480101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF480102,6.0,4.0,0.0,0.0,0.0,2.0,0.0,0.8,0.6,0.0,0.0,0.0,0.4,0.0
BF480103,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
BF480104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF480105,36.0,8.0,5.0,0.0,2.0,8.0,13.0,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.0,0.07692307692307693,0.23076923076923078,0.38461538461538464
BF480106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF480107,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0
BF480108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF480109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF480110,9.0,5.0,2.0,0.0,1.0,0.0,1.0,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693
BF480111,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.5,0.25,0.125,0.0,0.125,0.0,0.0
BF480112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF480113,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
BF480202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF480201,17.0,7.0,0.0,1.0,1.0,3.0,5.0,0.75,0.625,0.0,0.125,0.125,0.375,0.5
BF480203,8.0,3.0,1.0,0.0,0.0,2.0,2.0,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666
BF480204,13.0,6.0,1.0,0.0,1.0,3.0,2.0,0.6,0.2,0.2,0.0,0.2,0.4,0.4
BF480205,6.0,2.0,2.0,0.0,0.0,0.0,2.0,0.5,0.25,0.25,0.0,0.0,0.0,0.5
BF480206,55.0,19.0,10.0,1.0,0.0,7.0,18.0,0.6111111111111112,0.4444444444444444,0.2777777777777778,0.05555555555555555,0.0,0.2222222222222222,0.3888888888888889
BF480207,6.0,1.0,0.0,0.0,0.0,0.0,5.0,0.5,0.25,0.0,0.0,0.0,0.0,0.5
BF480208,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285
BF480301,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
BF480302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BF480303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
