ADM3_PCODE,Pf_Parasite_Rate_min,Pf_Parasite_Rate_max,Pf_Parasite_Rate_mean,Pf_Parasite_Rate_median,Pf_Parasite_Rate_stdDev,Pf_Mortality_Rate_min,Pf_Mortality_Rate_max,Pf_Mortality_Rate_mean,Pf_Mortality_Rate_median,Pf_Mortality_Rate_stdDev
BF130001,0.2421915978193283,0.30797138810157776,0.2766167513268093,0.2764657139778138,0.011166505451588848,9.724069968797266E-4,0.0026140615809708834,0.0015029075599902865,0.0013253248762339354,4.948923643351744E-4
BF130002,0.20829463005065918,0.30797138810157776,0.26550291034736734,0.26868121878390017,0.025512988957812732,3.5900503280572593E-4,0.0025659718085080385,0.001462190771118319,0.0013054318131051129,4.658792615050621E-4
BF130003,0.20366744697093964,0.30786505341529846,0.2489037058376856,0.25036159157752996,0.021822406449239617,6.829773774370551E-4,0.0025350661017000675,0.0017080790940611507,0.0016729949275031686,4.8294986151582107E-4
BF130004,0.12290874868631363,0.2804579734802246,0.1872355352695627,0.19378602504730225,0.04407706865709584,1.9097076437901706E-4,0.0013834524434059858,4.740190589600129E-4,3.3091964238944155E-4,3.034338071418134E-4
BF130005,0.17702937126159668,0.3054049015045166,0.2582045808436819,0.2601369321346283,0.02701686572737783,5.014953785575926E-4,0.0013496957253664732,8.345916936580467E-4,7.458613669607899E-4,2.1580391705157306E-4
BF130006,0.14948402345180511,0.30786505341529846,0.24359175325972407,0.2473527044057846,0.027302735946442374,2.034460339928046E-4,0.0025524511002004147,0.0013594287823582123,0.001444391324184835,5.04976550726349E-4
BF130007,0.21154935657978058,0.3037753105163574,0.2606540249102227,0.2604137852114178,0.016341823504130902,4.943434614688158E-4,0.0015956079587340355,0.0010960147265179456,0.0010772194946184754,2.3969800568581553E-4
BF460101,0.20568940043449402,0.298213928937912,0.2481868380604438,0.2477075901739787,0.017405054238710686,0.0011842064559459686,0.0040971520356833935,0.002591425904724967,0.0026787672878119217,8.043735110370101E-4
BF460102,0.20370985567569733,0.25599613785743713,0.22326666555395736,0.21676096320152283,0.016439611784238074,0.0016465240623801947,0.0035457361955195665,0.002619564534652267,0.002610763069242239,5.787725505775483E-4
BF460103,0.20246800780296326,0.298213928937912,0.2630847145142527,0.2669253912236955,0.019065949320833907,0.0011893411865457892,0.0040971520356833935,0.0023629895040806694,0.002284036250784993,8.275463592852322E-4
BF460104,0.23414185643196106,0.3680424988269806,0.28192665521222193,0.2713046073913574,0.03515573328620109,0.001360663678497076,0.0031460216268897057,0.0023302114339862554,0.002259025117382407,3.685502453271114E-4
BF460105,0.19722196459770203,0.298213928937912,0.25352845541394226,0.2578765708683281,0.02563603191165391,0.002109087072312832,0.00412327516824007,0.0032616441596363052,0.0032967585138976574,5.313537226626962E-4
BF460106,0.22042995691299438,0.2907527685165405,0.25284826656215226,0.24755752086639407,0.018675248207979746,0.0011655568378046155,0.0035179511178284883,0.002184988718353902,0.0021733515895903115,6.242253466475109E-4
