GID_3,young,elderly,working,dependency_ratio
BEN.1.1.1_1,11845.880050797234,563.9875895431006,12044.786235565818,1.030310326612232
BEN.1.1.2_1,31273.95599303526,1488.9668793933226,31799.082299867277,1.0303103266777396
BEN.1.1.3_1,5735.89308467764,273.08840709617414,5832.205438430982,1.030310326892461
BEN.1.1.4_1,28307.197887071845,1346.1594100279033,28663.655117289978,1.0345281219635099
BEN.1.1.5_1,13835.3097524781,654.0130464822239,14068.549243980327,1.0299088091943835
BEN.1.1.6_1,8832.834582785974,420.5351618215081,8981.14820829319,1.0303103266977514
BEN.1.1.7_1,9118.030059313878,433.99719222902735,9270.323804576183,1.030387659903278
BEN.1.1.8_1,9438.677794925008,448.7487366879523,9597.270469180654,1.030233185921359
BEN.1.1.9_1,16231.260855338209,773.5460513875233,16503.41803551253,1.0303809107988597
BEN.1.1.10_1,5251.886392527567,250.04463442940465,5340.071707339791,1.030310326993308
BEN.1.2.1_1,18265.056487524133,787.0308652676392,17982.32368275343,1.0594897349703662
BEN.1.2.2_1,3655.6229635221644,156.80897159984465,3597.1063805431872,1.0598607691291873
BEN.1.2.3_1,6763.284893576829,290.06221657193385,6655.507099682589,1.059776062816483
BEN.1.2.4_1,15071.67090649594,652.942592748654,14879.624585817295,1.056788322081238
BEN.1.2.5_1,10847.45987663046,467.76729669138257,10705.057834750085,1.0569982290605722
BEN.1.2.6_1,7586.374459142494,325.24333495792894,7464.332687600558,1.0599229864503328
BEN.1.3.1_1,25465.217086845045,1001.271326925807,25930.147309889224,1.0206840746977583
BEN.1.3.2_1,8710.167018853368,343.5643763445765,8856.945286625034,1.0222182820605294
BEN.1.3.3_1,13858.338939779549,545.3754426534458,14110.653130724144,1.0207687942573507
BEN.1.3.4_1,13435.605017300311,528.9195442450174,13680.191739739937,1.0207842716838118
BEN.1.3.5_1,7061.682067761687,277.5557821521172,7190.311225001553,1.0207121250043274
BEN.1.3.6_1,4168.677729228139,163.84773445637077,4244.610560911326,1.020712124589896
BEN.1.3.7_1,11177.173851643724,440.43119853707105,11370.110640143497,1.0217671065718121
BEN.1.3.8_1,8812.316324434312,346.3635614199339,8972.833440028444,1.0207121247784148
BEN.1.3.9_1,6781.816120243007,268.9634309264378,6882.401319664137,1.0244650411512946
