GID_3,primary_school_age_girl_BEN_2020,secondary_school_age_girl_BEN_2020
BEN.1.1.1_1,2333.022534856609,1934.3850064202852
BEN.1.1.2_1,6190.185520232891,5132.480255748242
BEN.1.1.3_1,1091.5243893941245,905.0184308239059
BEN.1.1.4_1,5595.160734505747,4604.123774468902
BEN.1.1.5_1,2733.977921386327,2263.664386889046
BEN.1.1.6_1,1775.9763776704378,1472.5198714723772
BEN.1.1.7_1,1794.3003680266593,1487.727938383234
BEN.1.1.8_1,1831.505536047618,1518.3466028321016
BEN.1.1.9_1,3167.154385336008,2625.6513616610973
BEN.1.1.10_1,1048.4981032857706,869.3439420494379
BEN.1.2.1_1,3555.4714820679496,2951.7688607917116
BEN.1.2.2_1,706.8567521478616,587.8835479189371
BEN.1.2.3_1,1305.4848998149237,1085.652624147078
BEN.1.2.4_1,2880.1129241274843,2396.190122746487
BEN.1.2.5_1,2111.8746265102823,1759.467669779179
BEN.1.2.6_1,1467.8360697320863,1220.7468323894573
BEN.1.3.1_1,4941.8901860879905,3975.775594965616
BEN.1.3.2_1,1676.7000737905503,1350.9751962241005
BEN.1.3.3_1,2692.2958915280356,2166.767801581178
BEN.1.3.4_1,2664.8503536130875,2144.388993502598
BEN.1.3.5_1,1468.4792255626012,1181.5049790831172
BEN.1.3.6_1,813.6975289681377,654.6825126760147
BEN.1.3.7_1,2130.033778813306,1714.9797232169728
BEN.1.3.8_1,1752.742057527748,1410.2178917632389
BEN.1.3.9_1,1350.4903289911792,1090.5683108811288
BEN.1.3.10_1,2068.3126516150496,1665.365204298263
BEN.1.4.1_1,802.1748131971733,644.4670619029627
BEN.1.4.2_1,292.2816617846489,226.65630914276718
BEN.1.4.3_1,3462.574458375167,2721.6712299931287
BEN.1.4.4_1,1649.0561249232762,1288.0258337916127
BEN.1.4.5_1,2265.471529531712,1770.1507384961722
BEN.1.5.1_1,1965.855348916147,1641.1226885085018
BEN.1.5.2_1,6832.898718360828,5671.387128843277
BEN.1.5.3_1,2711.0592914067065,2254.8885481423017
BEN.1.5.4_1,3639.8483163983215,3028.222364334967
BEN.1.5.5_1,3188.644225997083,2652.60358137313
BEN.1.6.1_1,1515.411650312649,1244.594952823134
BEN.1.6.2_1,1332.89857043098,1102.6767736607908
BEN.1.6.3_1,3408.620693408742,2814.726771145241
BEN.1.6.4_1,1914.8376978717592,1565.7727257455101
BEN.1.6.5_1,2603.091161278181,2146.226486106247
BEN.2.1.1_1,770.6485132310906,618.6214599908567
BEN.2.1.2_1,134.68285486090417,108.10836488873352
BEN.2.1.3_1,728.3816402285706,584.6926363066132
BEN.2.1.4_1,715.5167113285437,575.4297469765535
BEN.2.1.5_1,1758.8002772331233,1415.1939316702822
