GID_3,NTL_mean,NTL_min,NTL_max,NTL_median,NTL_stdDev
BEN.1.5.1_1,0.27194972336112677,0.18333333730697632,0.4050000011920929,0.27280511764774035,0.025827442492515507
BEN.1.5.2_1,0.3001265655690353,0.19499999284744263,2.5875000953674316,0.2886875956697767,0.11040433354775238
BEN.1.5.3_1,0.29489944568361603,0.2083333283662796,1.4866666793823242,0.28487892147022137,0.07334505320593114
BEN.1.5.4_1,0.4480238128447701,0.2175000011920929,4.56416654586792,0.2952553945009722,0.5003666956287839
BEN.1.5.5_1,0.28644151218609964,0.21416667103767395,2.0158333778381348,0.27737063551534424,0.09126570844434156
BEN.1.6.1_1,0.29596626743835314,0.2016666680574417,2.3274998664855957,0.2734602259250435,0.13168650192246908
BEN.1.6.2_1,0.3044852002755716,0.20333333313465118,1.2308332920074463,0.2930377014476837,0.06457161029345519
BEN.1.6.3_1,0.31137420634689095,0.22583334147930145,1.84333336353302,0.2928436561129901,0.07340989395951718
BEN.1.6.4_1,0.2972417006253998,0.2133333384990692,1.6425000429153442,0.2848639655393568,0.09801544441995558
BEN.1.6.5_1,0.2865580417392837,0.18083332479000092,2.180000066757202,0.2731748848751211,0.07581575922273562
BEN.2.1.1_1,0.36454098024079734,0.2241666615009308,1.006666660308838,0.32192460422467206,0.12871719822706243
BEN.2.1.2_1,0.2845560740729551,0.22166666388511658,0.9041666388511658,0.26000906293701515,0.10003251629241411
BEN.2.1.3_1,0.32286193060973134,0.2175000011920929,2.761666774749756,0.28916363721743316,0.17175327375796312
BEN.2.1.4_1,0.28400843227610667,0.1899999976158142,1.3174999952316284,0.26944458496084356,0.08706326756015914
BEN.2.1.5_1,0.3369356542468778,0.22166666388511658,2.5199999809265137,0.3043380088655743,0.1444109328220451
BEN.2.1.6_1,0.3690687604409207,0.23083333671092987,2.761666774749756,0.3054391346906335,0.25050648686959376
BEN.2.1.7_1,0.3192772680598313,0.20333333313465118,2.4674999713897705,0.2882365129392876,0.20002886998086794
BEN.2.1.8_1,0.2833137746801488,0.17916665971279144,0.9450000524520874,0.2792793739644103,0.06266499742511626
BEN.2.2.1_1,0.3128130928478965,0.19499999284744263,1.909166693687439,0.26932687738394934,0.16490127162941148
BEN.2.2.2_1,0.2835251970732568,0.20749999582767487,4.1541666984558105,0.25766729615506345,0.1557405226923554
BEN.2.2.3_1,0.2924941923048756,0.20083333551883698,1.9500000476837158,0.2697001049988481,0.10730906168751844
BEN.2.2.4_1,0.31364920783242983,0.21333332359790802,4.231666564941406,0.2674485323707301,0.2537765893700391
BEN.2.3.1_1,0.268745554826877,0.14749999344348907,2.1516666412353516,0.2570209600510751,0.09369630592099967
BEN.2.3.2_1,0.3179425359276711,0.20999999344348907,5.119999885559082,0.2649118253860611,0.1785382333570163
BEN.2.3.3_1,0.278324043346573,0.1599999964237213,4.071666717529297,0.2572119129512842,0.1461932131633442
BEN.2.3.4_1,0.423431578887447,0.1875,49.2308349609375,0.29644566993256266,1.656457731355131
BEN.2.4.1_1,0.2496410051067926,0.16833333671092987,1.0866665840148926,0.23995405355017294,0.05930066680445734
BEN.2.4.2_1,0.27131520913139595,0.20000000298023224,0.778333306312561,0.2553886066648431,0.06298721258612164
BEN.2.4.3_1,0.25336164421874496,0.17416666448116302,0.8391666412353516,0.24407445365780733,0.0486055470538067
BEN.2.4.4_1,0.29537470500562407,0.18333333730697632,8.642499923706055,0.2730703322695238,0.21873494150179923
BEN.2.4.5_1,0.27967288774836674,0.17083333432674408,1.6916667222976685,0.25367440149562415,0.12520199789031117
BEN.2.4.6_1,0.2771943978849807,0.17499999701976776,1.4466667175292969,0.253766450663982,0.08783958691170657
BEN.2.5.1_1,0.3390458889494504,0.21833333373069763,3.6633334159851074,0.288438797007392,0.26901773260925205
BEN.2.5.2_1,0.31684685130481555,0.20916666090488434,4.538333415985107,0.2657944151807443,0.20588748370334078
BEN.2.5.3_1,0.3273866522979342,0.21416667103767395,3.237499952316284,0.2885934589148187,0.19617909565639904
BEN.2.5.4_1,0.31361356625537296,0.2175000011920929,1.6058334112167358,0.2849197264869623,0.13241076631538493
BEN.2.5.5_1,0.2991346335486017,0.18833333253860474,2.4058332443237305,0.2732816015950988,0.1574943889883271
BEN.2.5.6_1,0.28427819430616996,0.2108333259820938,1.3033332824707031,0.26980335210090584,0.07908428462451955
BEN.2.6.1_1,0.321222639957198,0.2083333283662796,3.7266666889190674,0.289052170581152,0.2071887294676665
BEN.2.6.2_1,0.31053443406162434,0.20416666567325592,2.1616666316986084,0.2771435919805841,0.16418219428216407
BEN.2.6.3_1,0.26333183461453585,0.18333333730697632,1.0774999856948853,0.2556918357747472,0.06320390711113885
BEN.2.6.4_1,0.9134515385702828,0.2750000059604645,8.257499694824219,0.5276299407259022,1.1819802653831466
BEN.2.6.5_1,0.5703086293216326,0.2358333319425583,8.257499694824219,0.2790844835021005,0.962033502505473
BEN.2.6.6_1,0.8537464486609397,0.2083333432674408,8.257499694824219,0.40616799714423846,1.2247762301215814
BEN.2.6.7_1,0.30172067201302205,0.20499999821186066,1.284999966621399,0.2772764536784828,0.10121050215768033
BEN.2.6.8_1,0.2881893825716996,0.1808333396911621,0.7316666841506958,0.2718235644903046,0.06833865607277435
BEN.2.7.1_1,0.25670379749636324,0.17000000178813934,1.319166660308838,0.23837642794401578,0.07935951660151244
BEN.2.7.2_1,0.2598140999310125,0.15000000596046448,4.454999923706055,0.23386996754061914,0.14082952303358606
BEN.2.7.3_1,0.25931692525276434,0.164166659116745,1.2241666316986084,0.2455169411108024,0.07374743586162318
BEN.2.8.1_1,0.3273200994667233,0.23499999940395355,3.0349998474121094,0.2881976887132675,0.19720801521375525
BEN.2.8.2_1,0.28528436658464146,0.21916666626930237,1.2308332920074463,0.2777224534278313,0.05555685391306792
BEN.2.8.3_1,0.3389969107412572,0.21416667103767395,2.612499952316284,0.2886257111953566,0.25060792412266664
BEN.2.8.4_1,0.3924228126680225,0.2316666692495346,3.2983334064483643,0.2885162961451125,0.33081354513085237
BEN.2.8.5_1,0.8324390473283744,0.1941666603088379,251.45834350585938,0.3652356146886165,4.657934076773132
BEN.2.9.1_1,0.2870567050950255,0.19499999284744263,3.2658333778381348,0.2727507498535642,0.13385652674276582
BEN.2.9.2_1,0.32893526410645585,0.22166666388511658,1.8850001096725464,0.28473260357630065,0.16330999279513744
