GID_3,population_density_BEN_2020
BEN.1.1.1_1,181.61571115143184
BEN.1.1.2_1,77.40744748250705
BEN.1.1.3_1,173.2736165436391
BEN.1.1.4_1,55.48502014522092
BEN.1.1.5_1,56.13223913717177
BEN.1.1.6_1,125.97800051246452
BEN.1.1.7_1,56.65991355138801
BEN.1.1.8_1,76.1558773791903
BEN.1.1.9_1,43.19061102825562
BEN.1.1.10_1,191.66862998093728
BEN.1.2.1_1,23.998857486309824
BEN.1.2.2_1,60.99431070478482
BEN.1.2.3_1,50.65539533946814
BEN.1.2.4_1,27.588231648667506
BEN.1.2.5_1,27.63282472772593
BEN.1.2.6_1,23.976883969912386
BEN.1.3.1_1,52.56517226878612
BEN.1.3.2_1,38.17792919515141
BEN.1.3.3_1,95.80589145772855
BEN.1.3.4_1,100.7162383697421
BEN.1.3.5_1,349.23509230903085
BEN.1.3.6_1,147.87033396639657
BEN.1.3.7_1,97.7368494256079
BEN.1.3.8_1,49.070763768206795
BEN.1.3.9_1,67.20722944566488
BEN.1.3.10_1,79.84656418043824
BEN.1.4.1_1,59.133105724972985
BEN.1.4.2_1,27.23211497015257
BEN.1.4.3_1,15.102998810345397
BEN.1.4.4_1,13.658308806802047
BEN.1.4.5_1,15.29331125498971
BEN.1.5.1_1,120.12553066165229
BEN.1.5.2_1,51.02259907650499
BEN.1.5.3_1,36.73742409899891
BEN.1.5.4_1,260.8643867992606
BEN.1.5.5_1,61.40669720108806
BEN.1.6.1_1,25.01700951572343
BEN.1.6.2_1,36.597914462022636
BEN.1.6.3_1,25.569005583690092
BEN.1.6.4_1,39.04359173198223
BEN.1.6.5_1,21.158371637492976
BEN.2.1.1_1,114.60167935375877
BEN.2.1.2_1,57.16403083481121
BEN.2.1.3_1,78.3294136361349
BEN.2.1.4_1,59.896001147602036
BEN.2.1.5_1,73.40806144979483
BEN.2.1.6_1,88.17605608581343
BEN.2.1.7_1,90.68712728713541
BEN.2.1.8_1,76.26666515603159
BEN.2.2.1_1,104.25185270295759
BEN.2.2.2_1,82.17888326347693
BEN.2.2.3_1,78.72598453843892
BEN.2.2.4_1,61.231940235661895
BEN.2.3.1_1,30.870461244142767
BEN.2.3.2_1,33.34090601099878
BEN.2.3.3_1,45.3331353083189
BEN.2.3.4_1,25.104430613659638
BEN.2.4.1_1,43.42291399053844
BEN.2.4.2_1,151.00213415315835
BEN.2.4.3_1,41.389012145612924
BEN.2.4.4_1,28.052212024632897
BEN.2.4.5_1,77.51979099391838
BEN.2.4.6_1,44.11873648359709
BEN.2.5.1_1,66.25701417788237
BEN.2.5.2_1,70.84634504200812
BEN.2.5.3_1,133.47066944860097
BEN.2.5.4_1,79.09960236082418
BEN.2.5.5_1,51.56716510652938
BEN.2.5.6_1,73.29131988097541
BEN.2.6.1_1,67.1700728880924
BEN.2.6.2_1,63.40115168999433
BEN.2.6.3_1,50.99114767452033
BEN.2.6.4_1,345.1469229627371
BEN.2.6.5_1,130.01801500566634
BEN.2.6.6_1,211.9887439562405
BEN.2.6.7_1,90.52990222734608
BEN.2.6.8_1,59.13154264251776
BEN.2.7.1_1,37.283819472294105
BEN.2.7.2_1,60.72853328192888
BEN.2.7.3_1,33.241822991329926
BEN.2.8.1_1,57.64740647960496
BEN.2.8.2_1,45.339017019976836
BEN.2.8.3_1,42.846824198769006
BEN.2.8.4_1,59.54998787529321
BEN.2.8.5_1,11.798142716518953
BEN.2.9.1_1,97.73162354774665
BEN.2.9.2_1,98.87178387888792
BEN.2.9.3_1,129.09198004720673
BEN.3.1.1_1,1493.6476215307669
BEN.3.1.2_1,2928.7531348361786
BEN.3.1.3_1,3954.9781442315902
BEN.3.1.4_1,655.243609217497
BEN.3.1.5_1,1721.7119343924257
BEN.3.1.6_1,299.5330100190317
BEN.3.1.7_1,1054.8585040496425
BEN.3.1.8_1,1874.180345491755
BEN.3.1.9_1,791.9935963898575
BEN.3.2.1_1,355.2273584237465
BEN.3.2.2_1,296.2286737428751
BEN.3.2.3_1,777.2255433405459
BEN.3.2.4_1,283.02872375705203
BEN.3.2.5_1,243.0716029889537
BEN.3.2.6_1,225.95694584355252
BEN.3.2.7_1,170.20056188974948
BEN.3.2.8_1,298.12323662027654
BEN.3.2.9_1,138.54294181060322
BEN.3.2.10_1,669.4316915803437
BEN.3.2.11_1,474.25243518474326
BEN.3.2.12_1,242.96981836098354
BEN.3.3.1_1,179.3580094130003
BEN.3.3.2_1,534.0887819718577
BEN.3.3.3_1,400.8842386698655
BEN.3.3.4_1,363.77185024725793
BEN.3.3.5_1,369.91676936533406
BEN.3.3.6_1,253.56496291935343
BEN.3.3.7_1,187.53587688367392
BEN.3.3.8_1,312.2118411510111
BEN.3.3.9_1,253.3273390397939
BEN.3.4.1_1,973.1669394347417
BEN.3.4.2_1,1688.6593313382687
BEN.3.4.3_1,1449.08739081725
BEN.3.4.4_1,1910.9677927070427
BEN.3.4.5_1,1034.5389403228426
BEN.3.4.6_1,882.3546487684671
BEN.3.4.7_1,483.46833683185116
BEN.3.4.8_1,435.56500340650945
BEN.3.4.9_1,1087.0070948516452
BEN.3.4.10_1,643.188845533675
BEN.3.5.1_1,819.4746646862851
BEN.3.5.2_1,504.7094979547177
BEN.3.5.3_1,151.34463848876953
BEN.3.5.4_1,906.0009285213878
BEN.3.5.5_1,608.2179492457485
BEN.3.5.6_1,1025.9749713607484
BEN.3.5.7_1,380.0175724247773
BEN.3.6.1_1,93.90827797657222
BEN.3.6.2_1,198.5540464318317
BEN.3.6.3_1,130.49421393346046
BEN.3.6.4_1,80.85233696854985
BEN.3.6.5_1,163.63075509380624
BEN.3.6.6_1,92.36492165965029
BEN.3.6.7_1,118.62039932596527
BEN.3.6.8_1,98.9767301671005
BEN.3.6.9_1,152.35112924222707
BEN.3.6.10_1,90.4132067921759
BEN.3.7.1_1,99.06091984775001
BEN.3.7.2_1,117.46095324494888
BEN.3.7.3_1,127.16390556802556
BEN.3.7.4_1,166.57980788135464
BEN.3.7.5_1,173.93613958976061
BEN.3.7.6_1,130.7523513519978
BEN.3.8.1_1,239.79983640056147
BEN.3.8.2_1,209.35199695894087
BEN.3.8.3_1,134.66485226430646
BEN.3.8.4_1,267.81563334098666
BEN.3.8.5_1,129.18836838646087
BEN.3.8.6_1,147.87230654322775
BEN.3.8.7_1,166.68872852183824
BEN.3.8.8_1,105.50525685336126
BEN.3.8.9_1,374.8411361327564
BEN.3.8.10_1,384.69626110331217
BEN.3.8.11_1,239.27135216692562
BEN.4.1.1_1,50.647261429539796
BEN.4.1.2_1,35.22163374436543
BEN.4.1.3_1,37.84448114139688
BEN.4.1.4_1,36.39519964424087
BEN.4.1.5_1,69.59295312512661
BEN.4.2.1_1,57.02474843347096
BEN.4.2.2_1,69.88288393196585
BEN.4.2.3_1,52.45004896079452
BEN.4.2.4_1,59.556457005485704
BEN.4.2.5_1,63.307813840296426
BEN.4.2.6_1,56.95157024144157
BEN.4.3.1_1,26.04480326365973
BEN.4.3.2_1,45.92162170471635
BEN.4.3.3_1,77.96890671226517
BEN.4.3.4_1,62.881262903641534
BEN.4.3.5_1,59.89554652243664
BEN.4.4.1_1,74.01084850832645
BEN.4.4.2_1,48.37853421535781
BEN.4.4.3_1,83.90740730055299
BEN.4.4.4_1,43.98341144009835
BEN.4.4.5_1,56.67559252513365
BEN.4.4.6_1,77.90460240073531
BEN.4.4.7_1,53.839266377323334
BEN.4.5.1_1,449.70310092125413
BEN.4.5.2_1,642.3156208713922
BEN.4.5.3_1,868.1216224783377
BEN.4.6.1_1,42.331494340666914
BEN.4.6.2_1,41.37460842935828
BEN.4.6.3_1,41.29575797875078
BEN.4.6.4_1,54.747435995238426
BEN.4.6.5_1,133.7044074868569
BEN.4.6.6_1,44.262264548284605
BEN.4.7.1_1,31.68191120351766
BEN.4.7.2_1,59.705348147201846
BEN.4.7.3_1,61.80680698611276
BEN.4.7.4_1,51.33277877959155
BEN.4.8.1_1,42.093530280447055
BEN.4.8.2_1,32.802914432249935
BEN.4.8.3_1,47.7480615640259
BEN.4.8.4_1,46.015737395845086
BEN.4.8.5_1,78.20092614217059
BEN.4.8.6_1,86.52532490602044
BEN.4.8.7_1,64.85066343242532
BEN.5.1.1_1,40.0273722922007
BEN.5.1.2_1,52.20716263696436
BEN.5.1.3_1,43.49191875922176
BEN.5.1.4_1,122.62448437633164
BEN.5.1.5_1,38.562834023140255
BEN.5.1.6_1,63.01229133297148
BEN.5.1.7_1,54.8061063318283
BEN.5.1.8_1,30.430111836536607
BEN.5.1.9_1,43.05813188358808
BEN.5.2.1_1,59.903229127149444
BEN.5.2.2_1,194.53173792593537
BEN.5.2.3_1,106.52948920540223
BEN.5.2.4_1,109.04186514795472
BEN.5.2.5_1,103.70142524250352
BEN.5.2.6_1,56.70376392060018
BEN.5.2.7_1,82.51654473848811
BEN.5.2.8_1,51.71576406272564
BEN.5.2.9_1,74.05210254178577
BEN.5.2.10_1,86.71577977245984
BEN.5.3.1_1,38.85144979817462
BEN.5.3.2_1,64.67898606121479
BEN.5.3.3_1,245.54182242257255
BEN.5.3.4_1,169.15133820439834
BEN.5.3.5_1,141.15786837895809
BEN.5.3.6_1,186.78025573702956
BEN.5.3.7_1,100.13583195043124
BEN.5.3.8_1,171.0995365963634
BEN.5.3.9_1,115.16588012283829
BEN.5.3.10_1,154.37938442270212
BEN.5.4.1_1,71.02450340218086
BEN.5.4.2_1,44.5614043173194
BEN.5.4.3_1,40.27176011469939
BEN.5.4.4_1,77.79010352215457
BEN.5.4.5_1,60.966491056137954
BEN.5.4.6_1,176.9120247256524
BEN.5.4.7_1,181.0165092632999
BEN.5.4.8_1,98.64838852278125
BEN.5.4.9_1,49.63791387353536
BEN.5.5.1_1,34.01631934530643
BEN.5.5.2_1,47.309534383631494
BEN.5.5.3_1,60.98094418244444
BEN.5.5.4_1,80.2603402890622
BEN.5.5.5_1,103.37693382501273
BEN.5.5.6_1,55.583302472442426
BEN.5.5.7_1,102.74137469340025
BEN.5.5.8_1,106.01367200844538
BEN.5.5.9_1,71.21465113645344
BEN.5.5.10_1,73.41810694627571
BEN.5.5.11_1,61.38853940293134
BEN.5.5.12_1,67.69077783471842
BEN.5.5.13_1,193.45085590807207
BEN.5.5.14_1,69.42562768838164
BEN.5.6.1_1,161.84044983102092
BEN.5.6.2_1,28.270542902780875
BEN.5.6.3_1,216.29786840175993
BEN.5.6.4_1,40.2472074952008
BEN.5.6.5_1,70.51630636092048
BEN.5.6.6_1,31.891904362188015
BEN.5.6.7_1,135.52799683612326
BEN.5.6.8_1,36.343965078147626
BEN.6.1.1_1,73.61719080769114
BEN.6.1.2_1,50.962439017268075
BEN.6.1.3_1,21.443512831636383
BEN.6.1.4_1,34.46124622208523
BEN.6.2.1_1,102.60734979095055
BEN.6.2.2_1,90.85298642290529
BEN.6.2.3_1,85.77092045626296
BEN.6.2.4_1,83.7005956683392
BEN.6.5.1_1,99.20271036176084
BEN.6.5.2_1,83.10339814359354
BEN.6.5.3_1,75.67805685498439
BEN.6.5.4_1,111.49597681918179
BEN.6.5.5_1,57.775102908077905
BEN.6.5.6_1,57.786332731291004
BEN.6.5.7_1,59.95695943091486
BEN.6.5.8_1,64.9788644637056
BEN.6.5.9_1,79.85904599378148
BEN.6.6.1_1,176.40225141255215
BEN.6.6.2_1,235.4475787118587
BEN.6.6.3_1,136.64597351354757
BEN.6.4.1_1,216.77218322044757
BEN.6.4.2_1,132.72992612426552
BEN.6.4.3_1,228.13707757411032
BEN.6.4.4_1,141.37375882168652
BEN.6.4.5_1,95.42420304075466
BEN.6.4.6_1,141.40082516945813
BEN.7.1.1_1,285.369084963151
BEN.7.1.2_1,87.7476696278274
BEN.7.1.3_1,889.8311141151249
BEN.7.1.4_1,364.89927397657146
BEN.7.1.5_1,230.77371417419346
BEN.7.1.6_1,478.5176096110485
BEN.7.1.7_1,161.319702856633
BEN.7.2.1_1,610.6882569095583
BEN.7.2.2_1,1035.262082657724
BEN.7.2.3_1,895.1645095569615
BEN.7.2.4_1,1130.0739093388895
BEN.7.2.5_1,823.6267663294093
BEN.7.2.6_1,839.0709163530071
BEN.7.2.7_1,1113.2368839131414
BEN.7.2.8_1,899.3121218596056
BEN.7.2.9_1,406.1479185570754
BEN.7.2.10_1,477.560388650801
BEN.9.6.1_1,388.2482718301081
BEN.9.6.2_1,429.5657830894636
BEN.9.6.3_1,468.98566941022165
BEN.9.6.4_1,304.5949276343735
BEN.9.6.5_1,264.70002102127245
BEN.9.6.6_1,592.0672945426245
BEN.9.6.7_1,642.8063733379657
BEN.7.4.1_1,307.56226557155344
BEN.7.4.2_1,260.34124550620464
BEN.7.4.3_1,515.7542900132255
BEN.7.4.4_1,403.60233756830235
BEN.7.4.5_1,402.4944885212611
