ADM3_PCODE,Pf_Parasite_Rate_min,Pf_Parasite_Rate_max,Pf_Parasite_Rate_mean,Pf_Parasite_Rate_median,Pf_Parasite_Rate_stdDev,Pf_Mortality_Rate_min,Pf_Mortality_Rate_max,Pf_Mortality_Rate_mean,Pf_Mortality_Rate_median,Pf_Mortality_Rate_stdDev
TG010101,0.24259783327579498,0.2854890823364258,0.2632266080412919,0.2616036832332611,0.01194460010995951,6.102767656557262E-4,9.597712778486311E-4,7.710435501604272E-4,7.082215743139386E-4,1.1289699306576024E-4
TG010102,0.1603127270936966,0.40029478073120117,0.32524232332576863,0.34520503878593445,0.05574137008303211,5.735810846090317E-4,9.759618551470339E-4,7.279850243417623E-4,7.247084868140519E-4,1.1312645467977724E-4
TG010104,0.216792032122612,0.266728937625885,0.2385302022033267,0.2314055860042572,0.017482170708558446,6.990856491029263E-4,0.0012587744276970625,9.842152690204482E-4,9.904089383780956E-4,1.587234516794233E-4
TG010103,0.22166787087917328,0.27992933988571167,0.25532404556410554,0.25661322474479675,0.017537054934778206,7.847706438042223E-4,0.0012587744276970625,9.855933372976179E-4,0.0010086954571306705,1.259597584834392E-4
TG010105,0.3136717677116394,0.3784882426261902,0.3520602996509717,0.35611042380332947,0.021537088830236993,6.585646769963205E-4,9.759618551470339E-4,7.653920285929234E-4,7.348591461777687E-4,9.940844099879944E-5
TG010106,0.35675498843193054,0.35675498843193054,0.35675498843193054,0.35675498843193054,0.0,7.788623333908617E-4,7.788623333908617E-4,7.788623333908617E-4,7.788623333908617E-4,0.0
TG010107,0.216792032122612,0.3351688086986542,0.2478162362566001,0.2302110493183136,0.03882654019807571,6.595648010261357E-4,0.0012012552469968796,7.882246403718525E-4,7.355256821028888E-4,1.5844415860906492E-4
TG010108,0.31146135926246643,0.375632643699646,0.3530518494219894,0.3490334451198578,0.016896049211069606,6.083134794607759E-4,7.392919505946338E-4,6.500422040049721E-4,6.304658018052578E-4,4.366107338816566E-5
TG010109,0.23712292313575745,0.2950998842716217,0.2638047664932293,0.2639136016368866,0.016379061489458318,6.251336890272796E-4,9.478716528974473E-4,7.054850955771374E-4,7.094769389368594E-4,7.423545169750286E-5
TG010110,0.23712292313575745,0.2764066755771637,0.26099284625318203,0.25931012630462646,0.00957571218700131,6.102767656557262E-4,9.478716528974473E-4,7.146718613801399E-4,7.082215743139386E-4,8.896360135747965E-5
TG010111,0.216792032122612,0.3483029901981354,0.31986502695925617,0.3245503604412079,0.03566910318301249,6.655738106928766E-4,8.107480825856328E-4,7.179080330347816E-4,7.131558377295732E-4,4.000291686221125E-5
TG010112,0.22548501193523407,0.29033899307250977,0.27185153321105465,0.27353185415267944,0.015724665462886936,7.254370138980448E-4,0.001213997951708734,0.001051693041051163,0.001096214633435011,1.6743692556921508E-4
TG010113,0.22548501193523407,0.3424522280693054,0.2679337677828209,0.2665647566318512,0.035658551286160724,6.493525579571724E-4,0.001190484152175486,7.925425676001046E-4,6.77870528306812E-4,1.9538117341691915E-4
TG010114,0.2296690046787262,0.27992933988571167,0.24370478819983807,0.24310536682605743,0.011805008954442916,6.506821373477578E-4,9.597712778486311E-4,7.365424619514753E-4,7.13525980245322E-4,8.315560072440755E-5
TG010115,0.23712292313575745,0.298157662153244,0.26918674571713386,0.2704020142555237,0.018362211374775048,6.398444529622793E-4,0.001213997951708734,7.752722722038049E-4,7.463768706656992E-4,1.392384619117749E-4
TG010116,0.31146135926246643,0.3475020229816437,0.32476942756586585,0.31722375750541687,0.014060295695603025,6.758376257494092E-4,7.072906009852886E-4,6.923018773585051E-4,6.891029188409448E-4,1.2546282693710502E-5
TG010117,0.24515122175216675,0.3915013372898102,0.31886535434399627,0.3250879645347595,0.03944094145789024,5.600317381322384E-4,7.657547830604017E-4,6.577247437444847E-4,6.66978070512414E-4,6.0458580287825376E-5
TG010118,0.25461438298225403,0.2839752733707428,0.27639851241368346,0.2839752733707428,0.010383025787675719,7.847706438042223E-4,0.0012012552469968796,0.001152951872908623,0.0011800513602793217,1.5317923277933816E-4
TG010119,0.24082669615745544,0.31722375750541687,0.2756876370764467,0.2857069671154022,0.020774129774311638,6.649955757893622E-4,0.0013355650007724762,9.143529197441297E-4,8.314139558933675E-4,1.830573721768906E-4
TG010120,0.2296690046787262,0.25461438298225403,0.2431194380448259,0.24602369964122772,0.007873913222181828,6.943685584701598E-4,0.0010639140382409096,8.355333276111026E-4,7.847706438042223E-4,1.1835584697029971E-4
TG010121,0.32920196652412415,0.3784882426261902,0.3550504019784897,0.35675498843193054,0.016158527604547626,6.083134794607759E-4,8.51334654726088E-4,6.916378386769539E-4,6.619961350224912E-4,6.877117484796939E-5
TG010201,0.1975010633468628,0.33894485235214233,0.25127686906984126,0.2601464092731476,0.03173813279283199,5.683052586391568E-4,0.0011688561644405127,7.516748896692641E-4,7.120851660147309E-4,1.4960407275402046E-4
TG010202,0.23939178884029388,0.33894485235214233,0.2690857661193317,0.26502835750579834,0.023384697630937805,7.077481714077294E-4,0.001253219903446734,8.665347434166906E-4,8.046506554819643E-4,1.728410828989233E-4
TG010203,0.16532738506793976,0.26502835750579834,0.21624597549487293,0.21481867134571075,0.027211267904697085,6.160557386465371E-4,0.001253219903446734,9.287861301927895E-4,8.900654502213001E-4,1.9390440396668585E-4
TG010204,0.19581113755702972,0.34239768981933594,0.2721046760876974,0.26721757650375366,0.044741667033166135,5.804657703265548E-4,0.00144612742587924,0.0010884344455863201,0.001226820982992649,2.927055198179735E-4
TG010205,0.14110736548900604,0.34239768981933594,0.2739655647207709,0.26666003465652466,0.042264491154826174,5.415432387962937E-4,0.00144612742587924,8.127305689258369E-4,8.087651222012937E-4,2.48922913177284E-4
TG010301,0.1876562088727951,0.26528048515319824,0.2178642208219397,0.2155037224292755,0.01844775651024715,6.600895430892706E-4,0.0012852268991991878,8.722137891357959E-4,8.516822708770633E-4,1.9361612768175525E-4
TG010302,0.16532738506793976,0.24407099187374115,0.2152551013837513,0.2170962691307068,0.020044644346570023,6.332107004709542E-4,0.001379914116114378,8.212651926060844E-4,7.562993559986353E-4,1.7597695469136142E-4
TG010303,0.21681024134159088,0.2624015808105469,0.2445376172812807,0.24419759213924408,0.01365041898925345,8.701804908923805E-4,0.0012587744276970625,0.001155396960195897,0.00121169479098171,1.5239802866441306E-4
TG010304,0.19307753443717957,0.2769683599472046,0.23329035715082316,0.23886822164058685,0.021582430678326072,6.160557386465371E-4,8.828539284877479E-4,7.193986980270672E-4,7.152474718168378E-4,6.581708257656205E-5
TG010305,0.16867589950561523,0.22651486098766327,0.21185557744736336,0.21255727112293243,0.020816675202736893,7.789073279127479E-4,0.0012600990012288094,8.621141560153542E-4,9.002253646031022E-4,1.630962012820408E-4
TG010306,0.22303758561611176,0.2624015808105469,0.24346255414668017,0.24156345427036285,0.009360642437921873,7.169905584305525E-4,0.0013341280864551663,0.001039827878999264,0.0010639140382409096,1.903840143322636E-4
TG010307,0.22568105161190033,0.259531706571579,0.2393032244437929,0.23542460799217224,0.009725418277949555,7.217790116555989E-4,0.0013201748952269554,0.0010260510067152577,9.419928537681699E-4,2.0520177215570292E-4
TG010308,0.16867589950561523,0.31511712074279785,0.24266661397082415,0.2292882204055786,0.033196743866238464,5.415432387962937E-4,0.0012600990012288094,8.221048288325362E-4,8.291473495773971E-4,1.3513508732618365E-4
TG010309,0.20970863103866577,0.2522280216217041,0.23485818221739785,0.23685796558856964,0.011397497361866682,7.169905584305525E-4,0.0013341280864551663,0.0010385615160909347,0.0011641141027212143,2.0902082370408297E-4
TG010310,0.21172399818897247,0.32383644580841064,0.2545775315133852,0.2512545585632324,0.030775731488919808,6.445408216677606E-4,0.0012587744276970625,7.915456472800378E-4,7.395233260467649E-4,1.6758242893537634E-4
TG010311,0.19355839490890503,0.2488519549369812,0.22029140967602223,0.22542014718055725,0.015602397131849606,6.653056479990482E-4,0.0013201748952269554,9.421252046714396E-4,9.074851986952126E-4,2.465077358516355E-4
TG010401,0.24966032803058624,0.31502240896224976,0.275108870272112,0.2816038429737091,0.01920896410334432,7.724561728537083E-4,0.0010984846157953143,8.711430940817004E-4,8.516553789377213E-4,9.094044620096538E-5
TG010402,0.18583673238754272,0.2695561349391937,0.23299297883930442,0.23154893517494202,0.019827534107934516,6.077864672988653E-4,0.001299637951888144,7.211023880675498E-4,7.015729206614196E-4,1.1150793018620167E-4
TG010403,0.20651479065418243,0.3013710379600525,0.2533295598225996,0.26013126969337463,0.027931726397701768,6.047302158549428E-4,0.0011000784579664469,7.530655586752775E-4,6.998099270276725E-4,1.2125965993451495E-4
TG010404,0.27421683073043823,0.3194787800312042,0.3074235171732241,0.30999645590782166,0.015363520710628905,7.01282056979835E-4,0.0013044722145423293,9.915020989838745E-4,0.001040808274410665,2.0593443369778635E-4
TG010405,0.23489265143871307,0.34013631939888,0.2990224050831452,0.3040282726287842,0.02791793919870655,6.471936940215528E-4,7.336217677220702E-4,6.915152529260371E-4,7.012366550043225E-4,2.845868085641123E-5
TG010406,0.1977667659521103,0.46458709239959717,0.28169172406921245,0.28849825263023376,0.05082250459890201,5.933180800639093E-4,0.0013099978677928448,7.401390383087484E-4,6.706722779199481E-4,1.796968525210344E-4
TG010407,0.22803287208080292,0.30999645590782166,0.26646550981780137,0.2621372640132904,0.0258003351663555,6.53011491522193E-4,0.0013044722145423293,7.746841970360702E-4,7.612527697347105E-4,1.5105623271367523E-4
TG010408,0.20962314307689667,0.27679407596588135,0.24990650339824394,0.25045835971832275,0.02210055369457576,6.799157708883286E-4,8.94387427251786E-4,7.582009910810285E-4,7.50312174204737E-4,6.182484000157555E-5
TG010409,0.1948513239622116,0.2604581117630005,0.21930787432345614,0.22129885852336884,0.024108887551202426,7.370258099399507E-4,9.89847700111568E-4,8.685580339834426E-4,8.828052086755633E-4,7.501219792665032E-5
TG010410,0.1948513239622116,0.31502240896224976,0.2600473705799348,0.25964194536209106,0.031451693592334504,6.933415425010026E-4,9.89847700111568E-4,8.075818050247956E-4,8.231305400840938E-4,7.38776474292335E-5
TG010501,0.1870412677526474,0.25045835971832275,0.2158682564898321,0.21505485475063324,0.01689602843769931,6.31175353191793E-4,8.94387427251786E-4,7.657409314248943E-4,7.560662925243378E-4,7.135111234689692E-5
TG010502,0.16209226846694946,0.21673190593719482,0.18033498771786696,0.17583611607551575,0.013276989118698217,6.098761805333197E-4,0.001221153186634183,7.663189350394534E-4,7.857181481085718E-4,1.297135177261005E-4
TG010503,0.15971508622169495,0.24403317272663116,0.20191463909956478,0.20281970500946045,0.02250047090113073,6.077864672988653E-4,0.0013046760577708483,8.606552834647315E-4,8.375623147003353E-4,1.7138127445918925E-4
TG010504,0.1694478988647461,0.24098379909992218,0.20174695249926838,0.18817831575870514,0.019979101736892504,6.852713413536549E-4,0.001221153186634183,8.608985698607333E-4,7.678950787521899E-4,1.493523754205135E-4
TG010505,0.14912864565849304,0.19837641716003418,0.17546517629879757,0.17377260327339172,0.013300712381702407,6.098761805333197E-4,0.0010679941624403,8.083494778309781E-4,7.894773152656853E-4,1.4235749041300992E-4
TG010506,0.11690179258584976,0.19837641716003418,0.15673037100976436,0.15971508622169495,0.020851911970564418,5.414572660811245E-4,0.0013368719955906272,7.586540445456066E-4,7.386841461993754E-4,2.3347613756575763E-4
TG010507,0.11690179258584976,0.2295183688402176,0.17756427436319952,0.17613820731639862,0.02196551564991086,5.414572660811245E-4,0.0013368719955906272,8.306093186646105E-4,8.225844940170646E-4,1.4688149523220495E-4
TG010508,0.1518307775259018,0.2299097180366516,0.1973132537356738,0.1871090829372406,0.02403739335017939,6.628140690736473E-4,0.001299637951888144,8.6083443763907E-4,8.348650299012661E-4,1.5878255931898064E-4
TG010509,0.1887301504611969,0.2258489727973938,0.2041081702744467,0.20097626745700836,0.011562795548173717,6.31175353191793E-4,9.539649472571909E-4,8.269850467056168E-4,8.348650299012661E-4,1.073431816563483E-4
TG010510,0.1623924821615219,0.23054583370685577,0.1943972655750401,0.19479131698608398,0.016551253826158012,7.161286775954068E-4,0.001379914116114378,9.33268541055931E-4,8.910484611988068E-4,1.5198437490019856E-4
TG010511,0.15971508622169495,0.22907869517803192,0.18868820386470395,0.1915437877178192,0.01704461733808876,6.202603108249605E-4,0.0013368719955906272,8.198419530333915E-4,7.496022153645754E-4,1.6163035395568872E-4
