ADM2_PCODE,population_density_TGO_2020
TG0101,20.870858719934038
TG0101,16.890477099155323
TG0101,1107.9586928736314
TG0101,858.5437940219891
TG0101,22.601410751817713
TG0101,43.96689721143434
TG0101,59.70785197678327
TG0101,28.025039276453622
TG0101,40.509488976827946
TG0101,50.20468008745279
TG0101,17.763886810089712
TG0101,69.11868962917504
TG0101,31.444668518367095
TG0101,27.723755577394474
TG0101,29.83524125498958
TG0101,22.31821247740393
TG0101,12.611819145213921
TG0101,64.15991849905838
TG0101,22.73243045934522
TG0101,74.38799354944209
TG0101,31.66088733616682
TG0102,16.75020454672264
TG0102,17.956288312094408
TG0102,17.503832555005868
TG0102,17.75677660663525
TG0102,19.941682622950953
TG0103,38.169111800504126
TG0103,16.030679447201265
TG0103,30.428760652978053
TG0103,13.514627746546816
TG0103,52.90253735352974
TG0103,19.56082692357848
TG0103,20.124564509195444
TG0103,20.536608211511428
TG0103,17.56597002255216
TG0103,29.54272616080978
TG0103,25.447129089958807
TG0104,46.41072118118646
TG0104,34.63646811872488
TG0104,46.430971738883684
TG0104,167.59531407325306
TG0104,86.36566216171167
TG0104,65.61763000769642
TG0104,89.41704609594373
TG0104,61.408222482698875
TG0104,89.09767239205955
TG0104,105.72311422763052
TG0105,65.61838044639737
TG0105,96.92191897770486
TG0105,60.686087614897325
TG0105,66.64065565682863
TG0105,58.509127257133294
TG0105,468.4634584984497
TG0105,107.16116162080537
TG0105,125.71720661202929
TG0105,70.47220292216245
TG0105,56.21939628584177
TG0105,61.74018232462052
TG0105,63.021932325314914
TG0201,53.477955880451546
TG0201,92.56983443943413
TG0201,57.74635521281849
TG0201,20.46558227330038
TG0201,52.97677698356716
TG0201,58.63187891669327
TG0202,19.945981748048585
TG0202,50.845029134160534
TG0202,31.475796238754125
TG0202,51.12099323004312
TG0202,30.84380569211984
TG0202,58.894206165043144
TG0202,45.461302882459194
TG0202,52.057427617859766
TG0202,20.43325587085869
TG0202,20.441150788909564
TG0203,90.02949682600881
TG0203,200.75968837601212
TG0203,302.84238037256654
TG0203,88.33236646979783
TG0203,196.88120824903694
TG0203,61.98190765436917
TG0203,111.02563919572127
TG0203,68.29793060535053
TG0203,73.36037811820768
TG0204,58.20398223884981
TG0204,135.50947480066137
TG0204,136.73408464220446
TG0204,122.95112834454109
TG0204,96.08995864854462
TG0204,72.54932355988961
TG0204,75.25827041614906
TG0204,68.6911574644201
TG0204,61.27949200769611
TG0204,50.53708496749866
TG0204,68.1661044336694
TG0204,71.32883532020051
TG0205,74.36746381910092
TG0205,48.655690477810325
TG0205,170.00117840652246
TG0205,112.66729360044378
TG0205,41.05457482474825
TG0205,169.58899900564563
TG0205,43.010938881137506
TG0205,39.79162764115767
TG0205,43.134842860743646
TG0205,76.0378017262911
TG0205,35.80203792182655
TG0205,79.55676633345236
TG0205,37.737385435827676
TG0205,75.73453806822901
TG0206,38.76867959181244
TG0206,67.82119125625714
TG0206,63.38802402949369
TG0206,86.19282979542243
TG0206,41.82674175714174
TG0206,93.08535130961772
TG0206,33.69318491273054
TG0206,52.98518081588289
TG0206,140.98257877287557
TG0207,107.77398160575805
TG0207,345.0493742307324
TG0207,441.4489390564814
TG0207,56.858078283810855
TG0207,104.87919856349887
TG0207,697.3238866472534
TG0207,374.70207141270697
TG0207,172.37306417871022
TG0207,277.50875782182
TG0207,241.83359220569724
TG0207,86.95985096804698
TG0207,237.83673142540502
TG0207,163.67342014581385
TG0207,233.40307363327304
TG0207,308.80614440108036
TG0301,501.0045421058151
TG0301,83.8598598378028
TG0301,75.66686565164245
TG0301,76.21468363368001
TG0301,83.59340957445302
TG0301,185.84928525504418
TG0301,44.03418638720293
TG0302,389.9911723481755
TG0302,270.1059326049525
TG0302,386.0577293995324
TG0302,180.78886224153473
TG0302,116.54817059300527
TG0303,11696.032591460853
TG0303,4836.607223198167
TG0303,4914.352156616508
TG0303,7014.956487436763
TG0304,1148.4185315099526
TG0304,248.9112807602079
TG0304,219.84243280675412
TG0304,1344.608811021751
TG0304,717.6247343740251
TG0304,689.0028692364436
TG0304,871.5419883986222
TG0305,7981.386095997312
TG0306,195.61950423791825
TG0306,518.0050269613056
TG0306,132.06648112152243
TG0306,286.2341621206786
TG0306,336.31486960450457
TG0306,205.5658242009433
TG0306,308.8315458188574
TG0306,329.29878903929347
TG0306,260.32368344834015
TG0306,346.32473153105485
TG0307,197.91136114994438
TG0307,303.1279532457302
TG0307,134.87610318178207
TG0307,209.403637907892
TG0307,232.11455329938676
TG0307,100.22625591724766
TG0307,132.5391317932694
TG0307,466.4328310153193
TG0307,157.5329976104873
TG0307,177.62841897321024
TG0307,67.80997370835429
TG0307,78.29964925939895
TG0308,396.1916585889126
TG0308,68.0264843828032
TG0308,98.4552758975639
TG0308,219.27792087870608
TG0308,369.8948661540374
TG0308,728.9659710957364
TG0308,109.46294825669209
TG0308,52.823525504905035
TG0308,38.21671220882473
TG0308,83.3008316857195
TG0308,105.13671363540722
TG0308,206.68650650788132
TG0308,518.4954905014622
TG0308,481.5316800989628
TG0308,289.0699453036285
TG0308,128.32701081799314
TG0309,640.4549170581164
TG0309,9966.809777341685
TG0309,5219.076424530994
TG0309,5303.423948570185
TG0309,10744.814219232254
TG0309,6918.101022146414
TG0401,131.59990018808617
TG0401,76.2675730129766
TG0401,59.2154179477428
TG0401,40.64560297106307
TG0401,226.92352101140128
TG0401,34.67723686621131
TG0401,130.07070899447208
TG0401,70.19177938960534
TG0401,39.69969505375425
TG0401,83.12156936259585
TG0401,30.198125142721175
TG0401,181.00606377847964
TG0401,157.80241145492653
TG0401,114.92398948155716
TG0402,79.02428621853032
TG0402,82.18742188199779
TG0402,60.205200841044416
TG0402,67.32692958678192
TG0402,137.1874924641367
TG0402,74.49594625089709
TG0402,94.32595092274083
TG0402,110.23184171189614
TG0402,60.54177639783754
TG0403,52.88451272639645
TG0403,56.79571234151869
TG0403,56.10850995627486
TG0403,50.65547754411229
TG0403,81.81765333587799
TG0403,73.98859321903176
TG0403,314.9935194790824
TG0403,238.70973931528783
TG0403,93.05958928830078
TG0403,64.70692942202182
TG0403,84.5506814451856
TG0404,58.73000339284921
TG0404,99.37063706624299
TG0404,82.97872886794904
TG0404,95.50460736765247
TG0404,184.47264387290176
TG0405,72.90603413824473
TG0405,67.13493970357878
TG0405,68.14690660515228
TG0405,80.92988442438964
TG0405,68.28320565400358
TG0405,66.7183690566979
TG0405,130.0011212159004
TG0406,95.68252473581607
TG0406,88.63938617075989
TG0406,204.46288804885927
TG0406,124.75036262332975
TG0406,98.22980076145352
TG0406,52.832582584994604
TG0406,142.8718164628658
TG0406,80.75404084861259
TG0407,112.65638428279385
TG0407,145.41722086820732
TG0407,136.94246637856867
TG0407,126.2841821253609
TG0407,117.20406449165887
TG0407,62.46755297207775
TG0407,49.901518702635954
TG0407,165.27527861576155
TG0407,107.34835423091205
TG0408,65.77436652956887
TG0408,218.130896929466
TG0408,191.46922168743393
TG0408,110.24264655306557
TG0408,100.58495887519751
TG0408,268.9537210082452
TG0409,124.2950810607866
TG0409,128.65316477871545
TG0409,75.01750795987171
TG0409,387.8315257989183
TG0409,121.07038726172618
TG0409,66.5355596456967
TG0409,117.40091161341401
TG0409,81.47795435825488
TG0410,46.246965638335496
TG0410,32.229816359228934
TG0410,69.15066497874027
TG0410,138.01078069321917
TG0410,39.095973615702626
TG0410,32.11845083859982
TG0410,44.467150491012234
TG0410,31.759550109740534
TG0411,79.65808372820173
TG0411,242.675007767826
TG0411,64.36296860685535
TG0411,79.47129757919342
TG0411,149.7816077774794
TG0411,119.25053026854182
TG0412,784.0731981928756
TG0412,378.85571528149256
TG0412,335.58272188939424
TG0412,504.0309830766365
TG0412,322.16076714774135
TG0412,242.78597781615625
TG0412,220.45043237594302
TG0412,286.4368610122899
TG0412,96.11500353605851
TG0412,425.2323450761831
TG0412,209.50033187418651
TG0412,230.5905320721799
TG0513,77.83588074101823
TG0513,87.06738586551788
TG0513,75.57522171918178
TG0513,64.67910264850029
TG0514,146.5602399988579
TG0514,65.38121618092377
TG0514,47.12050789394551
TG0514,85.10870614588187
TG0514,145.99009458794708
TG0514,80.93452931926262
TG0514,98.43394899903186
TG0514,44.23842657707398
TG0515,68.01861839203946
TG0515,226.4242012215372
TG0515,429.36233420179235
TG0515,198.17013915375924
TG0515,80.87364365665145
TG0515,309.02320634990593
TG0515,145.1020302330328
TG0515,89.98414403847464
TG0515,74.45957026332522
TG0515,271.7344551047075
TG0515,154.9621211331065
TG0515,187.64022879149908
TG0515,115.22238477888328
TG0515,168.27069290345636
TG0515,125.92183513256822
TG0515,121.82919351994778
TG0516,223.94671821420843
TG0516,648.1428635943994
TG0516,329.9411199305061
TG0516,262.7329785361943
TG0516,157.7545177627882
TG0516,151.2811207986341
TG0516,354.14765668534704
TG0516,224.92329291799683
TG0516,325.22654663467193
TG0516,549.4207423399532
TG0516,162.50894958094545
TG0516,288.1430432550515
TG0516,415.9703108926544
TG0516,164.2371502305075
TG0516,219.7108861173742
TG0516,193.08215130974264
TG0516,301.9044290235141
TG0517,197.29570248252466
TG0517,458.98874368184795
TG0517,523.7082058722345
TG0517,470.591343711968
TG0517,380.80554211683386
TG0517,355.25009750607563
TG0517,295.24368836165434
TG0517,435.9967744374419
TG0518,98.83974759988409
TG0518,133.89569541218293
TG0518,126.11923842133861
TG0518,161.47272407751288
TG0518,109.58340829354793
TG0518,141.2052695538511
TG0518,156.06057720261757
TG0519,83.36139362320927
TG0519,81.70907520120208
TG0519,32.590013445726775
TG0519,42.20465751844558
TG0519,65.7338505638161
TG0519,68.83307985903106
TG0519,78.09855646608908
TG0519,40.23137377656234
