ADM3_PCODE,scale_min,scale_max,scale_mean,scale_median,scale_stdDev,offset_min,offset_max,offset_mean,offset_median,offset_stdDev
TG030901,0.09134418869923268,1.8410715744608925,0.3013709469623308,0.2214539701498085,0.23671558458054956,-2.075277539945784,2.2434581255628947,0.3815054610256988,0.2924905036917943,0.398878471302526
TG030902,-0.9590087845211938,1.5029174117814927,0.5831419361932282,0.6012650918658962,0.4178366852931341,0.8007209384370417,27.498959405081614,6.833986684579908,4.950193308849461,5.697575020540094
TG030903,0.1098704177974945,1.4276303954067684,0.664404782327396,0.6842209629455877,0.32164057639459337,-0.04944663033598945,4.007202000845046,0.8393274187042283,0.45224082834182155,0.9941044718234924
TG030904,0.10199080793453115,1.3260440152315867,0.45546513220048995,0.4013433361265702,0.2489366212800412,0.24270733051179422,5.219208940863609,1.3705911899448424,1.0252186671963759,1.0649714383257007
TG030905,-0.009803439889635359,1.5567199346565066,0.8054653094948879,0.8892075312989098,0.3637708712342583,2.831565349584534,19.450290342171986,7.022417037210046,5.267840808346158,3.9731084155635905
TG030906,0.19257469351092973,1.097267040184566,0.6795231199496227,0.7277787804958367,0.19949513909417038,-0.07252127353456758,5.504160573085149,1.5392683027556342,1.2916747269531093,1.4391420215294053
TG040101,-0.11941350885761148,0.14915322618825094,0.04074793750839536,0.04023237966854746,0.04053519460425499,0.07200883045637359,0.8973547869716727,0.1650165431586022,0.1230055250135116,0.15343145811009726
TG040102,-0.027551215625689587,0.24557672458745183,0.039082285647808086,0.036087654530010047,0.020191397695255228,-0.029091081105261332,1.094119852674859,0.10955372432795807,0.0895594746561872,0.08687057592136709
TG040103,-0.045781624969441465,0.059138307943829294,0.03130679432901139,0.033504250393351385,0.013810602504635179,0.05723751755154115,0.489503528523658,0.12480857201061955,0.0988979993456249,0.07611745869501123
TG040104,-0.04233846107880319,0.13324083036388856,0.033010869782000046,0.03267133183182828,0.009948274377315049,-0.08616011734270723,0.402641559312109,0.08503045469493996,0.08107855002327444,0.03155629483158214
TG040105,-0.2042550834317115,0.32869297108845785,0.03499001543583186,0.03695443417100164,0.05900426884916883,-0.2184456123809685,1.2164944700780325,0.22284311505943258,0.13683931685898795,0.22875146770910781
TG040106,-0.23168765124379812,0.16130092275875896,0.036470510547887726,0.03800879314987152,0.020573882626147105,-0.07450860673617128,1.563816612868409,0.10833285172617729,0.0819594919897746,0.09833646885518961
TG040107,-0.7099372276238033,0.24682225442770037,0.02799629899579821,0.03325553215924817,0.05418317338745695,-0.05429876084582204,4.031646817213013,0.20917616131398864,0.1392548807292534,0.31885649902005286
TG040108,-0.05197733002742531,0.15547399063195502,0.03591004269180462,0.034621257004606686,0.016135071777982877,0.05051481691701892,0.5440776246791107,0.1118916436983548,0.09690945295238045,0.057921260543426514
TG040109,-0.1033700266437206,0.1677927777747668,0.03194617074481343,0.03217093256218247,0.015546026691837692,0.03155895235942721,0.6967903108286139,0.10522593299092454,0.09163535484814755,0.05772962610676245
TG040110,-0.004823294279742099,0.1065715415309006,0.03628125573291208,0.03597710922448192,0.015504202699897296,0.05217767631291367,0.7592194805315341,0.15438667583093554,0.13487788872531845,0.08895674562635082
TG040111,-0.14469005542507926,0.24788734560466505,0.03965080354671433,0.039972998589666464,0.02335597882893331,-0.16451048336013974,1.0017651963238936,0.1194030888926207,0.09734176769114752,0.09776806142003643
TG040112,-0.013332641445144656,0.5902684090792069,0.039033685773771164,0.0331880535928691,0.03849565030062166,-0.47217248415663127,1.8414495928833883,0.15666528358613174,0.11694729785295198,0.18110865939325918
TG040113,-0.032650759241299794,0.1304582064968556,0.04037674598975805,0.03750390711225246,0.025174305295365355,-0.03139527959865518,0.674636127981579,0.1518248186728796,0.10807746296424219,0.12195707398604029
TG040114,-0.11622131819881144,0.16252057680061885,0.03501585524604939,0.03425425318085659,0.02456236283971385,0.057061003641657795,0.8415553144489726,0.13599118658617204,0.10751053252408597,0.09779987050696264
TG040201,-0.0028998476558453625,0.14719331743461744,0.048082741395193196,0.04350930334587995,0.01667627742658708,0.06567968012643091,2.0633765357945646,0.17813801017804243,0.11704875064203513,0.19946881960677887
